step,tl_id,previous_state,current_state,action,reward
50,0,[0 0 0],[0 0 1],[0. 0. 0. 8.],7.570768404186669e-05
91,0,[0 0 1],[0 2 0],[ 0.  0.  1. 12.],-0.023669424556499813
108,0,[0 2 0],[0 0 1],[0. 2. 0. 4.],0.023877496181201826
137,0,[0 0 1],[0 2 0],[0. 0. 1. 8.],-0.02368954285660281
220,0,[0 2 0],[3 0 1],[ 0.  2.  0. 26.],-0.01172480224694347
291,0,[3 0 1],[0 5 0],[ 3.  0.  1. 22.],0.00020538102654731237
353,0,[0 5 0],[3 0 1],[ 0.  5.  0. 19.],0.012049475526959726
409,0,[3 0 1],[0 3 0],[ 3.  0.  1. 17.],-0.005739249109388995
498,0,[0 3 0],[3 0 1],[ 0.  3.  0. 28.],0.006137565133178546
551,0,[3 0 1],[0 3 0],[ 3.  0.  1. 16.],-0.005773127298634259
613,0,[0 3 0],[5 0 1],[ 0.  3.  0. 19.],-0.011643518218760505
672,0,[5 0 1],[0 2 0],[ 5.  0.  1. 18.],0.029899214965759337
725,0,[0 2 0],[4 0 1],[ 0.  2.  0. 16.],-0.011697236785972745
796,0,[4 0 1],[0 5 0],[ 4.  0.  1. 22.],-0.029509706703803713
816,0,[0 5 0],[2 0 1],[0. 5. 0. 5.],0.0417567396109524
830,0,[2 0 1],[0 1 0],[2. 0. 1. 3.],0.0060191985014456505
880,0,[0 1 0],[3 0 1],[ 0.  1.  0. 15.],-0.023618297580217926
951,0,[3 0 1],[0 9 0],[ 3.  0.  1. 22.],-0.029380991635546413
968,0,[0 9 0],[1 0 1],[0. 9. 0. 4.],0.047738189997406
1048,0,[1 0 1],[ 0 10  0],[ 1.  0.  1. 25.],-0.0768075939009083
1140,0,[ 0 10  0],[8 0 1],[ 0. 10.  0. 29.],-0.0051738910079228324
1223,0,[8 0 1],[0 8 0],[ 8.  0.  1. 26.],0.01244023697754464
1240,0,[0 8 0],[3 2 1],[0. 8. 0. 4.],0.0418095578357569
1305,0,[3 2 1],[ 0 10  0],[ 3.  2.  1. 20.],-0.05291981235233334
1322,0,[ 0 10  0],[1 5 1],[ 0. 10.  0.  4.],0.05384621421446741
1408,0,[1 5 1],[ 0 17  0],[ 1.  5.  1. 27.],-0.08743732974108029
1467,0,[ 0 17  0],[6 0 1],[ 0. 17.  0. 18.],0.06573645118986028
1499,0,[6 0 1],[0 4 0],[6. 0. 1. 9.],0.029890670928838254
1555,0,[0 4 0],[4 0 1],[ 0.  4.  0. 17.],-0.011558395400656132
1575,0,[4 0 1],[0 1 0],[4. 0. 1. 5.],0.0358547998589166
1607,0,[0 1 0],[8 0 1],[0. 1. 0. 9.],-0.0652453460368896
1657,0,[8 0 1],[0 4 0],[ 8.  0.  1. 15.],0.05370801474772346
1701,0,[0 4 0],[3 0 1],[ 0.  4.  0. 13.],-0.005705053397577853
1772,0,[3 0 1],[0 6 0],[ 3.  0.  1. 22.],-0.01757161761372096
1861,0,[0 6 0],[10  0  1],[ 0.  6.  0. 28.],-0.052655719493253594
1893,0,[10  0  1],[0 3 0],[10.  0.  1.  9.],0.07158581166297505
1985,0,[0 3 0],[12  0  1],[ 0.  3.  0. 29.],-0.10006627204102989
2026,0,[12  0  1],[0 5 0],[12.  0.  1. 12.],0.07769165814528377
2085,0,[0 5 0],[13  0  1],[ 0.  5.  0. 18.],-0.09393448843597374
2165,0,[13  0  1],[ 0 17  0],[13.  0.  1. 25.],-0.039109552157753656
2191,0,[ 0 17  0],[5 7 1],[ 0. 17.  0.  7.],0.060301540531476856
2208,0,[5 7 1],[ 0 14  0],[5. 7. 1. 4.],-0.022606847121138855
2228,0,[ 0 14  0],[ 8 11  1],[ 0. 14.  0.  5.],-0.046499550214087956
2245,0,[ 8 11  1],[ 2 13  0],[ 8. 11.  1.  4.],0.03132486271426063
2268,0,[ 2 13  0],[11 11  1],[ 2. 13.  0.  6.],-0.06391856684412633
2282,0,[11 11  1],[ 8 14  0],[11. 11.  1.  3.],0.013398320165409969
2305,0,[ 8 14  0],[15 13  1],[ 8. 14.  0.  6.],-0.07556478834748279
2361,0,[15 13  1],[ 0 30  0],[15. 13.  1. 17.],-0.042854664252601454
2429,0,[ 0 30  0],[17  0  1],[ 0. 30.  0. 21.],0.18002067190898724
2503,0,[17  0  1],[ 0 25  0],[17.  0.  1. 23.],-0.10619116379734504
2589,0,[ 0 25  0],[16  0  1],[ 0. 25.  0. 27.],0.10940691861241467
2654,0,[16  0  1],[ 0 13  0],[16.  0.  1. 20.],0.04848071535170133
2713,0,[ 0 13  0],[11  0  1],[ 0. 13.  0. 18.],0.006702768290214409
2796,0,[11  0  1],[ 0 16  0],[11.  0.  1. 26.],-0.05125933108699126
2813,0,[ 0 16  0],[ 3 11  1],[ 0. 16.  0.  4.],0.018674030343576908
2833,0,[ 3 11  1],[ 0 16  0],[ 3. 11.  1.  5.],-0.02214623552022021
2880,0,[ 0 16  0],[10  0  1],[ 0. 16.  0. 14.],0.07213935168145649
2954,0,[10  0  1],[ 0 23  0],[10.  0.  1. 23.],-0.14927803432219383
3016,0,[ 0 23  0],[12  0  1],[ 0. 23.  0. 19.],0.1497543803992756
3099,0,[12  0  1],[ 0 23  0],[12.  0.  1. 26.],-0.1307973587418099
3173,0,[ 0 23  0],[14  0  1],[ 0. 23.  0. 23.],0.10272885681052259
3226,0,[14  0  1],[ 0 14  0],[14.  0.  1. 16.],0.007013947243230141
3288,0,[ 0 14  0],[15  0  1],[ 0. 14.  0. 19.],0.001354625963575764
3305,0,[15  0  1],[10  4  0],[15.  0.  1.  4.],0.02441897280339438
3370,0,[10  4  0],[26  0  1],[10.  4.  0. 20.],-0.1467434280578089
