step,tl_id,new_state
21,0,1
32,0,0
49,0,1
84,0,0
140,0,1
160,0,0
237,0,1
305,0,0
373,0,1
450,0,0
476,0,1
535,0,0
600,0,1
653,0,0
739,0,1
753,0,0
809,0,1
898,0,0
930,0,1
1001,0,0
1042,0,1
1098,0,0
1118,0,1
1198,0,0
1218,0,1
1283,0,0
1303,0,1
1392,0,0
1442,0,1
1459,0,0
1518,0,1
1532,0,0
1609,0,1
1641,0,0
1706,0,1
1750,0,0
1812,0,1
1853,0,0
1912,0,1
1989,0,0
2027,0,1
2095,0,0
2106,0,1
2141,0,0
2224,0,1
2250,0,0
2261,0,1
2311,0,0
2346,0,1
2393,0,0
2482,0,1
2547,0,0
2630,0,1
2665,0,0
2751,0,1
2780,0,0
2821,0,1
2871,0,0
2921,0,1
2986,0,0
3060,0,1
3149,0,0
3223,0,1
3306,0,0
3398,0,1
3469,0,0
3552,0,1
3602,0,0
3694,0,1
3768,0,0
3860,0,1
3952,0,0
4029,0,1
4079,0,0
4168,0,1
4260,0,0
4337,0,1
4420,0,0
4476,0,1
4565,0,0
4579,0,1
4659,0,0
4706,0,1
4759,0,0
4839,0,1
4931,0,0
5011,0,1
5031,0,0
5054,0,1
5110,0,0
5196,0,1
5237,0,0
5293,0,1
5373,0,0
5390,0,1
5476,0,0
5556,0,1
5636,0,0
5722,0,1
5802,0,0
5885,0,1
5971,0,0
6030,0,1
6071,0,0
6148,0,1
6213,0,0
6278,0,1
6349,0,0
6408,0,1
6494,0,0
6574,0,1
6627,0,0
6707,0,1
6775,0,0
6813,0,1
6884,0,0
6901,0,1
6978,0,0
7022,0,1
7075,0,0
7158,0,1
7211,0,0
7285,0,1
7374,0,0
7454,0,1
7513,0,0
7599,0,1
7640,0,0
7651,0,1
7674,0,0
7691,0,1
7768,0,0
7818,0,1
7886,0,0
7951,0,1
8040,0,0
8117,0,1
8179,0,0
8265,0,1
8336,0,0
8401,0,1
8466,0,0
8501,0,1
8593,0,0
8655,0,1
8684,0,0
8758,0,1
8850,0,0
8897,0,1
8962,0,0
9006,0,1
9092,0,0
9175,0,1
9258,0,0
9332,0,1
9382,0,0
9432,0,1
9494,0,0
9586,0,1
9654,0,0
9722,0,1
9784,0,0
9864,0,1
9947,0,0
10036,0,1
10104,0,0
10184,0,1
10273,0,0
10335,0,1
10361,0,0
10444,0,1
10524,0,0
10556,0,1
10609,0,0
10671,0,1
