step,tl_id,new_state
21,0,1
56,0,0
115,0,1
183,0,0
248,0,1
274,0,0
327,0,1
368,0,0
460,0,1
474,0,0
515,0,1
541,0,0
579,0,1
626,0,0
709,0,1
753,0,0
809,0,1
880,0,0
927,0,1
950,0,0
982,0,1
1074,0,0
1106,0,1
1138,0,0
1161,0,1
1178,0,0
1246,0,1
1317,0,0
1403,0,1
1477,0,0
1503,0,1
1541,0,0
1618,0,1
1668,0,0
1721,0,1
1777,0,0
1803,0,1
1895,0,0
1921,0,1
1980,0,0
1994,0,1
2017,0,0
2034,0,1
2060,0,0
2089,0,1
2127,0,0
2174,0,1
2239,0,0
2295,0,1
2321,0,0
2332,0,1
2421,0,0
2456,0,1
2470,0,0
2511,0,1
2528,0,0
2611,0,1
2700,0,0
2780,0,1
2845,0,0
2931,0,1
3014,0,0
3100,0,1
3186,0,0
3251,0,1
3313,0,0
3333,0,1
3347,0,0
3412,0,1
3480,0,0
3521,0,1
3544,0,0
3615,0,1
3689,0,0
3733,0,1
3825,0,0
3854,0,1
3910,0,0
3933,0,1
3971,0,0
4027,0,1
4104,0,0
4127,0,1
4207,0,0
4254,0,1
4283,0,0
4366,0,1
4425,0,0
4463,0,1
4555,0,0
4638,0,1
4724,0,0
4789,0,1
4824,0,0
4844,0,1
4915,0,0
4965,0,1
5000,0,0
5062,0,1
5118,0,0
5207,0,1
5287,0,0
5325,0,1
5366,0,0
5425,0,1
5487,0,0
5519,0,1
5563,0,0
5631,0,1
5666,0,0
5755,0,1
5826,0,0
5873,0,1
5893,0,0
5934,0,1
6011,0,0
6046,0,1
6081,0,0
6167,0,1
6241,0,0
6318,0,1
6410,0,0
6421,0,1
6438,0,0
6530,0,1
6613,0,0
6660,0,1
6686,0,0
6730,0,1
6816,0,0
6875,0,1
6952,0,0
6972,0,1
7022,0,0
7075,0,1
7149,0,0
7205,0,1
7264,0,0
7302,0,1
7364,0,0
7414,0,1
7503,0,0
7547,0,1
7567,0,0
7611,0,1
7703,0,0
7756,0,1
7788,0,0
7877,0,1
7945,0,0
7998,0,1
8027,0,0
8071,0,1
8115,0,0
8138,0,1
8224,0,0
8283,0,1
8303,0,0
8326,0,1
8415,0,0
8498,0,1
8533,0,0
8562,0,1
8573,0,0
8659,0,1
8715,0,0
8756,0,1
8836,0,0
8895,0,1
8936,0,0
8971,0,1
9027,0,0
9095,0,1
9166,0,0
9216,0,1
9299,0,0
9331,0,1
9414,0,0
9434,0,1
9493,0,0
9573,0,1
9587,0,0
9676,0,1
9741,0,0
9818,0,1
9904,0,0
9957,0,1
10022,0,0
10078,0,1
10128,0,0
10214,0,1
10243,0,0
10293,0,1
10313,0,0
10399,0,1
10416,0,0
10487,0,1
10579,0,0
10662,0,1
10697,0,0
10729,0,1
10773,0,0
10865,0,1
10936,0,0
11004,0,1
11051,0,0
