step,veh_id,ttime
45,left_0_0,45
48,right_0_2,45
52,left_0_1,47
56,left_0_4,45
66,left_0_6,44
73,right_0_7,48
77,right_0_8,46
88,up_0_3,84
91,down_0_9,60
93,up_0_5,77
117,down_0_12,45
132,down_0_15,47
147,left_0_10,98
148,right_0_14,67
150,left_0_11,83
151,left_0_13,77
153,right_0_16,61
165,left_0_20,45
171,left_0_21,46
174,right_0_23,48
176,left_0_22,46
180,right_0_25,48
195,left_0_27,47
217,down_0_17,119
217,up_0_18,114
218,up_0_19,110
220,down_0_24,91
221,up_0_26,86
222,down_0_28,73
252,down_0_34,46
257,up_0_35,45
262,down_0_37,41
279,right_0_30,108
282,left_0_29,123
282,right_0_31,103
283,left_0_33,79
285,right_0_32,101
287,right_0_36,71
289,right_0_38,62
292,right_0_39,53
307,down_0_40,66
308,up_0_41,60
309,down_0_43,52
310,down_0_45,48
332,up_0_49,48
336,down_0_53,43
359,left_0_42,106
359,right_0_52,67
362,left_0_44,104
362,right_0_54,65
364,left_0_46,101
368,left_0_47,86
370,left_0_48,81
373,left_0_50,79
375,left_0_51,76
376,left_0_55,71
378,left_0_56,68
388,left_0_58,45
400,down_0_57,70
401,up_0_59,57
403,up_0_60,54
469,up_0_72,46
478,up_0_74,45
481,down_0_75,47
492,left_0_61,142
493,right_0_62,141
495,left_0_63,136
497,right_0_65,133
498,left_0_64,134
499,right_0_68,110
505,up_0_76,54
514,down_0_78,45
530,up_0_80,46
535,down_0_82,45
548,right_0_69,146
550,left_0_66,178
550,right_0_77,91
552,left_0_67,175
552,right_0_79,69
554,left_0_70,152
556,left_0_71,142
556,right_0_85,60
558,left_0_73,128
559,left_0_81,69
561,left_0_84,62
570,up_0_87,45
574,down_0_83,79
576,down_0_86,64
578,down_0_90,48
583,down_0_91,48
584,up_0_94,43
587,down_0_93,47
612,right_0_88,84
614,right_0_89,81
615,left_0_92,77
616,right_0_95,73
617,left_0_96,67
618,left_0_97,62
657,down_0_98,100
658,up_0_99,78
660,down_0_100,76
661,up_0_102,68
663,down_0_101,73
666,down_0_103,60
679,up_0_108,44
685,up_0_109,45
695,up_0_111,49
714,up_0_114,43
725,up_0_116,42
742,right_0_106,113
743,left_0_104,134
744,right_0_107,110
745,left_0_105,129
746,left_0_112,87
748,right_0_110,106
749,right_0_113,89
750,left_0_115,74
751,right_0_117,64
751,left_0_120,47
753,left_0_121,44
754,right_0_122,45
756,left_0_125,42
759,right_0_123,45
771,left_0_126,44
785,down_0_124,73
787,up_0_118,99
788,up_0_119,87
790,up_0_129,49
792,down_0_130,45
798,up_0_131,44
804,up_0_133,44
828,down_0_135,45
842,left_0_132,83
844,right_0_127,113
844,left_0_134,62
845,left_0_136,58
846,right_0_128,110
848,right_0_139,47
861,right_0_142,47
871,left_0_143,43
876,left_0_145,43
888,left_0_146,47
891,left_0_147,45
897,left_0_148,46
900,left_0_149,44
912,up_0_138,117
913,down_0_137,121
914,up_0_140,113
916,up_0_141,110
920,down_0_144,89
920,up_0_151,65
922,down_0_150,71
959,right_0_156,73
960,left_0_152,95
964,left_0_153,94
964,right_0_158,58
965,left_0_154,90
966,right_0_159,55
967,left_0_155,87
969,left_0_157,77
982,down_0_161,61
986,up_0_160,73
986,down_0_166,45
988,up_0_163,56
990,up_0_164,53
1015,right_0_162,87
1016,left_0_165,77
1017,right_0_168,56
1018,left_0_167,68
1020,left_0_170,53
1023,right_0_171,47
1025,right_0_173,44
1036,left_0_174,48
1036,right_0_177,46
1043,left_0_179,44
1052,left_1_1,44
1064,right_1_3,44
1071,left_1_8,46
1083,right_1_11,47
1087,right_1_12,44
1097,right_1_15,48
1109,up_0_169,143
1109,down_0_172,133
1110,up_1_2,93
1111,down_0_175,121
1113,down_0_176,118
1113,up_1_5,91
1114,down_0_178,114
1116,down_1_0,111
1116,up_1_7,89
1118,down_1_4,99
1118,up_1_14,73
1120,down_1_6,96
1120,up_1_20,46
1122,down_1_9,92
1125,down_1_10,90
1127,down_1_13,87
1127,up_1_21,48
