step,veh_id,ttime
36,4,20
67,5,47
78,9,42
82,15,22
97,14,41
115,18,43
166,32,38
173,2,165
174,0,174
176,10,136
178,34,42
180,11,136
183,30,63
190,3,178
192,8,160
192,12,144
194,13,142
195,19,119
196,7,168
198,22,110
200,24,104
200,27,92
202,25,102
202,38,50
204,21,120
205,28,93
207,37,59
208,42,40
219,45,39
267,49,71
277,1,273
285,66,21
291,33,159
292,17,224
293,6,269
294,20,214
294,58,62
296,16,232
297,69,20
298,50,98
298,57,70
312,68,40
322,71,38
344,76,40
372,77,64
375,83,43
388,81,64
391,84,55
393,41,229
393,88,41
410,43,238
413,23,321
413,46,229
414,47,226
415,29,299
415,53,203
416,60,176
417,52,209
418,55,198
418,62,170
420,56,196
421,100,20
422,26,318
423,63,171
423,65,163
423,82,95
423,89,67
440,39,284
442,54,226
443,44,258
444,48,252
444,74,148
447,61,203
448,70,168
448,72,160
449,40,289
451,78,139
452,31,328
454,64,198
454,97,66
455,98,63
455,99,59
467,87,119
467,93,95
468,67,200
470,79,154
470,91,106
471,103,59
472,80,152
473,59,237
474,94,98
475,73,183
475,85,135
478,90,118
482,92,114
489,113,37
508,122,20
522,35,382
522,120,42
527,51,323
537,129,21
541,102,133
541,108,109
543,106,119
544,111,100
545,75,245
546,36,402
547,96,163
548,112,100
549,86,205
557,105,137
557,117,89
559,109,123
561,114,105
564,101,160
564,118,92
565,125,65
566,116,102
571,134,35
578,138,20
585,137,37
591,115,131
599,140,39
601,144,25
608,147,20
612,128,100
614,107,186
614,121,130
616,123,124
618,110,178
619,95,239
619,141,55
620,139,64
633,148,41
636,119,160
641,126,137
646,136,102
647,130,127
648,124,152
651,104,235
651,131,127
651,142,83
652,149,56
653,135,113
654,132,126
657,133,125
678,143,106
683,151,79
690,127,182
691,146,107
692,157,64
692,161,48
697,169,21
721,158,89
735,174,39
743,175,42
763,181,39
779,153,167
779,154,163
779,159,143
781,150,181
783,177,75
785,160,145
787,168,115
801,167,133
809,152,201
811,193,39
817,155,197
822,170,142
824,145,244
824,171,140
825,173,133
826,176,122
827,166,163
832,191,68
840,199,44
843,200,43
879,210,39
903,221,19
906,211,62
911,218,39
914,156,290
918,164,262
920,182,192
921,162,273
923,196,139
924,180,204
925,186,181
926,183,194
927,204,111
931,165,271
931,189,175
932,206,108
935,205,115
935,209,99
937,192,169
937,217,69
940,230,20
941,225,41
945,188,193
949,232,21
967,227,59
989,242,21
992,237,44
994,239,38
1002,184,266
1002,213,150
1008,179,292
1008,234,72
1014,163,362
1016,190,256
1017,201,213
1018,172,330
1019,178,307
1020,185,280
1021,207,193
1023,195,243
1024,208,192
1025,216,161
1028,251,22
1029,214,173
1029,238,77
1031,222,143
1035,249,39
1042,194,266
1046,255,26
1048,212,200
1050,252,42
1052,224,156
1058,246,74
1059,257,31
1064,260,24
1068,262,20
1093,268,21
1094,263,42
1106,229,190
1122,215,262
1122,219,246
1123,187,375
1123,197,335
1123,226,219
1124,198,332
1124,265,64
