step,tl_id,new_state
21,0,1
113,0,0
199,0,1
222,0,0
293,0,1
310,0,0
348,0,1
419,0,0
436,0,1
507,0,0
581,0,1
673,0,0
744,0,1
821,0,0
877,0,1
966,0,0
1049,0,1
1114,0,0
1206,0,1
1268,0,0
1345,0,1
1413,0,0
1484,0,1
1576,0,0
1665,0,1
1751,0,0
1837,0,1
1929,0,0
2018,0,1
2110,0,0
2202,0,1
2273,0,0
2326,0,1
2385,0,0
2447,0,1
2527,0,0
2592,0,1
2624,0,0
2668,0,1
2721,0,0
2756,0,1
2791,0,0
2856,0,1
2948,0,0
3010,0,1
3090,0,0
3155,0,1
3244,0,0
3279,0,1
3341,0,0
3403,0,1
3465,0,0
3476,0,1
3562,0,0
3612,0,1
3671,0,0
3697,0,1
3711,0,0
3791,0,1
3850,0,0
3888,0,1
3968,0,0
4054,0,1
4134,0,0
4169,0,1
4210,0,0
4278,0,1
4367,0,0
4405,0,1
4482,0,0
4574,0,1
4657,0,0
4722,0,1
4784,0,0
4870,0,1
4953,0,0
5009,0,1
5089,0,0
5142,0,1
5228,0,0
5299,0,1
5388,0,0
5438,0,1
5497,0,0
5571,0,1
5660,0,0
5737,0,1
5799,0,0
5891,0,1
5971,0,0
6048,0,1
6131,0,0
6196,0,1
6279,0,0
6311,0,1
6376,0,0
6459,0,1
6548,0,0
6574,0,1
6621,0,0
6713,0,1
6802,0,0
6822,0,1
6908,0,0
6997,0,1
7020,0,0
7112,0,1
7171,0,0
7263,0,1
7328,0,0
7414,0,1
7446,0,0
7505,0,1
7594,0,0
7635,0,1
7694,0,0
7726,0,1
7749,0,0
7787,0,1
7828,0,0
7881,0,1
7973,0,0
8005,0,1
8061,0,0
8099,0,1
8176,0,0
8256,0,1
8309,0,0
8365,0,1
8379,0,0
8432,0,1
8500,0,0
8577,0,1
8663,0,0
8716,0,1
8784,0,0
8861,0,1
8932,0,0
9024,0,1
9098,0,0
9169,0,1
9261,0,0
9350,0,1
9433,0,0
9519,0,1
9605,0,0
9679,0,1
9759,0,0
9827,0,1
9904,0,0
9996,0,1
10076,0,0
10159,0,1
10188,0,0
10271,0,1
10363,0,0
10443,0,1
10520,0,0
