step,tl_id,new_state
21,0,1
110,0,0
187,0,1
276,0,0
353,0,1
412,0,0
495,0,1
548,0,0
640,0,1
717,0,0
728,0,1
814,0,0
900,0,1
965,0,0
1027,0,1
1113,0,0
1199,0,1
1219,0,0
1281,0,1
1343,0,0
1432,0,1
1485,0,0
1556,0,1
1645,0,0
1719,0,1
1796,0,0
1858,0,1
1869,0,0
1895,0,1
1972,0,0
2064,0,1
2129,0,0
2185,0,1
2247,0,0
2324,0,1
2377,0,0
2466,0,1
2513,0,0
2524,0,1
2601,0,0
2687,0,1
2761,0,0
2847,0,1
2921,0,0
2971,0,1
3045,0,0
3113,0,1
3199,0,0
3291,0,1
3317,0,0
3403,0,1
3474,0,0
3530,0,1
3604,0,0
3678,0,1
3692,0,0
3745,0,1
3834,0,0
3899,0,1
3991,0,0
4077,0,1
4121,0,0
4213,0,1
4305,0,0
4376,0,1
4414,0,0
4446,0,1
4481,0,0
4573,0,1
4659,0,0
4682,0,1
4759,0,0
4818,0,1
4901,0,0
4951,0,1
5004,0,0
5051,0,1
5143,0,0
5232,0,1
5324,0,0
5356,0,1
5388,0,0
5480,0,1
5551,0,0
5643,0,1
5732,0,0
5779,0,1
5835,0,0
5912,0,1
5959,0,0
6027,0,1
6113,0,0
6202,0,1
6276,0,0
6359,0,1
6409,0,0
6435,0,1
6491,0,0
6559,0,1
6651,0,0
6677,0,1
6745,0,0
6825,0,1
6890,0,0
6979,0,1
7056,0,0
7148,0,1
7201,0,0
7290,0,1
7367,0,0
7432,0,1
7509,0,0
7586,0,1
7615,0,0
7662,0,1
7745,0,0
7837,0,1
7890,0,0
7904,0,1
7966,0,0
8034,0,1
8123,0,0
8191,0,1
8214,0,0
8297,0,1
8383,0,0
8463,0,1
8537,0,0
8623,0,1
8691,0,0
8777,0,1
8860,0,0
8919,0,1
8990,0,0
9022,0,1
9114,0,0
9203,0,1
9274,0,0
9285,0,1
9377,0,0
9457,0,1
9546,0,0
9614,0,1
9682,0,0
9753,0,1
9842,0,0
9928,0,1
9939,0,0
10016,0,1
10084,0,0
10119,0,1
10139,0,0
10210,0,1
10278,0,0
10343,0,1
10432,0,0
