step,tl_id,reward_type,previous,current,max,reward
25,0,vehicle_number_of_stops,0,0,566.0,1.0
96,0,vehicle_number_of_stops,0,0,566.0,1.0
185,0,vehicle_number_of_stops,0,0,566.0,1.0
256,0,vehicle_number_of_stops,0,1,566.0,0.9982332155477032
327,0,vehicle_number_of_stops,1,0,566.0,1.0
410,0,vehicle_number_of_stops,0,0,566.0,1.0
499,0,vehicle_number_of_stops,0,0,566.0,1.0
558,0,vehicle_number_of_stops,0,0,566.0,1.0
647,0,vehicle_number_of_stops,0,0,566.0,1.0
721,0,vehicle_number_of_stops,0,0,566.0,1.0
804,0,vehicle_number_of_stops,0,0,566.0,1.0
839,0,vehicle_number_of_stops,0,0,566.0,1.0
931,0,vehicle_number_of_stops,0,1,566.0,0.9982332155477032
942,0,vehicle_number_of_stops,1,1,566.0,0.9982332155477032
977,0,vehicle_number_of_stops,1,1,566.0,0.9982332155477032
1057,0,vehicle_number_of_stops,1,0,566.0,1.0
1125,0,vehicle_number_of_stops,0,2,566.0,0.9964664310954063
1193,0,vehicle_number_of_stops,2,0,566.0,1.0
1264,0,vehicle_number_of_stops,0,0,566.0,1.0
1350,0,vehicle_number_of_stops,0,1,566.0,0.9982332155477032
1421,0,vehicle_number_of_stops,1,0,566.0,1.0
1480,0,vehicle_number_of_stops,0,1,566.0,0.9982332155477032
1572,0,vehicle_number_of_stops,1,0,566.0,1.0
1634,0,vehicle_number_of_stops,0,0,566.0,1.0
1723,0,vehicle_number_of_stops,0,0,566.0,1.0
1773,0,vehicle_number_of_stops,0,1,566.0,0.9982332155477032
1847,0,vehicle_number_of_stops,1,2,566.0,0.9964664310954063
1939,0,vehicle_number_of_stops,2,1,566.0,0.9982332155477032
1986,0,vehicle_number_of_stops,1,1,566.0,0.9982332155477032
2069,0,vehicle_number_of_stops,1,0,566.0,1.0
2152,0,vehicle_number_of_stops,0,0,566.0,1.0
2241,0,vehicle_number_of_stops,0,1,566.0,0.9982332155477032
2330,0,vehicle_number_of_stops,1,1,566.0,0.9982332155477032
2380,0,vehicle_number_of_stops,1,2,566.0,0.9964664310954063
2454,0,vehicle_number_of_stops,2,0,566.0,1.0
2540,0,vehicle_number_of_stops,0,1,566.0,0.9982332155477032
2611,0,vehicle_number_of_stops,1,0,566.0,1.0
2673,0,vehicle_number_of_stops,0,1,566.0,0.9982332155477032
2750,0,vehicle_number_of_stops,1,2,566.0,0.9964664310954063
2830,0,vehicle_number_of_stops,2,0,566.0,1.0
2877,0,vehicle_number_of_stops,0,2,566.0,0.9964664310954063
2960,0,vehicle_number_of_stops,2,1,566.0,0.9982332155477032
3019,0,vehicle_number_of_stops,1,6,566.0,0.9893992932862191
3084,0,vehicle_number_of_stops,6,1,566.0,0.9982332155477032
3104,0,vehicle_number_of_stops,1,2,566.0,0.9964664310954063
3142,0,vehicle_number_of_stops,2,0,566.0,1.0
3153,0,vehicle_number_of_stops,0,2,566.0,0.9964664310954063
3242,0,vehicle_number_of_stops,2,0,566.0,1.0
3292,0,vehicle_number_of_stops,0,2,566.0,0.9964664310954063
3366,0,vehicle_number_of_stops,2,0,566.0,1.0
3425,0,vehicle_number_of_stops,0,2,566.0,0.9964664310954063
3481,0,vehicle_number_of_stops,2,0,566.0,1.0
3558,0,vehicle_number_of_stops,0,4,566.0,0.9929328621908127
3650,0,vehicle_number_of_stops,4,1,566.0,0.9982332155477032
3724,0,vehicle_number_of_stops,1,2,566.0,0.9964664310954063
3798,0,vehicle_number_of_stops,2,0,566.0,1.0
3851,0,vehicle_number_of_stops,0,3,566.0,0.9946996466431095
3928,0,vehicle_number_of_stops,3,2,566.0,0.9964664310954063
3948,0,vehicle_number_of_stops,2,3,566.0,0.9946996466431095
3959,0,vehicle_number_of_stops,3,5,566.0,0.991166077738516
3997,0,vehicle_number_of_stops,5,3,566.0,0.9946996466431095
4074,0,vehicle_number_of_stops,3,1,566.0,0.9982332155477032
4151,0,vehicle_number_of_stops,1,3,566.0,0.9946996466431095
4165,0,vehicle_number_of_stops,3,4,566.0,0.9929328621908127
4194,0,vehicle_number_of_stops,4,3,566.0,0.9946996466431095
4271,0,vehicle_number_of_stops,3,1,566.0,0.9982332155477032
4339,0,vehicle_number_of_stops,1,2,566.0,0.9964664310954063
4419,0,vehicle_number_of_stops,2,0,566.0,1.0
4469,0,vehicle_number_of_stops,0,3,566.0,0.9946996466431095
4537,0,vehicle_number_of_stops,3,2,566.0,0.9964664310954063
4590,0,vehicle_number_of_stops,2,1,566.0,0.9982332155477032
4640,0,vehicle_number_of_stops,1,0,566.0,1.0
4681,0,vehicle_number_of_stops,0,3,566.0,0.9946996466431095
4755,0,vehicle_number_of_stops,3,0,566.0,1.0
4841,0,vehicle_number_of_stops,0,3,566.0,0.9946996466431095
4927,0,vehicle_number_of_stops,3,0,566.0,1.0
4956,0,vehicle_number_of_stops,0,2,566.0,0.9964664310954063
5045,0,vehicle_number_of_stops,2,1,566.0,0.9982332155477032
5110,0,vehicle_number_of_stops,1,3,566.0,0.9946996466431095
5184,0,vehicle_number_of_stops,3,0,566.0,1.0
5219,0,vehicle_number_of_stops,0,2,566.0,0.9964664310954063
5302,0,vehicle_number_of_stops,2,0,566.0,1.0
5385,0,vehicle_number_of_stops,0,2,566.0,0.9964664310954063
5435,0,vehicle_number_of_stops,2,2,566.0,0.9964664310954063
5518,0,vehicle_number_of_stops,2,1,566.0,0.9982332155477032
5553,0,vehicle_number_of_stops,1,2,566.0,0.9964664310954063
5618,0,vehicle_number_of_stops,2,0,566.0,1.0
5707,0,vehicle_number_of_stops,0,2,566.0,0.9964664310954063
5718,0,vehicle_number_of_stops,2,0,566.0,1.0
5804,0,vehicle_number_of_stops,0,0,566.0,1.0
5857,0,vehicle_number_of_stops,0,3,566.0,0.9946996466431095
5940,0,vehicle_number_of_stops,3,2,566.0,0.9964664310954063
5978,0,vehicle_number_of_stops,2,2,566.0,0.9964664310954063
6025,0,vehicle_number_of_stops,2,2,566.0,0.9964664310954063
6102,0,vehicle_number_of_stops,2,2,566.0,0.9964664310954063
6191,0,vehicle_number_of_stops,2,2,566.0,0.9964664310954063
6256,0,vehicle_number_of_stops,2,3,566.0,0.9946996466431095
6300,0,vehicle_number_of_stops,3,2,566.0,0.9964664310954063
6377,0,vehicle_number_of_stops,2,3,566.0,0.9946996466431095
6454,0,vehicle_number_of_stops,3,1,566.0,0.9982332155477032
6483,0,vehicle_number_of_stops,1,0,566.0,1.0
6548,0,vehicle_number_of_stops,0,0,566.0,1.0
6619,0,vehicle_number_of_stops,0,4,566.0,0.9929328621908127
6675,0,vehicle_number_of_stops,4,1,566.0,0.9982332155477032
6755,0,vehicle_number_of_stops,1,0,566.0,1.0
6787,0,vehicle_number_of_stops,0,2,566.0,0.9964664310954063
6807,0,vehicle_number_of_stops,2,1,566.0,0.9982332155477032
6890,0,vehicle_number_of_stops,1,0,566.0,1.0
6916,0,vehicle_number_of_stops,0,4,566.0,0.9929328621908127
6996,0,vehicle_number_of_stops,4,0,566.0,1.0
7028,0,vehicle_number_of_stops,0,3,566.0,0.9946996466431095
7111,0,vehicle_number_of_stops,3,1,566.0,0.9982332155477032
7149,0,vehicle_number_of_stops,1,3,566.0,0.9946996466431095
7202,0,vehicle_number_of_stops,3,3,566.0,0.9946996466431095
7282,0,vehicle_number_of_stops,3,2,566.0,0.9964664310954063
7314,0,vehicle_number_of_stops,2,4,566.0,0.9929328621908127
7397,0,vehicle_number_of_stops,4,2,566.0,0.9964664310954063
7444,0,vehicle_number_of_stops,2,3,566.0,0.9946996466431095
7509,0,vehicle_number_of_stops,3,0,566.0,1.0
7532,0,vehicle_number_of_stops,0,6,566.0,0.9893992932862191
7609,0,vehicle_number_of_stops,6,0,566.0,1.0
7677,0,vehicle_number_of_stops,0,2,566.0,0.9964664310954063
7742,0,vehicle_number_of_stops,2,0,566.0,1.0
7789,0,vehicle_number_of_stops,0,2,566.0,0.9964664310954063
7875,0,vehicle_number_of_stops,2,3,566.0,0.9946996466431095
7967,0,vehicle_number_of_stops,3,3,566.0,0.9946996466431095
8038,0,vehicle_number_of_stops,3,1,566.0,0.9982332155477032
8082,0,vehicle_number_of_stops,1,5,566.0,0.991166077738516
8174,0,vehicle_number_of_stops,5,0,566.0,1.0
8185,0,vehicle_number_of_stops,0,2,566.0,0.9964664310954063
8259,0,vehicle_number_of_stops,2,0,566.0,1.0
8333,0,vehicle_number_of_stops,0,1,566.0,0.9982332155477032
8425,0,vehicle_number_of_stops,1,1,566.0,0.9982332155477032
8496,0,vehicle_number_of_stops,1,2,566.0,0.9964664310954063
8570,0,vehicle_number_of_stops,2,1,566.0,0.9982332155477032
8662,0,vehicle_number_of_stops,1,5,566.0,0.991166077738516
8706,0,vehicle_number_of_stops,5,0,566.0,1.0
8735,0,vehicle_number_of_stops,0,2,566.0,0.9964664310954063
8809,0,vehicle_number_of_stops,2,0,566.0,1.0
8883,0,vehicle_number_of_stops,0,3,566.0,0.9946996466431095
8924,0,vehicle_number_of_stops,3,0,566.0,1.0
9016,0,vehicle_number_of_stops,0,0,566.0,1.0
9066,0,vehicle_number_of_stops,0,0,566.0,1.0
9152,0,vehicle_number_of_stops,0,0,566.0,1.0
9208,0,vehicle_number_of_stops,0,0,566.0,1.0
9294,0,vehicle_number_of_stops,0,0,566.0,1.0
9314,0,vehicle_number_of_stops,0,0,566.0,1.0
9400,0,vehicle_number_of_stops,0,1,566.0,0.9982332155477032
9414,0,vehicle_number_of_stops,1,1,566.0,0.9982332155477032
9488,0,vehicle_number_of_stops,1,0,566.0,1.0
9511,0,vehicle_number_of_stops,0,0,566.0,1.0
9585,0,vehicle_number_of_stops,0,0,566.0,1.0
9662,0,vehicle_number_of_stops,0,1,566.0,0.9982332155477032
9745,0,vehicle_number_of_stops,1,0,566.0,1.0
9825,0,vehicle_number_of_stops,0,0,566.0,1.0
9884,0,vehicle_number_of_stops,0,1,566.0,0.9982332155477032
9922,0,vehicle_number_of_stops,1,0,566.0,1.0
9978,0,vehicle_number_of_stops,0,0,566.0,1.0
10070,0,vehicle_number_of_stops,0,0,566.0,1.0
10150,0,vehicle_number_of_stops,0,0,566.0,1.0
10227,0,vehicle_number_of_stops,0,0,566.0,1.0
10262,0,vehicle_number_of_stops,0,0,566.0,1.0
10342,0,vehicle_number_of_stops,0,0,566.0,1.0
10434,0,vehicle_number_of_stops,0,0,566.0,1.0
