step,veh_id,ttime
88,left_0_0,88
94,right_0_2,91
99,left_0_1,94
101,left_0_4,91
112,left_0_6,90
122,right_0_7,97
126,right_0_8,95
136,left_0_10,87
162,up_0_3,158
172,down_0_9,141
174,up_0_5,158
174,down_0_12,102
180,down_0_15,95
193,down_0_17,95
196,up_0_18,93
198,up_0_19,90
223,left_0_11,156
224,left_0_13,150
224,right_0_14,143
227,left_0_20,107
229,left_0_21,103
232,right_0_16,140
232,left_0_22,101
234,right_0_23,108
236,right_0_25,104
240,left_0_27,93
253,up_0_26,118
258,down_0_24,129
260,down_0_28,111
297,down_0_34,91
302,up_0_35,90
314,right_0_30,143
317,right_0_31,138
323,left_0_29,164
324,right_0_32,140
325,left_0_33,121
327,right_0_36,111
329,right_0_38,100
337,right_0_39,97
341,left_0_42,88
348,left_0_44,90
356,left_0_46,93
379,left_0_47,98
382,right_0_52,90
385,left_0_48,99
390,left_0_50,99
392,down_0_37,172
398,down_0_40,157
399,up_0_41,151
400,down_0_43,144
402,down_0_45,141
404,down_0_53,111
406,up_0_49,122
416,down_0_57,86
438,up_0_59,94
439,up_0_60,90
480,left_0_51,184
487,right_0_54,190
488,left_0_55,187
489,right_0_62,137
495,left_0_56,189
497,left_0_58,154
497,right_0_65,134
498,left_0_61,148
499,right_0_68,109
500,left_0_63,143
501,right_0_69,99
502,left_0_64,139
505,left_0_66,133
507,left_0_67,130
508,left_0_70,106
510,left_0_71,96
517,up_0_72,94
525,down_0_75,91
527,up_0_74,94
541,up_0_76,90
559,down_0_78,91
574,up_0_80,90
579,down_0_82,89
588,down_0_83,93
602,left_0_73,172
605,right_0_77,146
607,right_0_79,124
607,left_0_81,117
609,left_0_84,114
610,right_0_85,112
620,right_0_88,92
624,right_0_89,91
632,right_0_95,89
639,left_0_92,101
650,up_0_87,125
651,down_0_86,139
651,up_0_94,110
653,down_0_90,123
660,down_0_91,125
662,down_0_93,121
664,down_0_98,107
668,up_0_99,88
669,down_0_100,87
680,down_0_101,93
685,up_0_102,92
698,left_0_96,148
705,left_0_97,150
707,left_0_104,97
709,left_0_105,94
720,right_0_106,91
724,right_0_107,90
737,right_0_110,95
746,left_0_112,87
751,right_0_113,91
771,left_0_115,95
776,up_0_108,141
780,down_0_103,174
782,up_0_109,142
789,up_0_111,143
791,up_0_114,120
793,up_0_116,110
795,up_0_118,107
796,up_0_119,95
801,down_0_124,89
831,up_0_129,90
837,down_0_130,90
843,up_0_131,89
849,up_0_133,89
867,right_0_117,180
869,right_0_122,160
870,left_0_120,166
871,right_0_123,157
872,left_0_121,163
874,left_0_125,160
875,left_0_126,148
878,left_0_132,120
879,left_0_134,97
881,left_0_136,94
883,right_0_127,152
885,right_0_128,149
894,right_0_139,93
908,right_0_142,94
914,left_0_143,86
918,left_0_145,85
938,left_0_146,97
940,left_0_147,94
950,up_0_138,155
951,down_0_135,168
952,up_0_140,151
953,down_0_137,157
953,up_0_141,147
957,up_0_151,102
971,down_0_144,140
973,down_0_150,122
998,right_0_156,112
1005,left_0_148,154
1006,left_0_149,150
1008,left_0_152,139
1009,right_0_158,103
1011,right_0_159,100
1013,left_0_153,139
1015,left_0_154,136
1016,left_0_155,131
1018,left_0_157,126
1019,right_0_162,91
1035,left_0_165,96
1041,left_0_167,91
1052,right_0_168,91
1054,left_0_170,87
1074,right_0_171,98
1076,right_0_173,95
1087,down_0_161,166
1091,down_0_166,150
1096,up_0_160,183
1098,up_0_163,166
1099,down_0_172,123
1100,up_0_164,164
1100,down_0_175,112
1101,up_0_169,135
1102,down_0_176,109
1104,down_0_178,106
1106,down_1_0,103
1106,up_1_2,89
1113,down_1_4,94
1114,down_1_6,90
1117,up_1_5,95
1122,down_1_9,93
1123,up_1_7,96
1131,down_1_10,96
1133,down_1_13,93
1135,up_1_14,90
1160,down_1_17,98
1169,up_1_20,95
1178,right_0_177,188
1179,right_1_3,160
1180,left_0_174,192
1182,left_0_179,183
1183,left_1_1,174
1186,left_1_8,161
1186,right_1_11,150
1188,right_1_12,147
1195,right_1_15,146
1195,left_1_31,89
1197,right_1_16,143
1198,right_1_18,133
1202,right_1_19,131
1204,right_1_23,123
1206,right_1_29,108
1212,left_1_37,88
1215,right_1_34,102
1216,right_1_35,98
1217,left_1_38,88
1218,right_1_36,94
1229,right_1_39,96
1236,down_1_22,159
1238,down_1_24,151
1243,up_1_21,164
1243,down_1_46,83
1245,up_1_25,157
1247,up_1_26,154
1249,up_1_27,149
1251,up_1_28,145
1252,up_1_30,138
1252,down_1_47,87
1254,up_1_32,135
1256,up_1_33,132
1258,up_1_40,124
1258,down_1_51,85
1259,up_1_41,120
1261,up_1_48,99
1263,up_1_49,96
1263,down_1_53,85
1265,up_1_50,93
1269,up_1_56,89
1279,down_1_54,96
1280,down_1_58,92
1282,up_1_61,91
1288,down_1_60,94
1301,down_1_63,92
1308,down_1_66,92
1320,left_1_43,170
1324,left_1_44,169
1329,left_1_52,154
1331,left_1_65,115
1332,right_1_42,194
1332,left_1_69,98
1333,right_1_45,175
1335,right_1_55,152
1337,right_1_57,149
1339,right_1_59,144
1339,left_1_71,100
1341,right_1_62,132
1342,right_1_64,128
1349,right_1_76,94
1351,left_1_74,99
1351,right_1_78,91
1367,right_1_79,102
1368,right_1_81,97
1371,right_1_83,94
1379,left_1_85,94
1386,right_1_86,92
1402,down_1_67,181
1404,down_1_68,178
1404,up_1_72,165
1407,up_1_73,163
1409,up_1_77,151
1411,down_1_70,174
1424,up_1_80,157
1426,up_1_84,146
1428,down_1_75,176
1430,down_1_82,155
1430,right_1_88,126
1431,down_1_87,130
1431,left_1_90,120
1432,right_1_89,123
1439,right_1_91,124
1441,right_1_92,121
1443,left_1_100,92
1445,right_1_94,113
1446,right_1_96,109
1448,right_1_101,92
1484,right_1_104,109
1486,up_1_95,153
1487,down_1_93,159
1488,up_1_97,150
1488,down_1_105,110
1491,up_1_98,148
1493,up_1_99,145
1496,down_1_107,113
1497,up_1_102,140
1497,down_1_109,109
1498,up_1_103,133
1499,down_1_111,106
1500,up_1_106,121
1501,down_1_116,101
1502,up_1_112,113
1503,down_1_120,91
1504,up_1_113,110
1505,up_1_114,106
1507,up_1_119,96
1524,up_1_122,93
1528,down_1_127,91
1529,up_1_129,89
1543,down_1_130,96
1544,down_1_132,88
1549,up_1_133,88
1551,down_1_135,85
1568,left_1_108,182
1572,right_1_110,186
1574,left_1_117,170
1575,right_1_115,175
1577,right_1_118,171
1578,left_1_121,157
1579,right_1_124,148
1580,left_1_123,150
1581,right_1_125,145
1582,left_1_128,143
1583,right_1_126,140
1583,left_1_138,106
1585,right_1_131,134
1586,right_1_134,121
1588,right_1_140,98
1600,left_1_144,95
1601,right_1_145,91
1610,right_1_146,95
1615,left_1_149,97
1656,down_1_139,168
1657,up_1_136,188
1664,up_1_137,189
1669,down_1_141,176
1671,up_1_142,180
1673,up_1_153,136
1674,down_1_143,176
1675,up_1_155,131
1676,down_1_147,160
1677,up_1_156,126
1678,down_1_148,157
1678,up_1_159,121
1679,down_1_150,153
1680,up_1_160,118
1681,down_1_151,149
1683,down_1_152,146
1684,up_1_161,117
1685,down_1_154,141
1686,down_1_157,135
1686,up_1_163,114
1688,down_1_158,131
1690,down_1_162,128
1692,down_1_168,104
1697,up_1_169,97
1705,right_1_164,133
1709,right_1_165,126
1710,right_1_166,122
1715,left_1_171,102
1720,right_1_167,127
1723,up_1_170,115
1725,down_1_172,112
1725,up_1_175,91
1727,down_1_173,109
1732,up_1_180,84
1735,down_1_177,94
1737,down_1_178,91
1747,up_1_185,86
1754,down_1_183,96
1763,down_1_187,92
1765,up_1_190,86
1768,down_1_189,90
1776,up_1_192,90
1781,down_1_191,95
1785,down_1_194,94
1787,down_1_196,90
1796,up_1_195,104
1798,up_1_197,101
1799,up_1_198,97
1807,up_1_199,100
1814,left_1_174,182
1815,right_1_176,178
1818,right_1_181,164
1820,right_1_182,161
1821,right_1_184,157
1822,left_1_179,175
1823,right_1_186,154
1824,left_1_188,149
1826,left_1_201,116
1828,left_1_208,98
1829,right_1_193,141
1834,right_1_200,124
1836,right_1_203,121
1838,right_1_204,118
1840,right_1_206,112
1841,right_1_215,89
1855,right_1_218,81
1867,right_1_219,88
1872,left_1_220,94
1874,right_1_222,90
1874,left_1_223,91
1876,right_1_224,87
1895,down_1_205,177
1904,up_1_202,192
1904,down_1_207,176
1906,down_1_209,173
1906,up_1_217,143
1907,down_1_210,169
1908,up_1_221,130
1909,down_1_211,166
1910,up_1_226,116
1911,down_1_212,162
1911,up_1_229,108
1912,down_1_213,158
1913,up_1_231,104
1914,down_1_214,155
1916,down_1_216,151
1918,down_1_225,125
1920,down_1_230,113
1920,up_1_233,106
1922,down_1_232,110
1922,up_1_235,102
1923,down_1_237,98
1923,up_1_241,90
1926,down_1_238,96
1927,down_1_239,92
1929,up_1_243,91
1930,down_1_249,82
1942,up_1_245,99
1943,up_1_247,95
1947,up_1_248,93
1956,down_1_251,102
1957,right_1_228,154
1958,right_1_236,136
1964,right_1_242,130
1965,left_1_227,168
1966,right_1_246,124
1967,left_1_234,146
1967,right_1_250,113
1969,left_1_240,138
1969,right_1_252,110
1970,left_1_244,134
1972,left_1_257,105
1974,left_1_259,102
1983,left_1_264,94
1990,right_1_266,90
1996,right_1_270,88
2006,left_1_272,92
2020,right_1_273,92
2022,left_1_276,88
2023,right_1_277,86
2044,left_1_278,105
2045,down_1_253,186
2054,down_1_256,190
2056,down_1_262,171
2058,down_1_265,161
2059,down_1_267,148
2060,up_1_254,201
2062,up_1_255,198
2064,up_1_258,195
2064,down_1_268,148
2066,up_1_260,192
2066,down_1_274,137
2068,up_1_261,189
2068,down_1_275,134
2069,up_1_263,184
2070,down_1_282,113
2071,up_1_269,164
2073,up_1_271,159
2078,up_1_279,133
2080,up_1_280,130
2080,right_1_286,110
2083,left_1_281,125
2085,left_1_284,116
2087,left_1_287,113
2087,right_1_289,112
2088,left_1_288,109
2089,right_1_292,109
2090,left_1_291,106
2091,right_1_295,106
2092,left_1_293,102
2092,right_1_301,102
2094,left_1_296,98
2094,right_1_309,97
2096,left_1_297,95
2100,up_1_283,140
2104,down_1_300,120
2106,up_1_285,141
2106,down_1_307,111
2108,up_1_290,136
2110,up_1_294,133
2112,up_1_302,126
2116,up_1_303,125
2116,down_1_315,116
2118,down_2_1,113
2119,up_1_304,123
2120,up_1_305,119
2120,down_2_4,110
2121,down_2_8,106
2122,up_1_306,116
2123,down_2_19,103
2124,up_1_308,113
2125,down_2_24,100
2126,up_1_311,110
2127,up_2_2,106
2127,down_2_27,97
2128,down_2_29,93
2130,down_2_31,90
2134,up_2_5,108
2136,down_2_35,91
2149,down_2_39,99
2153,up_2_11,122
2155,up_2_25,119
2156,up_2_30,115
2158,up_2_40,112
2160,up_2_41,109
2162,up_2_45,103
2163,right_1_312,161
2164,up_2_46,100
2165,right_1_313,158
2168,right_2_0,156
2173,left_1_298,167
2175,left_1_299,164
2175,right_2_7,157
2176,left_1_310,160
2177,right_2_12,154
2178,left_1_314,155
2179,right_2_15,151
2180,left_2_3,152
2180,right_2_16,146
2182,left_2_6,149
2182,right_2_17,143
2184,left_2_9,146
2185,left_2_10,142
2187,left_2_13,138
2188,right_2_20,144
2189,left_2_14,135
2191,left_2_18,132
2193,right_2_26,144
2194,left_2_21,130
2195,right_2_28,139
2196,left_2_22,127
2197,left_2_23,122
2197,right_2_37,136
2199,left_2_32,119
2199,right_2_42,133
2200,right_2_48,129
2201,left_2_33,116
2202,right_2_58,126
2203,left_2_34,111
2204,right_2_60,123
2205,left_2_36,108
2206,left_2_38,104
2206,right_2_62,118
2208,left_2_43,101
2208,right_2_64,112
2209,right_2_67,107
2210,left_2_44,98
2211,right_2_69,104
2214,left_2_47,97
2215,left_2_49,93
2216,right_2_72,104
2218,right_2_74,101
2219,right_2_76,97
2220,left_2_50,93
2221,right_2_81,94
2223,right_2_87,91
2225,left_2_53,93
2238,up_2_51,168
2240,up_2_52,165
2243,up_2_56,163
2244,up_2_59,159
2244,down_2_78,175
2245,down_2_85,171
2247,down_2_86,167
2249,up_2_61,159
2249,down_2_91,164
2251,down_2_96,161
2252,up_2_63,156
2252,down_2_99,156
2254,up_2_66,153
2254,down_2_101,153
2256,down_2_110,150
2258,down_2_119,146
2260,down_2_121,140
2261,down_2_126,134
2262,up_2_68,156
2263,up_2_73,152
2263,down_2_136,129
2265,up_2_77,149
2265,down_2_138,126
2267,up_2_80,146
2269,up_2_82,141
2271,up_2_88,138
2272,up_2_102,134
2273,down_2_149,129
2275,up_2_103,132
2275,down_2_160,126
2276,up_2_112,127
2276,down_2_164,120
2278,up_2_115,124
2278,down_2_166,114
2280,up_2_117,121
2280,down_2_177,112
2282,up_2_123,118
2282,down_2_179,108
2284,up_2_131,115
2284,down_2_184,104
2285,down_2_185,100
2286,up_2_132,112
2287,up_2_140,108
2287,down_2_189,97
2289,up_2_141,105
2289,down_2_201,94
2291,up_2_144,102
2291,down_2_212,91
2293,up_2_148,99
2295,up_2_150,95
2297,up_2_151,92
2297,down_2_218,92
2312,right_2_89,175
2313,left_2_54,176
2318,right_2_93,176
2320,left_2_55,178
2320,right_2_97,173
2322,right_2_100,170
2324,left_2_57,177
2324,right_2_104,167
2325,right_2_106,163
2326,left_2_65,174
2328,left_2_70,171
2329,left_2_71,166
2330,down_2_221,120
2331,left_2_75,163
2334,down_2_222,119
2340,down_2_224,120
2345,up_2_153,135
2347,up_2_155,132
2348,up_2_157,127
2349,down_2_229,124
2350,up_2_167,124
2351,down_2_232,121
2352,up_2_178,121
2353,down_2_236,118
2354,up_2_182,118
2354,down_2_242,110
2356,up_2_190,115
2356,down_2_247,107
2357,up_2_193,110
2358,down_2_259,104
2359,up_2_195,107
2360,down_2_265,101
2361,up_2_198,100
2362,down_2_273,97
2363,up_2_204,97
2363,down_2_281,91
2370,up_2_206,94
2378,up_2_211,93
2380,up_2_215,89
2383,up_2_219,86
2386,down_2_286,108
2388,down_2_287,101
2390,down_2_291,95
2391,down_2_313,91
2398,up_2_225,96
2399,up_2_230,91
2405,down_2_315,100
2407,down_2_322,97
2416,up_2_231,103
2418,up_2_233,100
2420,up_2_239,96
2420,down_2_332,105
2422,down_2_336,102
2427,right_2_107,260
2429,left_2_79,254
2429,right_2_113,253
2432,left_2_83,252
2432,right_2_122,247
2433,right_2_127,242
2434,left_2_84,249
2435,right_2_129,238
2436,left_2_90,246
2437,right_2_130,227
2439,left_2_92,244
2440,left_2_94,238
2442,left_2_95,233
2444,left_2_98,225
2444,right_2_133,228
2446,left_2_105,222
2446,right_2_134,225
2448,right_2_142,222
2450,right_2_146,219
2451,left_2_108,222
2451,right_2_158,215
2453,left_2_109,219
2453,right_2_161,212
2454,left_2_111,215
2456,left_2_114,211
2458,left_2_116,208
2460,left_2_118,205
2461,left_2_120,201
2462,right_2_163,216
2463,left_2_124,198
2463,right_2_168,211
2465,left_2_125,195
2465,right_2_170,208
2467,left_2_128,191
2467,right_2_172,205
2468,left_2_135,187
2469,right_2_175,202
2470,left_2_137,183
2470,right_2_180,198
2472,left_2_139,180
2472,right_2_183,195
2474,left_2_143,177
2474,right_2_186,192
2476,left_2_145,174
2476,right_2_191,189
2477,right_2_196,185
2478,left_2_147,171
2479,left_2_152,167
2479,right_2_199,182
2481,left_2_154,163
2481,right_2_202,179
2483,left_2_156,158
2483,right_2_205,176
2485,left_2_159,155
2485,right_2_207,172
2487,right_2_209,169
2489,left_2_162,154
2491,left_2_165,151
2492,right_2_213,168
2493,left_2_169,147
2494,right_2_214,165
2495,left_2_171,144
2496,right_2_217,162
2497,left_2_173,141
2498,left_2_174,137
2498,right_2_227,159
2500,left_2_176,133
2500,right_2_234,156
2501,right_2_238,152
2502,left_2_181,130
2503,right_2_251,149
2504,left_2_187,127
2505,right_2_255,146
2506,left_2_188,123
2507,right_2_257,143
2509,right_2_263,140
2510,right_2_266,135
2512,right_2_271,132
2514,left_2_192,126
2514,right_2_276,129
2516,left_2_194,123
2518,down_2_348,193
2520,up_2_240,190
2521,up_2_244,186
2525,up_2_248,185
2526,up_2_250,181
2526,down_2_353,196
2527,down_2_354,192
2528,up_2_253,174
2529,down_2_361,189
2530,up_2_254,167
2531,down_2_365,183
2532,up_2_261,164
2533,up_2_262,160
2533,down_2_368,176
2535,up_2_267,157
2535,down_2_375,172
2536,down_2_378,168
2537,up_2_269,154
2539,up_2_270,148
2541,up_2_275,145
2543,up_2_277,142
2544,up_2_279,137
2547,down_2_392,174
2549,down_2_414,171
2551,down_2_422,168
2553,down_2_427,165
2555,down_2_433,162
2556,down_2_435,157
2558,down_2_436,154
2559,up_2_282,147
2560,down_2_442,151
2562,up_2_289,145
2562,down_2_445,146
2563,down_2_451,142
2564,up_2_293,142
2565,down_2_457,139
2566,up_2_294,139
2567,down_2_461,135
2568,up_2_296,136
2569,up_2_297,132
2569,down_2_464,132
2570,down_2_467,128
2571,up_2_302,129
2573,up_2_303,126
2573,down_2_480,126
2575,up_2_307,123
2575,down_2_503,123
2577,up_2_314,120
2577,down_2_512,120
2579,up_2_316,117
