step,veh_id,ttime
88,left_0_0,88
94,right_0_2,91
99,left_0_1,94
101,left_0_4,91
112,left_0_6,90
122,right_0_7,97
126,right_0_8,95
136,left_0_10,87
162,up_0_3,158
172,down_0_9,141
174,up_0_5,158
174,down_0_12,102
180,down_0_15,95
193,down_0_17,95
196,up_0_18,93
198,up_0_19,90
231,down_0_24,102
232,up_0_26,97
244,left_0_11,177
245,left_0_13,171
245,right_0_14,164
248,left_0_20,128
250,left_0_21,124
252,right_0_16,160
254,left_0_22,123
254,right_0_23,128
257,right_0_25,125
257,left_0_27,110
259,left_0_29,100
259,right_0_30,88
263,right_0_31,84
276,right_0_32,92
288,left_0_33,84
309,right_0_36,93
317,down_0_28,168
321,up_0_35,109
323,down_0_34,117
325,down_0_37,105
330,down_0_40,89
342,up_0_41,94
345,down_0_43,89
348,down_0_45,87
381,down_0_53,88
383,up_0_49,99
395,right_0_38,168
395,left_0_42,141
399,left_0_44,140
403,left_0_46,139
405,right_0_39,166
407,right_0_52,115
408,right_0_54,111
410,left_0_47,129
413,left_0_48,127
417,left_0_50,126
418,left_0_51,122
420,left_0_55,119
422,left_0_56,116
434,left_0_58,91
436,left_0_61,86
442,right_0_62,90
449,left_0_63,92
458,left_0_64,95
460,right_0_65,97
462,down_0_57,132
468,up_0_59,123
469,up_0_60,119
517,up_0_72,94
526,up_0_74,93
526,down_0_75,92
548,right_0_68,159
551,right_0_69,148
553,left_0_66,181
554,right_0_77,95
555,left_0_67,178
557,left_0_70,155
559,left_0_71,145
560,down_0_78,91
564,up_0_76,113
574,up_0_80,90
579,down_0_82,89
588,down_0_83,93
603,down_0_86,91
616,up_0_87,90
628,right_0_79,145
630,left_0_73,200
634,left_0_81,144
635,right_0_85,139
636,left_0_84,141
637,right_0_88,109
639,right_0_89,106
640,right_0_95,97
646,left_0_92,108
648,left_0_96,97
653,left_0_97,97
706,left_0_104,97
708,left_0_105,94
720,up_0_94,179
722,down_0_90,192
722,up_0_99,142
729,up_0_102,136
730,down_0_91,195
731,up_0_108,96
732,down_0_93,192
733,up_0_109,93
734,down_0_98,177
736,down_0_100,154
737,down_0_101,150
739,down_0_103,133
745,up_0_111,99
758,up_0_114,87
776,left_0_112,117
779,right_0_106,149
780,right_0_107,144
785,left_0_115,109
787,right_0_110,145
788,right_0_113,128
790,right_0_117,103
797,left_0_120,93
801,down_0_124,89
805,up_0_116,122
813,up_0_118,125
815,up_0_119,114
832,up_0_129,91
837,down_0_130,90
842,up_0_131,88
849,up_0_133,89
879,left_0_121,170
880,left_0_125,166
882,right_0_122,173
884,right_0_123,170
886,left_0_126,159
890,left_0_132,132
892,left_0_134,110
894,left_0_136,106
896,right_0_127,165
898,right_0_128,162
900,right_0_139,99
908,right_0_142,94
914,left_0_143,86
918,left_0_145,85
938,left_0_146,97
940,left_0_147,94
943,left_0_148,92
945,left_0_149,89
954,left_0_152,89
968,up_0_138,173
969,down_0_135,186
970,down_0_137,178
970,up_0_140,169
971,up_0_141,165
975,up_0_151,120
988,down_0_144,156
990,down_0_150,139
1008,down_0_161,87
1010,up_0_160,97
1019,right_0_156,133
1027,left_0_153,157
1029,left_0_154,154
1030,right_0_158,124
1031,left_0_155,147
1032,left_0_157,140
1032,right_0_159,121
1034,right_0_162,106
1037,left_0_165,98
1039,left_0_167,89
1053,right_0_168,92
1054,left_0_170,87
1073,right_0_171,97
1075,right_0_173,94
1080,left_0_174,92
1080,right_0_177,90
1098,up_0_163,166
1101,down_0_166,160
1102,up_0_164,166
1109,up_0_169,143
1109,down_0_172,133
1110,up_1_2,93
1111,down_0_175,123
1112,down_0_176,119
1114,down_0_178,116
1116,down_1_0,113
1117,up_1_5,95
1118,down_1_4,99
1119,down_1_6,95
1122,down_1_9,93
1124,up_1_7,97
1132,down_1_10,97
1134,down_1_13,94
1137,up_1_14,92
1152,left_0_179,153
1152,right_1_3,133
1156,left_1_1,148
1160,left_1_8,135
1160,right_1_11,123
1162,right_1_12,120
1169,right_1_15,120
1171,right_1_16,117
1172,right_1_18,107
1175,right_1_19,104
1177,right_1_23,96
1190,right_1_29,92
1209,up_1_20,135
1212,down_1_17,150
1214,down_1_22,137
1215,up_1_21,136
1216,down_1_24,129
1216,up_1_25,128
1218,up_1_26,125
1220,up_1_27,122
1222,up_1_28,119
1223,up_1_30,111
1225,up_1_32,106
1227,up_1_33,103
1229,up_1_40,95
1230,up_1_41,91
1242,down_1_46,82
1249,up_1_48,87
1253,down_1_47,88
1258,up_1_49,91
1258,down_1_51,85
1262,up_1_50,90
1262,down_1_53,84
1270,up_1_56,90
1278,down_1_54,95
1280,down_1_58,92
1281,up_1_61,90
1289,down_1_60,95
1297,left_1_31,191
1299,left_1_37,175
1301,left_1_38,172
1303,left_1_43,153
1307,right_1_34,194
1309,right_1_35,191
1311,right_1_36,187
1313,right_1_39,180
1317,down_1_63,108
1319,down_1_66,103
1321,down_1_67,98
1323,down_1_68,93
1331,down_1_70,94
1331,up_1_72,92
1337,up_1_73,93
1339,up_1_77,81
1367,down_1_75,115
1372,left_1_44,217
1376,left_1_52,201
1376,up_1_80,109
1378,left_1_65,165
1379,left_1_69,145
1380,right_1_42,242
1382,right_1_45,222
1384,right_1_55,204
1386,right_1_57,201
1387,left_1_71,148
1388,right_1_59,198
1389,right_1_62,180
1389,left_1_74,137
1391,right_1_64,177
1391,left_1_85,106
1393,right_1_76,138
1395,right_1_78,135
1400,right_1_79,135
1402,right_1_81,131
1403,right_1_83,126
1403,left_1_90,92
1405,right_1_86,111
1407,right_1_88,103
1409,right_1_89,100
1413,right_1_91,98
1415,right_1_92,95
1430,right_1_94,99
1433,up_1_84,153
1436,down_1_82,161
1441,up_1_95,108
1443,down_1_87,142
1443,up_1_97,105
1445,down_1_93,117
1445,up_1_98,102
1447,up_1_99,99
1451,up_1_102,94
1455,up_1_103,90
1468,down_1_105,90
1471,up_1_106,92
1475,up_1_112,86
1479,up_1_113,85
1480,down_1_107,97
1482,down_1_109,94
1485,down_1_111,92
1487,up_1_114,88
1487,down_1_116,87
1505,left_1_100,155
1507,left_1_108,118
1510,left_1_117,105
1512,right_1_96,176
1514,right_1_101,158
1516,left_1_121,95
1520,left_1_123,90
1523,right_1_104,144
1525,right_1_110,134
1527,right_1_115,127
1528,right_1_118,122
1529,left_1_128,91
1530,right_1_124,100
1532,right_1_125,97
1534,right_1_126,94
1538,right_1_131,87
1548,right_1_134,83
1562,left_1_138,85
1583,up_1_119,173
1586,down_1_120,174
1591,up_1_122,163
1591,down_1_127,154
1592,up_1_129,152
1594,up_1_133,133
1596,up_1_136,127
1597,down_1_130,150
1599,down_1_132,143
1599,up_1_137,124
1600,down_1_135,134
1602,down_1_139,115
1607,down_1_141,115
1607,up_1_142,116
1612,down_1_143,114
1614,down_1_147,98
1616,down_1_148,95
1619,down_1_150,93
1622,down_1_151,91
1627,down_1_152,91
1628,down_1_154,84
1633,up_1_153,96
1641,down_1_157,90
1642,up_1_155,98
1644,up_1_156,95
1654,right_1_140,164
1661,right_1_145,151
1662,left_1_144,157
1666,left_1_149,148
1667,right_1_146,151
1668,right_1_164,96
1673,right_1_165,96
1675,right_1_166,93
1690,right_1_167,103
1707,up_1_159,150
1711,up_1_160,149
1714,down_1_158,157
1716,down_1_162,154
1717,down_1_168,129
1720,down_1_172,107
1722,down_1_173,104
1723,up_1_161,156
1725,up_1_163,153
1727,up_1_169,127
1729,up_1_170,121
1730,up_1_175,96
1732,up_1_180,84
1736,down_1_177,94
1738,down_1_178,91
1748,up_1_185,87
1755,down_1_183,97
1761,down_1_187,91
1761,up_1_190,86
1765,down_1_189,90
1774,down_1_191,94
1774,up_1_192,91
1783,down_1_194,95
1795,right_1_176,158
1797,right_1_181,143
1799,right_1_182,140
1800,right_1_184,136
1802,left_1_171,189
1802,right_1_186,133
1804,left_1_174,172
1805,left_1_179,158
1807,left_1_188,132
1807,right_1_193,119
1809,left_1_201,99
1812,right_1_200,102
1814,right_1_203,99
1814,left_1_208,84
1816,right_1_204,96
1820,right_1_206,92
1845,down_1_196,151
1848,down_1_205,130
1857,up_1_195,166
1857,down_1_207,127
1859,up_1_197,163
1859,down_1_209,124
1861,up_1_198,160
1861,down_1_210,121
1863,up_1_199,157
1863,down_1_211,118
1864,down_1_212,114
1865,up_1_202,154
1866,down_1_213,111
1867,up_1_217,105
1868,down_1_214,107
1869,up_1_221,91
1870,down_1_216,104
1886,down_1_225,93
1888,up_1_226,94
1893,down_1_230,87
1895,up_1_229,92
1900,up_1_231,92
1904,down_1_232,93
1912,down_1_237,87
1917,up_1_233,104
1919,up_1_235,101
1925,down_1_238,95
1930,right_1_215,178
1931,right_1_218,157
1935,left_1_220,157
1937,right_1_219,158
1937,left_1_223,154
1940,right_1_222,156
1942,right_1_224,153
1944,right_1_228,139
1945,left_1_227,145
1946,right_1_236,124
1947,left_1_234,130
1949,left_1_240,118
1950,right_1_242,116
1951,left_1_244,115
1952,right_1_246,110
1953,right_1_250,99
1955,right_1_252,96
1956,left_1_257,90
1967,left_1_259,96
1983,left_1_264,94
1990,right_1_266,90
2006,up_1_241,173
2007,down_1_239,172
2008,down_1_249,160
2010,up_1_243,172
2018,up_1_245,173
2020,up_1_247,170
2021,down_1_251,167
2022,up_1_248,167
2023,down_1_253,164
2024,down_1_256,159
2026,down_1_262,141
2028,down_1_265,131
2030,down_1_267,125
2032,up_1_254,168
2032,down_1_268,122
2034,up_1_255,164
2034,down_1_274,105
2036,up_1_258,161
2036,down_1_275,102
2038,up_1_260,158
2040,up_1_261,154
2041,up_1_263,150
2041,right_1_270,133
2043,up_1_269,136
2045,left_1_272,131
2046,right_1_273,118
2046,left_1_276,112
2048,right_1_277,111
2058,left_1_278,116
2058,right_1_286,91
2060,left_1_281,104
2062,left_1_284,98
2064,left_1_287,95
2065,left_1_288,91
2071,right_1_289,99
2072,right_1_292,95
2074,left_1_291,95
2076,left_1_293,92
2076,right_1_295,93
2078,right_1_301,90
2089,down_1_282,132
2091,down_1_300,107
2093,down_1_307,98
2095,up_1_271,182
2103,down_1_315,103
2105,up_1_279,160
2105,down_2_1,99
2107,up_1_280,157
2107,down_2_4,96
2108,down_2_8,92
2109,up_1_283,149
2111,up_1_285,146
2112,up_1_290,140
2114,up_1_294,137
2116,up_1_302,130
2117,down_2_19,95
2118,up_1_303,127
2119,down_2_24,92
2120,up_1_304,124
2121,up_1_305,120
2123,up_1_306,115
2124,down_2_27,92
2125,up_1_308,112
2127,up_1_311,109
2128,up_2_2,104
2131,up_2_5,101
2131,down_2_29,90
2136,down_2_31,90
2150,left_1_296,160
2152,left_1_297,157
2152,right_1_309,155
2153,up_2_11,117
2154,right_1_312,152
2155,right_1_313,148
2155,up_2_25,114
2156,up_2_30,110
2157,right_2_0,145
2159,left_1_298,159
2160,right_2_7,142
2161,left_1_299,156
2161,right_2_12,138
2163,left_1_310,153
2163,right_2_15,135
2165,left_1_314,150
2165,right_2_16,131
2166,left_2_3,145
2166,right_2_17,127
2168,left_2_6,142
2170,left_2_9,139
2172,left_2_10,136
2172,right_2_20,126
2173,left_2_13,131
2175,left_2_14,127
2177,left_2_18,124
2177,right_2_26,126
2178,right_2_28,120
2180,left_2_21,122
2180,right_2_37,115
2181,left_2_22,118
2182,right_2_42,112
2183,left_2_23,111
2184,right_2_48,108
2185,left_2_32,107
2186,right_2_58,105
2187,left_2_33,104
2188,left_2_34,100
2188,right_2_60,102
2189,right_2_62,97
2190,left_2_36,97
2191,right_2_64,94
2192,left_2_38,94
2193,right_2_67,91
2194,left_2_43,91
2195,left_2_44,87
2200,right_2_69,93
2209,left_2_47,96
2211,left_2_49,93
2212,right_2_72,100
2214,right_2_74,97
2216,left_2_50,93
2216,right_2_76,93
2221,right_2_81,93
2222,left_2_53,94
2223,right_2_87,90
2226,left_2_54,93
2238,down_2_35,187
2240,up_2_40,189
2247,down_2_39,191
2247,up_2_41,191
2249,up_2_45,188
2249,down_2_78,183
2251,up_2_46,185
2251,down_2_85,180
2252,up_2_51,181
2252,down_2_86,176
2254,up_2_52,177
2254,down_2_91,173
2256,up_2_56,174
2256,down_2_96,170
2258,up_2_59,171
2258,down_2_99,167
2260,up_2_61,167
2260,down_2_101,164
2261,up_2_63,163
2261,down_2_110,160
2263,up_2_66,160
2263,down_2_119,156
2265,down_2_121,153
2267,down_2_126,146
2268,down_2_136,140
2270,up_2_68,162
2270,down_2_138,137
2272,up_2_73,159
2273,up_2_77,154
2275,up_2_80,151
2277,up_2_82,146
2277,down_2_149,139
2279,up_2_88,143
2279,down_2_160,136
2280,up_2_102,139
2281,down_2_164,133
2283,up_2_103,137
2283,down_2_166,130
2284,up_2_112,133
2285,down_2_177,127
2286,up_2_115,130
2286,down_2_179,123
2288,up_2_117,127
2288,down_2_184,120
2290,up_2_123,124
2290,down_2_185,117
2292,up_2_131,121
2292,down_2_189,113
2293,down_2_201,109
2294,up_2_132,118
2295,up_2_140,114
2295,down_2_212,106
2297,up_2_141,111
2297,down_2_218,103
2299,up_2_144,108
2299,down_2_221,100
2300,down_2_222,96
2301,up_2_148,105
2302,down_2_224,93
2303,up_2_150,101
2304,up_2_151,97
2313,down_2_229,99
2315,up_2_153,103
2317,up_2_155,100
2322,right_2_89,184
2327,left_2_55,189
2327,right_2_93,184
2328,right_2_97,180
2330,right_2_100,177
2331,left_2_57,188
2332,right_2_104,173
2333,left_2_65,185
2334,right_2_106,168
2335,left_2_70,180
2336,right_2_107,163
2337,left_2_71,176
2337,right_2_113,156
2338,left_2_75,172
2339,right_2_122,151
2340,left_2_79,168
2341,right_2_127,146
2342,left_2_83,164
2342,right_2_129,142
2344,left_2_84,155
2344,right_2_130,139
2346,left_2_90,151
2348,left_2_92,148
2349,left_2_94,144
2351,left_2_95,141
2351,right_2_133,140
2352,right_2_134,136
2353,left_2_98,137
2354,left_2_105,133
2354,right_2_142,132
2356,right_2_146,129
2357,left_2_108,131
2358,right_2_158,126
2359,left_2_109,128
2359,right_2_161,121
2361,left_2_111,125
2362,left_2_114,121
2364,left_2_116,118
2366,left_2_118,115
2368,left_2_120,112
2368,right_2_163,125
2369,left_2_124,108
2370,right_2_168,121
2371,left_2_125,105
2371,right_2_170,117
2373,left_2_128,102
2373,right_2_172,114
2375,left_2_135,99
2375,right_2_175,111
2376,left_2_137,94
2377,right_2_180,108
2378,right_2_183,104
2380,right_2_186,101
2382,right_2_191,98
2385,down_2_232,166
2388,down_2_236,164
2389,down_2_242,159
2391,up_2_157,168
2393,up_2_167,165
2393,down_2_247,158
2397,up_2_178,164
2398,up_2_182,160
2399,down_2_259,158
2400,up_2_190,157
2401,down_2_265,154
2402,up_2_193,150
2403,down_2_273,151
2404,up_2_195,143
2404,down_2_281,143
2406,up_2_198,136
2407,up_2_204,132
2409,up_2_206,123
2411,up_2_211,118
2413,up_2_215,113
2414,up_2_219,109
2416,down_2_286,150
2418,up_2_225,108
2418,down_2_287,145
2419,up_2_230,103
2420,down_2_291,140
2422,down_2_313,136
2424,down_2_315,129
2425,down_2_322,121
2427,down_2_332,118
2428,up_2_231,107
2429,down_2_336,114
2430,up_2_233,104
2431,up_2_239,99
2431,down_2_348,111
2433,up_2_240,96
2433,down_2_353,108
2435,up_2_244,93
2435,down_2_354,105
2437,down_2_361,102
2438,down_2_365,98
2440,down_2_368,95
2442,down_2_375,92
2443,up_2_248,95
2444,down_2_378,89
2446,up_2_250,93
2453,up_2_253,95
2455,up_2_254,92
2468,left_2_139,181
2469,right_2_196,180
2469,down_2_392,108
2471,down_2_414,105
2473,right_2_199,179
2475,left_2_143,183
2475,right_2_202,176
2477,left_2_145,180
2481,left_2_147,179
2482,left_2_152,175
2483,right_2_205,179
2484,left_2_154,172
2484,right_2_207,175
2486,left_2_156,169
2486,right_2_209,172
2488,left_2_159,166
2495,left_2_162,167
2496,left_2_165,159
2496,right_2_213,177
2498,left_2_169,156
2498,right_2_214,174
2500,left_2_171,153
2500,right_2_217,171
2502,left_2_173,150
2502,right_2_227,164
2503,left_2_174,144
2504,right_2_234,155
2505,right_2_238,151
2507,left_2_176,143
2507,right_2_251,145
2509,left_2_181,138
2509,right_2_255,140
2511,left_2_187,133
2511,right_2_257,135
2512,left_2_188,129
2512,right_2_263,131
2514,right_2_266,127
2516,right_2_271,124
2518,right_2_276,121
2520,right_2_283,118
2522,left_2_192,134
2522,right_2_288,115
2524,left_2_194,131
2524,right_2_292,112
2525,left_2_197,127
2526,right_2_300,109
2527,left_2_200,124
2528,right_2_304,106
2529,left_2_203,121
2529,right_2_308,102
2531,left_2_208,118
2531,right_2_309,99
2532,left_2_210,114
2533,right_2_311,96
2534,left_2_216,111
2534,right_2_319,92
2536,left_2_220,108
2536,right_2_323,89
2538,left_2_223,105
2540,left_2_226,102
2542,left_2_228,99
2544,left_2_235,96
2545,right_2_324,93
2547,left_2_237,94
2548,left_2_241,90
2550,right_2_327,93
2562,up_2_261,193
2562,down_2_422,191
2563,down_2_427,187
2566,up_2_262,192
2568,up_2_267,188
2571,down_2_433,190
2573,up_2_269,188
2573,down_2_435,187
2575,up_2_270,185
2577,up_2_275,182
