step,tl_id,new_state
21,0,1
32,0,0
94,0,1
135,0,0
167,0,1
214,0,0
297,0,1
356,0,0
445,0,1
456,0,0
470,0,1
553,0,0
645,0,1
713,0,0
757,0,1
768,0,0
794,0,1
886,0,0
942,0,1
1007,0,0
1033,0,1
1044,0,0
1058,0,1
1087,0,0
1152,0,1
1172,0,0
1183,0,1
1206,0,0
1244,0,1
1303,0,0
1353,0,1
1367,0,0
1408,0,1
1434,0,0
1517,0,1
1528,0,0
1569,0,1
1646,0,0
1657,0,1
1674,0,0
1724,0,1
1747,0,0
1776,0,1
1793,0,0
1876,0,1
1887,0,0
1904,0,1
1915,0,0
1938,0,1
2024,0,0
2035,0,1
2070,0,0
2135,0,1
2197,0,0
2232,0,1
2243,0,0
2305,0,1
2322,0,0
2411,0,1
2503,0,0
2571,0,1
2654,0,0
2674,0,1
2766,0,0
2789,0,1
2803,0,0
2826,0,1
2912,0,0
2986,0,1
3033,0,0
3077,0,1
3163,0,0
3186,0,1
3224,0,0
3241,0,1
3276,0,0
3350,0,1
3388,0,0
3474,0,1
3515,0,0
3568,0,1
3585,0,0
3632,0,1
3688,0,0
3738,0,1
3767,0,0
3781,0,1
3831,0,0
3863,0,1
3880,0,0
3897,0,1
3944,0,0
3982,0,1
4017,0,0
4031,0,1
4072,0,0
4110,0,1
4157,0,0
4219,0,1
4239,0,0
4301,0,1
4342,0,0
4362,0,1
4403,0,0
4459,0,1
4479,0,0
4565,0,1
4606,0,0
4665,0,1
4694,0,0
4783,0,1
4839,0,0
4889,0,1
4963,0,0
4980,0,1
5021,0,0
5047,0,1
5058,0,0
5132,0,1
5185,0,0
5277,0,1
5345,0,0
5362,0,1
5391,0,0
5408,0,1
5455,0,0
5481,0,1
5522,0,0
5533,0,1
5559,0,0
5603,0,1
5674,0,0
5757,0,1
5798,0,0
5866,0,1
5913,0,0
5978,0,1
6031,0,0
6072,0,1
6098,0,0
6163,0,1
6228,0,0
6269,0,1
6301,0,0
6324,0,1
6392,0,0
6481,0,1
6492,0,0
6527,0,1
6556,0,0
6588,0,1
6611,0,0
6682,0,1
6735,0,0
6770,0,1
6811,0,0
6837,0,1
6854,0,0
6877,0,1
6891,0,0
6908,0,1
6922,0,0
6984,0,1
7040,0,0
7132,0,1
7224,0,0
7313,0,1
7330,0,0
7365,0,1
7415,0,0
7441,0,1
7452,0,0
7475,0,1
7525,0,0
7557,0,1
7571,0,0
7615,0,1
7686,0,0
7709,0,1
7735,0,0
7761,0,1
7814,0,0
7852,0,1
7872,0,0
7919,0,1
7966,0,0
7983,0,1
8021,0,0
8038,0,1
8100,0,0
8162,0,1
8236,0,0
8262,0,1
8282,0,0
8338,0,1
8361,0,0
8444,0,1
8461,0,0
8550,0,1
8621,0,0
8635,0,1
8721,0,0
8759,0,1
8791,0,0
8820,0,1
8870,0,0
8908,0,1
8979,0,0
9068,0,1
9160,0,0
9195,0,1
9260,0,0
9307,0,1
9366,0,0
9431,0,1
9514,0,0
9582,0,1
9635,0,0
9652,0,1
9726,0,0
9815,0,1
9856,0,0
9948,0,1
9995,0,0
10033,0,1
10101,0,0
10112,0,1
10141,0,0
10173,0,1
10262,0,0
10333,0,1
10344,0,0
10418,0,1
10480,0,0
10512,0,1
10544,0,0
10558,0,1
10572,0,0
10583,0,1
10597,0,0
