step,tl_id,previous_state,current_state,action,reward
75,0,[0 0 2 3 1],[2 0 0 2 0],[ 0.  0.  2.  3.  1. 15.],1.0
134,0,[2 0 0 2 0],[0 3 2 2 1],[ 2.  0.  0.  2.  0. 18.],1.0
202,0,[0 3 2 2 1],[3 0 0 3 0],[ 0.  3.  2.  2.  1. 21.],1.0
285,0,[3 0 0 3 0],[0 6 3 0 1],[ 3.  0.  0.  3.  0. 26.],1.0
317,0,[0 6 3 0 1],[3 0 1 6 0],[0. 6. 3. 0. 1. 9.],1.0
364,0,[3 0 1 6 0],[0 6 2 3 1],[ 3.  0.  1.  6.  0. 14.],1.0
381,0,[0 6 2 3 1],[1 1 1 7 0],[0. 6. 2. 3. 1. 4.],0.9982332155477032
461,0,[1 1 1 7 0],[ 0 10  3  1  1],[ 1.  1.  1.  7.  0. 25.],1.0
529,0,[ 0 10  3  1  1],[4 0 1 2 0],[ 0. 10.  3.  1.  1. 21.],0.9982332155477032
621,0,[4 0 1 2 0],[0 5 3 2 1],[ 4.  0.  1.  2.  0. 29.],1.0
683,0,[0 5 3 2 1],[3 0 3 2 0],[ 0.  5.  3.  2.  1. 19.],1.0
766,0,[3 0 3 2 0],[0 5 3 2 1],[ 3.  0.  3.  2.  0. 26.],1.0
792,0,[0 5 3 2 1],[1 0 2 3 0],[0. 5. 3. 2. 1. 7.],1.0
872,0,[1 0 2 3 0],[0 3 2 7 1],[ 1.  0.  2.  3.  0. 25.],1.0
943,0,[0 3 2 7 1],[2 0 2 3 0],[ 0.  3.  2.  7.  1. 22.],1.0
990,0,[2 0 2 3 0],[0 3 1 3 1],[ 2.  0.  2.  3.  0. 14.],1.0
1022,0,[0 3 1 3 1],[1 1 4 2 0],[0. 3. 1. 3. 1. 9.],0.9982332155477032
1081,0,[1 1 4 2 0],[0 5 4 5 1],[ 1.  1.  4.  2.  0. 18.],1.0
1101,0,[0 5 4 5 1],[2 2 3 4 0],[0. 5. 4. 5. 1. 5.],1.0
1136,0,[2 2 3 4 0],[0 6 6 4 1],[ 2.  2.  3.  4.  0. 10.],1.0
