step,tl_id,new_state
21,0,1
71,0,0
130,0,1
198,0,0
281,0,1
313,0,0
360,0,1
377,0,0
457,0,1
525,0,0
617,0,1
679,0,0
762,0,1
788,0,0
868,0,1
939,0,0
986,0,1
1018,0,0
1077,0,1
1097,0,0
1132,0,1
1212,0,0
1250,0,1
1270,0,0
1362,0,1
1391,0,0
1462,0,1
1515,0,0
1604,0,1
1624,0,0
1635,0,1
1721,0,0
1753,0,1
1806,0,0
1823,0,1
1849,0,0
1875,0,1
1892,0,0
1951,0,1
2034,0,0
2051,0,1
2062,0,0
2130,0,1
2168,0,0
2203,0,1
2220,0,0
2273,0,1
2317,0,0
2328,0,1
2384,0,0
2395,0,1
2415,0,0
2453,0,1
2536,0,0
2619,0,1
2675,0,0
2713,0,1
2733,0,0
2756,0,1
2800,0,0
2823,0,1
2840,0,0
2863,0,1
2877,0,0
2900,0,1
2980,0,0
3024,0,1
3056,0,0
3115,0,1
3138,0,0
3200,0,1
3223,0,0
3282,0,1
3320,0,0
3352,0,1
3399,0,0
3410,0,1
3469,0,0
3486,0,1
3506,0,0
3541,0,1
3573,0,0
3587,0,1
3646,0,0
3720,0,1
3752,0,0
3796,0,1
3819,0,0
3830,0,1
3844,0,0
3855,0,1
3881,0,0
3910,0,1
3927,0,0
4010,0,1
4027,0,0
4038,0,1
4067,0,0
4078,0,1
4116,0,0
4154,0,1
4207,0,0
4221,0,1
4232,0,0
4324,0,1
4353,0,0
4376,0,1
4390,0,0
4416,0,1
4442,0,0
4501,0,1
4581,0,0
4601,0,1
4624,0,0
4695,0,1
4775,0,0
4789,0,1
4800,0,0
4829,0,1
4852,0,0
4923,0,1
4997,0,0
5017,0,1
5049,0,0
5063,0,1
5155,0,0
5193,0,1
5222,0,0
5263,0,1
5349,0,0
5396,0,1
5413,0,0
5475,0,1
5543,0,0
5566,0,1
5577,0,0
5627,0,1
5659,0,0
5745,0,1
5816,0,0
5839,0,1
5922,0,0
5960,0,1
5977,0,0
5994,0,1
6059,0,0
6073,0,1
6132,0,0
6158,0,1
6238,0,0
6264,0,1
6344,0,0
6400,0,1
6423,0,0
6458,0,1
6481,0,0
6513,0,1
6545,0,0
6595,0,1
6672,0,0
6686,0,1
6739,0,0
6771,0,1
6806,0,0
6829,0,1
6846,0,0
6857,0,1
6892,0,0
6939,0,1
6950,0,0
6997,0,1
7026,0,0
7043,0,1
7090,0,0
7113,0,1
7124,0,0
7135,0,1
7155,0,0
7178,0,1
7192,0,0
7218,0,1
7301,0,0
7369,0,1
7413,0,0
7469,0,1
7492,0,0
7536,0,1
7556,0,0
7573,0,1
7617,0,0
7628,0,1
7642,0,0
7680,0,1
7703,0,0
7723,0,1
7749,0,0
7787,0,1
7837,0,0
7848,0,1
7871,0,0
7948,0,1
7986,0,0
7997,0,1
8047,0,0
8100,0,1
8141,0,0
8161,0,1
8190,0,0
8231,0,1
8281,0,0
8307,0,1
8333,0,0
8371,0,1
8412,0,0
8426,0,1
8464,0,0
8535,0,1
8588,0,0
8617,0,1
8673,0,0
8714,0,1
8725,0,0
8757,0,1
8834,0,0
8863,0,1
8874,0,0
8885,0,1
8911,0,0
8952,0,1
8993,0,0
9070,0,1
9090,0,0
9113,0,1
9130,0,0
9150,0,1
9176,0,0
9220,0,1
9276,0,0
9296,0,1
9310,0,0
9345,0,1
9356,0,0
9379,0,1
9456,0,0
9473,0,1
9484,0,0
9552,0,1
9584,0,0
9607,0,1
9618,0,0
9674,0,1
9715,0,0
9735,0,1
9755,0,0
9769,0,1
9795,0,0
9824,0,1
9850,0,0
9912,0,1
9971,0,0
9982,0,1
10002,0,0
10034,0,1
10081,0,0
10098,0,1
10169,0,0
10201,0,1
10230,0,0
10292,0,1
10342,0,0
10395,0,1
10448,0,0
10471,0,1
10497,0,0
10571,0,1
10588,0,0
10644,0,1
10718,0,0
