step,veh_id,ttime
92,up_0_3,88
110,left_0_0,110
112,right_0_2,109
117,left_0_1,112
119,left_0_4,109
121,left_0_6,99
122,right_0_7,97
126,right_0_8,95
157,down_0_9,126
159,up_0_5,143
161,down_0_12,89
180,down_0_15,95
192,down_0_17,94
197,up_0_18,94
199,up_0_19,91
222,left_0_10,173
226,left_0_11,159
226,right_0_14,145
228,left_0_13,154
230,left_0_20,110
233,right_0_16,141
233,left_0_21,107
235,right_0_23,109
236,left_0_22,105
237,right_0_25,105
250,up_0_26,115
256,down_0_24,127
257,down_0_28,108
294,right_0_30,123
298,right_0_31,119
303,left_0_27,156
304,right_0_32,120
305,left_0_29,146
307,left_0_33,103
310,right_0_36,94
314,right_0_38,86
336,right_0_39,97
340,left_0_42,87
348,left_0_44,90
357,left_0_46,94
380,down_0_34,174
380,up_0_35,168
382,down_0_37,162
383,down_0_40,142
385,up_0_41,137
385,down_0_43,129
387,down_0_45,126
388,down_0_53,95
392,up_0_49,108
424,right_0_52,132
426,right_0_54,129
429,left_0_47,148
430,down_0_57,100
433,left_0_48,147
437,up_0_59,93
438,up_0_60,89
491,right_0_62,139
499,left_0_50,208
499,right_0_65,136
501,left_0_51,203
501,right_0_68,112
503,left_0_55,199
503,right_0_69,101
505,left_0_56,195
506,left_0_58,163
508,left_0_61,158
510,left_0_63,153
512,left_0_64,149
514,left_0_66,142
516,left_0_67,139
518,left_0_70,116
519,left_0_71,105
521,left_0_73,91
557,down_0_75,123
559,up_0_72,136
559,down_0_78,91
561,up_0_74,128
563,up_0_76,112
574,up_0_80,90
580,down_0_82,90
588,down_0_83,93
603,down_0_86,91
614,up_0_87,89
620,down_0_90,90
631,down_0_91,96
640,left_0_81,149
641,right_0_77,182
641,left_0_84,145
642,right_0_79,159
645,right_0_85,149
647,right_0_88,119
648,right_0_89,115
650,right_0_95,107
653,left_0_92,115
655,left_0_96,105
657,left_0_97,102
674,up_0_94,133
676,up_0_99,96
681,down_0_93,141
683,down_0_98,126
684,down_0_100,102
686,down_0_101,99
687,up_0_102,94
707,left_0_104,98
709,left_0_105,95
719,right_0_106,90
723,right_0_107,89
737,right_0_110,95
747,left_0_112,88
750,right_0_113,90
766,up_0_108,131
771,down_0_103,165
772,up_0_109,132
779,up_0_111,133
781,up_0_114,110
782,up_0_116,98
784,up_0_118,95
790,up_0_119,89
800,down_0_124,88
842,right_0_117,155
844,right_0_122,135
845,right_0_123,131
846,left_0_115,170
848,left_0_120,144
850,left_0_121,141
851,left_0_125,137
853,left_0_126,126
855,left_0_132,97
858,right_0_127,127
860,right_0_128,124
865,left_0_134,83
874,left_0_136,87
897,down_0_130,150
898,up_0_129,157
899,up_0_131,145
900,down_0_135,116
901,up_0_133,141
902,down_0_137,110
905,up_0_138,110
907,up_0_140,106
908,up_0_141,102
943,down_0_144,112
945,down_0_150,94
946,up_0_151,91
987,left_0_143,159
988,left_0_145,155
992,right_0_139,191
996,right_0_142,182
997,right_0_156,111
1000,left_0_146,155
1009,down_0_161,88
1010,up_0_160,97
1018,up_0_163,86
1025,up_0_164,89
1032,down_0_166,91
1060,up_0_169,94
1072,down_0_172,96
1083,left_0_147,233
1088,left_0_148,233
1088,right_0_158,182
1090,left_0_149,230
1090,right_0_159,179
1091,left_0_152,226
1092,right_0_162,164
1094,right_0_168,133
1097,left_0_153,227
1098,left_0_154,223
1098,right_0_171,122
1100,left_0_155,220
1100,right_0_173,119
1101,right_0_177,111
1102,left_0_157,210
1105,left_0_165,166
1106,right_1_3,87
1107,left_0_167,157
1109,left_0_170,142
1110,left_0_174,122
1112,left_0_179,113
1114,left_1_1,106
1118,left_1_8,93
1131,right_1_11,95
1133,right_1_12,92
1145,up_1_2,128
1150,down_0_175,162
1152,down_0_176,159
1152,up_1_5,130
1154,down_0_178,156
1155,up_1_7,128
1156,down_1_0,153
1157,up_1_14,112
1158,down_1_4,139
1160,down_1_6,135
1161,down_1_9,131
1166,down_1_10,131
1168,down_1_13,127
1168,up_1_20,94
1172,down_1_17,110
1174,down_1_22,97
