step,tl_id,reward_type,previous,current,max,reward
102,0,vehicle_cumulative_delay,0,118,12735.0,0.9907341970946211
140,0,vehicle_cumulative_delay,118,68,12735.0,0.9946603847663918
205,0,vehicle_cumulative_delay,68,241,12735.0,0.9810757754220651
249,0,vehicle_cumulative_delay,241,126,12735.0,0.9901060070671378
278,0,vehicle_cumulative_delay,126,64,12735.0,0.9949744797801335
340,0,vehicle_cumulative_delay,64,206,12735.0,0.9838241067923047
423,0,vehicle_cumulative_delay,206,109,12735.0,0.9914409108755399
452,0,vehicle_cumulative_delay,109,58,12735.0,0.995445622300746
508,0,vehicle_cumulative_delay,58,113,12735.0,0.9911268158617982
531,0,vehicle_cumulative_delay,113,3,12735.0,0.9997644287396937
596,0,vehicle_cumulative_delay,3,248,12735.0,0.9805261091480173
646,0,vehicle_cumulative_delay,248,93,12735.0,0.9926972909305065
663,0,vehicle_cumulative_delay,93,11,12735.0,0.9991362387122105
734,0,vehicle_cumulative_delay,11,239,12735.0,0.981232822928936
772,0,vehicle_cumulative_delay,239,42,12735.0,0.9967020023557126
804,0,vehicle_cumulative_delay,42,86,12735.0,0.9932469572045544
815,0,vehicle_cumulative_delay,86,10,12735.0,0.9992147624656459
841,0,vehicle_cumulative_delay,10,22,12735.0,0.9982724774244209
861,0,vehicle_cumulative_delay,22,26,12735.0,0.9979583824106792
935,0,vehicle_cumulative_delay,26,383,12735.0,0.9699254024342363
967,0,vehicle_cumulative_delay,383,31,12735.0,0.9975657636435021
1026,0,vehicle_cumulative_delay,31,248,12735.0,0.9805261091480173
1070,0,vehicle_cumulative_delay,248,146,12735.0,0.9885355319984295
1096,0,vehicle_cumulative_delay,146,62,12735.0,0.9951315272870043
1185,0,vehicle_cumulative_delay,62,792,12735.0,0.937809187279152
1196,0,vehicle_cumulative_delay,792,589,12735.0,0.953749509226541
1255,0,vehicle_cumulative_delay,589,1727,12735.0,0.8643894778170397
1275,0,vehicle_cumulative_delay,1727,990,12735.0,0.9222614840989399
1310,0,vehicle_cumulative_delay,990,1625,12735.0,0.872398900667452
1402,0,vehicle_cumulative_delay,1625,701,12735.0,0.9449548488417746
1476,0,vehicle_cumulative_delay,701,565,12735.0,0.955634079308991
1544,0,vehicle_cumulative_delay,565,375,12735.0,0.9705535924617197
1624,0,vehicle_cumulative_delay,375,611,12735.0,0.9520219866509619
1686,0,vehicle_cumulative_delay,611,155,12735.0,0.9878288182175108
1772,0,vehicle_cumulative_delay,155,833,12735.0,0.9345897133883
1861,0,vehicle_cumulative_delay,833,489,12735.0,0.9616018845700824
1878,0,vehicle_cumulative_delay,489,150,12735.0,0.9882214369846879
1934,0,vehicle_cumulative_delay,150,737,12735.0,0.9421279937180997
1954,0,vehicle_cumulative_delay,737,229,12735.0,0.9820180604632901
1986,0,vehicle_cumulative_delay,229,425,12735.0,0.966627404789949
2057,0,vehicle_cumulative_delay,425,539,12735.0,0.9576756968983118
2074,0,vehicle_cumulative_delay,539,457,12735.0,0.9641146446800157
2163,0,vehicle_cumulative_delay,457,3405,12735.0,0.7326266195524146
2231,0,vehicle_cumulative_delay,3405,1313,12735.0,0.8968983117393011
2245,0,vehicle_cumulative_delay,1313,1434,12735.0,0.887396937573616
2262,0,vehicle_cumulative_delay,1434,1821,12735.0,0.8570082449941108
2279,0,vehicle_cumulative_delay,1821,2029,12735.0,0.8406753042795445
2323,0,vehicle_cumulative_delay,2029,2867,12735.0,0.7748723989006674
2337,0,vehicle_cumulative_delay,2867,2978,12735.0,0.7661562622693365
2408,0,vehicle_cumulative_delay,2978,7021,12735.0,0.4486847271299568
2500,0,vehicle_cumulative_delay,7021,2148,12735.0,0.8313309776207303
2535,0,vehicle_cumulative_delay,2148,2044,12735.0,0.8394974479780133
2594,0,vehicle_cumulative_delay,2044,2489,12735.0,0.8045543776992541
2674,0,vehicle_cumulative_delay,2489,1502,12735.0,0.8820573223400079
2697,0,vehicle_cumulative_delay,1502,1275,12735.0,0.8998822143698468
2717,0,vehicle_cumulative_delay,1275,1629,12735.0,0.8720848056537103
2737,0,vehicle_cumulative_delay,1629,1589,12735.0,0.8752257557911268
2787,0,vehicle_cumulative_delay,1589,3364,12735.0,0.7358460934432666
2849,0,vehicle_cumulative_delay,3364,1402,12735.0,0.8899096976835492
2878,0,vehicle_cumulative_delay,1402,1627,12735.0,0.8722418531605811
2952,0,vehicle_cumulative_delay,1627,2670,12735.0,0.7903415783274441
3023,0,vehicle_cumulative_delay,2670,994,12735.0,0.9219473890851982
3100,0,vehicle_cumulative_delay,994,1905,12735.0,0.850412249705536
3189,0,vehicle_cumulative_delay,1905,1506,12735.0,0.8817432273262662
3245,0,vehicle_cumulative_delay,1506,586,12735.0,0.9539850804868473
3304,0,vehicle_cumulative_delay,586,1082,12735.0,0.9150372987828819
3387,0,vehicle_cumulative_delay,1082,1498,12735.0,0.8823714173537495
3425,0,vehicle_cumulative_delay,1498,636,12735.0,0.9500588928150766
3442,0,vehicle_cumulative_delay,636,806,12735.0,0.9367098547310562
3525,0,vehicle_cumulative_delay,806,2442,12735.0,0.8082449941107185
3599,0,vehicle_cumulative_delay,2442,1116,12735.0,0.9123674911660777
3652,0,vehicle_cumulative_delay,1116,859,12735.0,0.9325480957989792
3678,0,vehicle_cumulative_delay,859,627,12735.0,0.9507656065959953
3746,0,vehicle_cumulative_delay,627,2368,12735.0,0.8140557518649392
3763,0,vehicle_cumulative_delay,2368,2216,12735.0,0.8259913623871221
3846,0,vehicle_cumulative_delay,2216,6798,12735.0,0.46619552414605414
3869,0,vehicle_cumulative_delay,6798,6389,12735.0,0.4983117393011386
3898,0,vehicle_cumulative_delay,6389,8129,12735.0,0.3616804083235179
