step,tl_id,new_state
21,0,1
98,0,0
136,0,1
201,0,0
245,0,1
274,0,0
336,0,1
419,0,0
448,0,1
504,0,0
527,0,1
592,0,0
642,0,1
659,0,0
730,0,1
768,0,0
800,0,1
811,0,0
837,0,1
857,0,0
931,0,1
963,0,0
1022,0,1
1066,0,0
1092,0,1
1181,0,0
1192,0,1
1251,0,0
1271,0,1
1306,0,0
1398,0,1
1472,0,0
1540,0,1
1620,0,0
1682,0,1
1768,0,0
1857,0,1
1874,0,0
1930,0,1
1950,0,0
1982,0,1
2053,0,0
2070,0,1
2159,0,0
2227,0,1
2241,0,0
2258,0,1
2275,0,0
2319,0,1
2333,0,0
2404,0,1
2496,0,0
2531,0,1
2590,0,0
2670,0,1
2693,0,0
2713,0,1
2733,0,0
2783,0,1
2845,0,0
2874,0,1
2948,0,0
3019,0,1
3096,0,0
3185,0,1
3241,0,0
3300,0,1
3383,0,0
3421,0,1
3438,0,0
3521,0,1
3595,0,0
3648,0,1
3674,0,0
3742,0,1
3759,0,0
3842,0,1
3865,0,0
3894,0,1
3926,0,0
4009,0,1
4071,0,0
4100,0,1
4162,0,0
4173,0,1
4208,0,0
4231,0,1
4266,0,0
4319,0,1
4399,0,0
4485,0,1
4526,0,0
4573,0,1
4617,0,0
4691,0,1
4714,0,0
4746,0,1
4796,0,0
4879,0,1
4899,0,0
4973,0,1
5053,0,0
5076,0,1
5093,0,0
5113,0,1
5151,0,0
5240,0,1
5251,0,0
5292,0,1
5375,0,0
5446,0,1
5535,0,0
5561,0,1
5599,0,0
5613,0,1
5657,0,0
5671,0,1
5691,0,0
5744,0,1
5806,0,0
5892,0,1
5918,0,0
5929,0,1
5955,0,0
5978,0,1
6034,0,0
6096,0,1
6113,0,0
6136,0,1
6159,0,0
6179,0,1
6214,0,0
6231,0,1
6251,0,0
6337,0,1
6429,0,0
6497,0,1
6571,0,0
6627,0,1
6692,0,0
6769,0,1
6858,0,0
6869,0,1
6880,0,0
6891,0,1
6914,0,0
6982,0,1
6993,0,0
7064,0,1
7126,0,0
7140,0,1
7151,0,0
7195,0,1
7233,0,0
7316,0,1
7360,0,0
7374,0,1
7406,0,0
7426,0,1
7455,0,0
7481,0,1
7519,0,0
7569,0,1
7649,0,0
7699,0,1
7764,0,0
7811,0,1
7849,0,0
7881,0,1
7898,0,0
7930,0,1
7956,0,0
7988,0,1
8032,0,0
8067,0,1
8114,0,0
8128,0,1
8157,0,0
8210,0,1
8236,0,0
8256,0,1
8294,0,0
8323,0,1
8337,0,0
8351,0,1
8380,0,0
8466,0,1
8492,0,0
8503,0,1
8517,0,0
8609,0,1
8683,0,0
8703,0,1
8717,0,0
8746,0,1
8763,0,0
8789,0,1
8806,0,0
8835,0,1
8882,0,0
8902,0,1
8919,0,0
8942,0,1
8989,0,0
9003,0,1
9086,0,0
9145,0,1
9168,0,0
9230,0,1
9307,0,0
9375,0,1
9416,0,0
9472,0,1
9483,0,0
9557,0,1
9595,0,0
9621,0,1
9701,0,0
9715,0,1
9762,0,0
9851,0,1
9940,0,0
9990,0,1
10070,0,0
10153,0,1
10176,0,0
10223,0,1
10294,0,0
10386,0,1
10427,0,0
10492,0,1
10569,0,0
