step,tl_id,reward_type,previous,current,max,reward
117,0,avg_vehicle_number,2.75,2.75,69.335,0.9603374918872143
185,0,avg_vehicle_number,3.25,3.25,64.3825,0.9495204442200909
229,0,avg_vehicle_number,1.75,1.75,69.335,0.9747602221100454
321,0,avg_vehicle_number,4.25,4.25,69.335,0.9387033965529674
341,0,avg_vehicle_number,2.0,2.0,69.335,0.9711545395543376
370,0,avg_vehicle_number,3.25,3.25,69.335,0.9531261267757987
453,0,avg_vehicle_number,1.75,1.75,64.3825,0.9728187007338951
527,0,avg_vehicle_number,2.75,2.75,69.335,0.9603374918872143
547,0,avg_vehicle_number,2.75,2.75,69.335,0.9603374918872143
618,0,avg_vehicle_number,3.0,3.0,69.335,0.9567318093315065
710,0,avg_vehicle_number,3.25,3.25,69.335,0.9531261267757987
799,0,avg_vehicle_number,4.0,4.0,69.335,0.9423090791086752
870,0,avg_vehicle_number,3.5,3.5,64.3825,0.9456374014677902
923,0,avg_vehicle_number,2.75,2.75,64.3825,0.9572865297246923
955,0,avg_vehicle_number,1.5,1.5,69.335,0.9783659046657532
1026,0,avg_vehicle_number,2.75,2.75,69.335,0.9603374918872143
1064,0,avg_vehicle_number,2.0,2.0,69.335,0.9711545395543376
1126,0,avg_vehicle_number,3.5,3.5,69.335,0.9495204442200909
1185,0,avg_vehicle_number,3.0,3.0,69.335,0.9567318093315065
1211,0,avg_vehicle_number,2.5,2.5,69.335,0.963943174442922
1267,0,avg_vehicle_number,3.5,3.5,69.335,0.9495204442200909
1353,0,avg_vehicle_number,3.75,3.75,64.3825,0.9417543587154894
1424,0,avg_vehicle_number,2.75,2.75,69.335,0.9603374918872143
1516,0,avg_vehicle_number,4.0,4.0,69.335,0.9423090791086752
1572,0,avg_vehicle_number,2.0,2.0,59.43,0.9663469628133939
1649,0,avg_vehicle_number,1.5,1.5,64.3825,0.9767017434861958
1738,0,avg_vehicle_number,3.5,3.5,69.335,0.9495204442200909
1770,0,avg_vehicle_number,2.0,2.0,64.3825,0.9689356579815944
1859,0,avg_vehicle_number,4.5,4.5,64.3825,0.9301052304585873
1951,0,avg_vehicle_number,2.75,2.75,69.335,0.9603374918872143
1989,0,avg_vehicle_number,2.5,2.5,64.3825,0.961169572476993
2006,0,avg_vehicle_number,1.75,1.75,64.3825,0.9728187007338951
2089,0,avg_vehicle_number,2.75,2.75,69.335,0.9603374918872143
2160,0,avg_vehicle_number,3.0,3.0,69.335,0.9567318093315065
2252,0,avg_vehicle_number,4.5,4.5,69.335,0.9350977139972597
2341,0,avg_vehicle_number,4.75,4.75,69.335,0.9314920314415519
2361,0,avg_vehicle_number,3.25,3.25,69.335,0.9531261267757987
2423,0,avg_vehicle_number,4.0,4.0,69.335,0.9423090791086752
2440,0,avg_vehicle_number,2.75,2.75,69.335,0.9603374918872143
2490,0,avg_vehicle_number,3.25,3.25,69.335,0.9531261267757987
2534,0,avg_vehicle_number,2.75,2.75,69.335,0.9603374918872143
2563,0,avg_vehicle_number,2.75,2.75,69.335,0.9603374918872143
2613,0,avg_vehicle_number,2.75,2.75,69.335,0.9603374918872143
2657,0,avg_vehicle_number,3.0,3.0,69.335,0.9567318093315065
2668,0,avg_vehicle_number,2.5,2.5,69.335,0.963943174442922
2697,0,avg_vehicle_number,2.25,2.25,69.335,0.9675488569986298
2762,0,avg_vehicle_number,3.25,3.25,69.335,0.9531261267757987
2815,0,avg_vehicle_number,2.75,2.75,69.335,0.9603374918872143
2901,0,avg_vehicle_number,3.5,3.5,69.335,0.9495204442200909
2951,0,avg_vehicle_number,3.25,3.25,69.335,0.9531261267757987
2977,0,avg_vehicle_number,2.5,2.5,69.335,0.963943174442922
3063,0,avg_vehicle_number,3.75,3.75,64.3825,0.9417543587154894
3152,0,avg_vehicle_number,3.0,3.0,64.3825,0.9534034869723915
3244,0,avg_vehicle_number,4.5,4.5,69.335,0.9350977139972597
3303,0,avg_vehicle_number,5.0,5.0,69.335,0.9278863488858441
3386,0,avg_vehicle_number,4.75,4.75,69.335,0.9314920314415519
3457,0,avg_vehicle_number,4.25,4.25,69.335,0.9387033965529674
3531,0,avg_vehicle_number,4.0,4.0,64.3825,0.9378713159631887
3614,0,avg_vehicle_number,3.25,3.25,64.3825,0.9495204442200909
3631,0,avg_vehicle_number,2.5,2.5,64.3825,0.961169572476993
3708,0,avg_vehicle_number,6.0,6.0,69.335,0.913463618663013
3797,0,avg_vehicle_number,5.25,5.25,69.335,0.9242806663301363
3814,0,avg_vehicle_number,4.25,4.25,69.335,0.9387033965529674
3828,0,avg_vehicle_number,4.25,4.25,64.3825,0.9339882732108881
3881,0,avg_vehicle_number,2.75,2.75,64.3825,0.9572865297246923
3973,0,avg_vehicle_number,3.75,3.75,69.335,0.945914761664383
4062,0,avg_vehicle_number,6.25,6.25,64.3825,0.9029239311924824
4154,0,avg_vehicle_number,3.75,3.75,69.335,0.945914761664383
4177,0,avg_vehicle_number,3.5,3.5,69.335,0.9495204442200909
4263,0,avg_vehicle_number,5.75,5.75,69.335,0.9170693012187207
4343,0,avg_vehicle_number,5.0,5.0,69.335,0.9278863488858441
4399,0,avg_vehicle_number,3.5,3.5,64.3825,0.9456374014677902
4434,0,avg_vehicle_number,2.25,2.25,64.3825,0.9650526152292936
