step,tl_id,new_state
31,0,1
61,0,0
96,0,1
122,0,0
157,0,1
181,0,0
191,0,1
202,0,0
212,0,1
223,0,0
233,0,1
244,0,0
254,0,1
265,0,0
275,0,1
286,0,0
296,0,1
307,0,0
317,0,1
328,0,0
338,0,1
349,0,0
359,0,1
372,0,0
383,0,1
395,0,0
406,0,1
418,0,0
429,0,1
441,0,0
452,0,1
464,0,0
475,0,1
487,0,0
498,0,1
510,0,0
521,0,1
533,0,0
543,0,1
556,0,0
566,0,1
579,0,0
589,0,1
602,0,0
612,0,1
625,0,0
635,0,1
648,0,0
658,0,1
671,0,0
681,0,1
694,0,0
704,0,1
717,0,0
728,0,1
740,0,0
751,0,1
763,0,0
774,0,1
786,0,0
797,0,1
809,0,0
820,0,1
832,0,0
843,0,1
855,0,0
866,0,1
878,0,0
889,0,1
901,0,0
912,0,1
925,0,0
936,0,1
949,0,0
960,0,1
973,0,0
984,0,1
997,0,0
1008,0,1
1021,0,0
1032,0,1
1045,0,0
1056,0,1
1069,0,0
1080,0,1
1090,0,0
1099,0,1
1111,0,0
1120,0,1
1132,0,0
1141,0,1
1153,0,0
1162,0,1
1174,0,0
1183,0,1
1195,0,0
1204,0,1
1216,0,0
1225,0,1
1237,0,0
1246,0,1
1258,0,0
1269,0,1
1280,0,0
1291,0,1
1302,0,0
1313,0,1
1324,0,0
1335,0,1
1346,0,0
1357,0,1
1368,0,0
1379,0,1
1390,0,0
1401,0,1
1412,0,0
1423,0,1
1434,0,0
1445,0,1
1458,0,0
1468,0,1
1482,0,0
1492,0,1
1506,0,0
1516,0,1
1530,0,0
1540,0,1
1554,0,0
1564,0,1
1578,0,0
1588,0,1
1602,0,0
1612,0,1
1626,0,0
1636,0,1
1648,0,0
1658,0,1
1670,0,0
1680,0,1
1692,0,0
1702,0,1
1714,0,0
1724,0,1
1736,0,0
1746,0,1
1758,0,0
1768,0,1
1780,0,0
1790,0,1
1802,0,0
1814,0,1
1825,0,0
1837,0,1
1848,0,0
1860,0,1
1871,0,0
1883,0,1
1894,0,0
1906,0,1
1917,0,0
1929,0,1
1940,0,0
1952,0,1
1963,0,0
1975,0,1
1986,0,0
2000,0,1
2009,0,0
2023,0,1
2032,0,0
2046,0,1
2055,0,0
2069,0,1
2078,0,0
2092,0,1
2101,0,0
2115,0,1
2124,0,0
2138,0,1
2147,0,0
2161,0,1
2170,0,0
2181,0,1
2192,0,0
2203,0,1
2214,0,0
2225,0,1
2236,0,0
2247,0,1
2258,0,0
2269,0,1
2280,0,0
2291,0,1
2302,0,0
2313,0,1
2324,0,0
2335,0,1
2346,0,0
2358,0,1
2371,0,0
2383,0,1
2396,0,0
2408,0,1
2421,0,0
2433,0,1
2446,0,0
2458,0,1
2471,0,0
2483,0,1
2496,0,0
2508,0,1
2521,0,0
2533,0,1
2545,0,0
2557,0,1
2569,0,0
2581,0,1
2593,0,0
2605,0,1
2617,0,0
2629,0,1
2641,0,0
2653,0,1
2665,0,0
2677,0,1
2689,0,0
2701,0,1
2713,0,0
2725,0,1
2738,0,0
2750,0,1
2763,0,0
2775,0,1
2788,0,0
2800,0,1
2813,0,0
2825,0,1
2838,0,0
2850,0,1
2863,0,0
2875,0,1
2888,0,0
2900,0,1
2911,0,0
2923,0,1
2934,0,0
2946,0,1
2957,0,0
2969,0,1
2980,0,0
2992,0,1
3003,0,0
3015,0,1
3026,0,0
3038,0,1
3049,0,0
3061,0,1
3072,0,0
3082,0,1
3095,0,0
3105,0,1
3118,0,0
3128,0,1
3141,0,0
3151,0,1
3164,0,0
3174,0,1
3187,0,0
3197,0,1
3210,0,0
3220,0,1
3233,0,0
3243,0,1
3256,0,0
3269,0,1
3280,0,0
3293,0,1
3304,0,0
3317,0,1
3328,0,0
3341,0,1
3352,0,0
3365,0,1
3376,0,0
3389,0,1
3400,0,0
3413,0,1
3424,0,0
3437,0,1
3451,0,0
3465,0,1
3478,0,0
3492,0,1
3505,0,0
3519,0,1
3532,0,0
3546,0,1
3559,0,0
3573,0,1
3586,0,0
3600,0,1
3613,0,0
3627,0,1
3638,0,0
3652,0,1
3663,0,0
3677,0,1
3688,0,0
3702,0,1
3713,0,0
3727,0,1
3738,0,0
3752,0,1
3763,0,0
3777,0,1
3788,0,0
3802,0,1
3813,0,0
3827,0,1
3838,0,0
3852,0,1
3863,0,0
3877,0,1
3888,0,0
3902,0,1
3913,0,0
3927,0,1
3938,0,0
3952,0,1
3963,0,0
3977,0,1
3988,0,0
3989,0,1
4000,0,0
4015,0,1
4026,0,0
4041,0,1
4052,0,0
4067,0,1
4078,0,0
4093,0,1
4104,0,0
4119,0,1
4130,0,0
4145,0,1
4156,0,0
4171,0,1
4182,0,0
4197,0,1
4208,0,0
4223,0,1
4234,0,0
4249,0,1
4260,0,0
4275,0,1
4286,0,0
4301,0,1
4312,0,0
4327,0,1
4338,0,0
4351,0,1
4354,0,0
4367,0,1
4381,0,0
4394,0,1
4408,0,0
4421,0,1
4435,0,0
4448,0,1
4462,0,0
4475,0,1
4489,0,0
4502,0,1
4516,0,0
4528,0,1
4541,0,0
4553,0,1
4566,0,0
4578,0,1
4591,0,0
4603,0,1
4616,0,0
4628,0,1
4641,0,0
4653,0,1
4666,0,0
4678,0,1
4691,0,0
4703,0,1
4716,0,0
4728,0,1
4741,0,0
4753,0,1
4766,0,0
4778,0,1
4791,0,0
4803,0,1
4816,0,0
4828,0,1
4841,0,0
4853,0,1
4866,0,0
4878,0,1
4894,0,0
4905,0,1
4922,0,0
4933,0,1
4950,0,0
4961,0,1
4978,0,0
4989,0,1
5006,0,0
5017,0,1
5034,0,0
5045,0,1
5062,0,0
5074,0,1
5094,0,0
5106,0,1
5126,0,0
5138,0,1
5158,0,0
5170,0,1
5190,0,0
5202,0,1
5222,0,0
5234,0,1
5249,0,0
5262,0,1
5276,0,0
5289,0,1
5303,0,0
5316,0,1
5330,0,0
5343,0,1
5357,0,0
5370,0,1
5384,0,0
5397,0,1
5411,0,0
5424,0,1
5440,0,0
5441,0,1
5457,0,0
5471,0,1
5487,0,0
5501,0,1
5517,0,0
5531,0,1
5547,0,0
5561,0,1
5577,0,0
5591,0,1
5607,0,0
5619,0,1
5633,0,0
5647,0,1
5661,0,0
5675,0,1
5689,0,0
5703,0,1
5717,0,0
5731,0,1
5745,0,0
5759,0,1
5773,0,0
5787,0,1
5802,0,0
5817,0,1
5832,0,0
5847,0,1
5862,0,0
5877,0,1
5892,0,0
5907,0,1
5922,0,0
5937,0,1
5952,0,0
5967,0,1
5981,0,0
5994,0,1
6008,0,0
6021,0,1
6035,0,0
6048,0,1
6062,0,0
6075,0,1
6089,0,0
6102,0,1
6116,0,0
6129,0,1
6143,0,0
6154,0,1
6168,0,0
6179,0,1
6193,0,0
6204,0,1
6218,0,0
6229,0,1
6243,0,0
6254,0,1
6268,0,0
6279,0,1
6293,0,0
6304,0,1
6318,0,0
6329,0,1
6345,0,0
6355,0,1
6371,0,0
6381,0,1
6397,0,0
6407,0,1
6423,0,0
6433,0,1
6449,0,0
6459,0,1
6475,0,0
6485,0,1
6501,0,0
6511,0,1
6526,0,0
6534,0,1
6549,0,0
6557,0,1
6572,0,0
6580,0,1
6595,0,0
6603,0,1
6618,0,0
6626,0,1
6641,0,0
6649,0,1
6664,0,0
6672,0,1
6687,0,0
6695,0,1
6709,0,0
6720,0,1
6734,0,0
6745,0,1
6759,0,0
6770,0,1
6784,0,0
6795,0,1
6809,0,0
6820,0,1
6834,0,0
6845,0,1
6859,0,0
6870,0,1
6889,0,0
6902,0,1
6921,0,0
6934,0,1
6953,0,0
6966,0,1
6985,0,0
6998,0,1
7017,0,0
7030,0,1
7049,0,0
7064,0,1
7069,0,0
7084,0,1
7108,0,0
7123,0,1
7147,0,0
7162,0,1
7186,0,0
7201,0,1
7225,0,0
7240,0,1
7265,0,0
7278,0,1
7305,0,0
7318,0,1
7345,0,0
7358,0,1
7385,0,0
7398,0,1
7431,0,0
7434,0,1
7467,0,0
7483,0,1
7516,0,0
7532,0,1
7565,0,0
7581,0,1
7669,0,0
7707,0,1
7783,0,0
7807,0,1
7838,0,0
7862,0,1
7893,0,0
7917,0,1
7948,0,0
7970,0,1
7989,0,0
8011,0,1
8030,0,0
8052,0,1
8071,0,0
8093,0,1
8112,0,0
8134,0,1
8147,0,0
8161,0,1
8182,0,0
8196,0,1
8217,0,0
8231,0,1
8252,0,0
8266,0,1
8287,0,0
8301,0,1
8322,0,0
8338,0,1
8359,0,0
8375,0,1
8396,0,0
8412,0,1
8433,0,0
8449,0,1
8470,0,0
8486,0,1
8507,0,0
8524,0,1
8543,0,0
8560,0,1
8579,0,0
8596,0,1
8615,0,0
8632,0,1
8651,0,0
8668,0,1
8687,0,0
8703,0,1
8723,0,0
8739,0,1
8759,0,0
8775,0,1
8795,0,0
8811,0,1
8831,0,0
8847,0,1
8867,0,0
8884,0,1
8908,0,0
8925,0,1
8949,0,0
8966,0,1
8990,0,0
9007,0,1
9031,0,0
9048,0,1
9075,0,0
9080,0,1
9107,0,0
9129,0,1
9156,0,0
9178,0,1
9205,0,0
9227,0,1
9250,0,0
9266,0,1
9289,0,0
9305,0,1
9328,0,0
9344,0,1
9367,0,0
9383,0,1
9406,0,0
9429,0,1
9438,0,0
9461,0,1
9493,0,0
9516,0,1
9548,0,0
9571,0,1
