step,tl_id,previous_state,current_state,action,reward
72,0,1_1_1,1_1_0,14,0.9927886348885844
89,0,1_1_0,1_1_1,4,0.9961169572476993
136,0,1_1_1,2_1_0,14,0.9927886348885844
156,0,2_1_0,1_2_1,5,0.9963943174442922
272,0,1_2_1,3_1_0,37,0.9747602221100454
379,0,3_1_0,1_4_1,34,0.9534034869723915
399,0,1_4_1,1_3_0,5,0.9883508717430979
425,0,1_3_0,0_3_1,7,0.9621403331650682
541,0,0_3_1,3_1_0,37,0.9747602221100454
648,0,3_1_0,1_3_1,34,0.9711545395543376
731,0,1_3_1,2_2_0,26,0.9783659046657532
772,0,2_2_0,1_2_1,12,0.9747602221100454
882,0,1_2_1,2_2_0,35,0.9650526152292936
923,0,2_2_0,1_2_1,12,0.9805847862384964
1033,0,1_2_1,2_2_0,35,0.9844678289907972
1074,0,2_2_0,1_2_1,12,0.9844678289907972
1184,0,1_2_1,3_1_0,35,0.9675488569986298
1291,0,3_1_0,1_3_1,34,0.9711545395543376
1374,0,1_3_1,3_1_0,26,0.981971587221461
1481,0,3_1_0,1_3_1,34,0.9603374918872143
1564,0,1_3_1,2_0_0,26,0.9831734814066969
1665,0,2_0_0,1_2_1,32,0.9883508717430979
1775,0,1_2_1,2_0_0,35,0.9663469628133939
1876,0,2_0_0,2_2_1,32,0.981971587221461
1899,0,2_2_1,2_1_0,6,0.9855772697771689
1952,0,2_1_0,1_2_1,16,0.9855772697771689
2062,0,1_2_1,2_1_0,35,0.9650526152292936
2115,0,2_1_0,1_1_1,16,0.9883508717430979
2162,0,1_1_1,1_1_0,14,0.9927886348885844
2179,0,1_1_0,1_1_1,4,0.9963943174442922
2226,0,1_1_1,2_1_0,14,0.9891829523328766
2279,0,2_1_0,1_2_1,16,0.981971587221461
2389,0,1_2_1,2_2_0,35,0.9747602221100454
2502,0,2_2_0,1_3_1,36,0.9531261267757987
2513,0,1_3_1,1_2_0,2,0.9783659046657532
2623,0,1_2_0,1_5_1,35,0.9242806663301363
2691,0,1_5_1,2_1_0,21,0.9767017434861958
2744,0,2_1_0,1_2_1,16,0.9855772697771689
2854,0,1_2_1,4_1_0,35,0.9456374014677902
2901,0,4_1_0,1_2_1,14,0.9883508717430979
3011,0,1_2_1,2_1_0,35,0.9711545395543376
3064,0,2_1_0,1_2_1,16,0.9805847862384964
3174,0,1_2_1,3_1_0,35,0.963943174442922
3191,0,3_1_0,2_2_1,4,0.9855772697771689
3214,0,2_2_1,2_2_0,6,0.981971587221461
3255,0,2_2_0,1_2_1,12,0.9711545395543376
3365,0,1_2_1,4_2_0,35,0.9278863488858441
3460,0,4_2_0,2_3_1,30,0.9711545395543376
3570,0,2_3_1,4_1_0,35,0.945914761664383
3617,0,4_1_0,1_2_1,14,0.9805847862384964
3688,0,1_2_1,3_2_0,22,0.9783659046657532
3771,0,3_2_0,1_4_1,26,0.9495204442200909
3818,0,1_4_1,2_1_0,14,0.981971587221461
3871,0,2_1_0,2_2_1,16,0.9747602221100454
3894,0,2_2_1,2_1_0,6,0.9922339144953986
3953,0,2_1_0,1_2_1,18,0.9855772697771689
4063,0,1_2_1,5_1_0,35,0.9339882732108881
4167,0,5_1_0,2_3_1,33,0.9711545395543376
4277,0,2_3_1,4_2_0,35,0.9495204442200909
4372,0,4_2_0,1_3_1,30,0.9339882732108881
4455,0,1_3_1,3_1_0,26,0.9805847862384964
4562,0,3_1_0,1_4_1,34,0.9567318093315065
4573,0,1_4_1,1_4_0,2,0.9711545395543376
4659,0,1_4_0,1_5_1,27,0.9278863488858441
4727,0,1_5_1,2_1_0,21,0.9650526152292936
4780,0,2_1_0,1_4_1,16,0.9805847862384964
4827,0,1_4_1,2_2_0,14,0.9963943174442922
4892,0,2_2_0,1_4_1,20,0.9495204442200909
4939,0,1_4_1,2_2_0,14,0.9855772697771689
4998,0,2_2_0,1_3_1,18,0.961169572476993
5093,0,1_3_1,3_1_0,30,0.9675488569986298
5200,0,3_1_0,2_3_1,34,0.9495204442200909
5310,0,2_3_1,5_2_0,35,0.9495204442200909
5369,0,5_2_0,2_3_1,18,0.9567318093315065
5473,0,2_3_1,4_1_0,33,0.9567318093315065
5592,0,4_1_0,1_4_1,38,0.9567318093315065
5666,0,1_4_1,3_1_0,23,0.9711545395543376
5773,0,3_1_0,1_4_1,34,0.9567318093315065
5820,0,1_4_1,3_1_0,14,0.9783659046657532
5927,0,3_1_0,1_4_1,34,0.9531261267757987
5938,0,1_4_1,2_4_0,2,0.9747602221100454
6033,0,2_4_0,2_5_1,30,0.9098579361073051
6140,0,2_5_1,3_1_0,34,0.9531261267757987
6247,0,3_1_0,1_4_1,34,0.9603374918872143
6294,0,1_4_1,2_2_0,14,0.981971587221461
6335,0,2_2_0,1_3_1,12,0.9689356579815944
6346,0,1_3_1,1_3_0,2,0.9927886348885844
6372,0,1_3_0,1_3_1,7,0.9650526152292936
6428,0,1_3_1,1_1_0,17,0.9927886348885844
6445,0,1_1_0,1_1_1,4,0.9805847862384964
6492,0,1_1_1,1_1_0,14,0.9883508717430979
6602,0,1_1_0,1_3_1,35,0.9603374918872143
6697,0,1_3_1,2_1_0,30,0.963943174442922
6750,0,2_1_0,2_3_1,16,0.9747602221100454
6821,0,2_3_1,4_2_0,22,0.9567318093315065
6916,0,4_2_0,2_6_1,30,0.9278863488858441
6945,0,2_6_1,3_3_0,8,0.981971587221461
7013,0,3_3_0,1_4_1,21,0.9603374918872143
7060,0,1_4_1,3_3_0,14,0.9747602221100454
7128,0,3_3_0,1_5_1,21,0.9314920314415519
7196,0,1_5_1,2_2_0,21,0.981971587221461
7240,0,2_2_0,2_4_1,13,0.9603374918872143
7281,0,2_4_1,2_3_0,12,0.963943174442922
7376,0,2_3_0,2_6_1,30,0.9170693012187207
7432,0,2_6_1,3_2_0,17,0.9747602221100454
7515,0,3_2_0,2_6_1,26,0.9350977139972597
7571,0,2_6_1,4_1_0,17,0.9711545395543376
7618,0,4_1_0,2_3_1,14,0.9747602221100454
7728,0,2_3_1,4_2_0,35,0.9350977139972597
7823,0,4_2_0,2_5_1,30,0.9350977139972597
7930,0,2_5_1,5_2_0,34,0.9170693012187207
7989,0,5_2_0,1_5_1,18,0.9531261267757987
8069,0,1_5_1,4_2_0,25,0.9603374918872143
8110,0,4_2_0,1_4_1,12,0.9711545395543376
8142,0,1_4_1,1_3_0,9,0.9855772697771689
8249,0,1_3_0,2_6_1,34,0.9098579361073051
8275,0,2_6_1,2_5_0,7,0.963943174442922
8343,0,2_5_0,2_6_1,21,0.9062522535515973
8399,0,2_6_1,4_2_0,17,0.9747602221100454
8494,0,4_2_0,1_5_1,30,0.9314920314415519
8532,0,1_5_1,2_1_0,11,0.981971587221461
8555,0,2_1_0,2_2_1,6,0.9891829523328766
8578,0,2_2_1,2_2_0,6,0.9927886348885844
8619,0,2_2_0,2_5_1,12,0.963943174442922
8726,0,2_5_1,4_2_0,34,0.9567318093315065
8821,0,4_2_0,1_7_1,30,0.8954352058844739
8853,0,1_7_1,2_5_0,9,0.9747602221100454
8933,0,2_5_0,1_9_1,25,0.8738011105502271
8950,0,1_9_1,2_8_0,4,0.9170693012187207
8997,0,2_8_0,2_9_1,14,0.8629840628831038
9008,0,2_9_1,3_9_0,2,0.8918295233287661
9055,0,3_9_0,2_12_1,14,0.8305329198817336
9153,0,2_12_1,4_2_0,31,0.945914761664383
9248,0,4_2_0,1_5_1,30,0.9350977139972597
9322,0,1_5_1,4_2_0,23,0.9495204442200909
9417,0,4_2_0,2_9_1,30,0.8918295233287661
9428,0,2_9_1,2_9_0,2,0.9062522535515973
9445,0,2_9_0,2_9_1,4,0.8810124756616428
9456,0,2_9_1,2_9_0,2,0.8810124756616428
9536,0,2_9_0,3_13_1,25,0.7836590466575323
9577,0,3_13_1,4_10_0,12,0.9170693012187207
9660,0,4_10_0,1_14_1,26,0.7872647292132401
9686,0,1_14_1,2_13_0,7,0.8701954279945193
9781,0,2_13_0,3_18_1,30,0.7151510780990842
9873,0,3_18_1,6_9_0,29,0.9062522535515973
9887,0,6_9_0,6_10_1,3,0.8846181582173506
9988,0,6_10_1,9_3_0,32,0.8449556501045647
10104,0,9_3_0,2_9_1,37,0.8665897454388116
10115,0,2_9_1,2_9_0,2,0.8810124756616428
10132,0,2_9_0,3_10_1,4,0.8485613326602726
10242,0,3_10_1,7_2_0,35,0.877406793105935
10358,0,7_2_0,3_8_1,37,0.877406793105935
10402,0,3_8_1,5_4_0,13,0.9350977139972597
10494,0,5_4_0,1_9_1,29,0.8738011105502271
10559,0,1_9_1,5_4_0,20,0.945914761664383
10651,0,5_4_0,2_8_1,29,0.8665897454388116
10668,0,2_8_1,3_8_0,4,0.9026465709958895
10721,0,3_8_0,2_12_1,16,0.805293141991779
10819,0,2_12_1,7_2_0,31,0.9062522535515973
10932,0,7_2_0,3_9_1,36,0.8701954279945193
10964,0,3_9_1,4_8_0,9,0.9387033965529674
11029,0,4_8_0,2_11_1,20,0.8161101896589025
11058,0,2_11_1,3_8_0,8,0.8990408884401817
11111,0,3_8_0,2_11_1,16,0.8161101896589025
11140,0,2_11_1,4_9_0,8,0.8954352058844739
11256,0,4_9_0,2_16_1,37,0.7115453955433764
