step,tl_id,previous_state,current_state,action,reward
102,0,1_1_1,2_1_0,24,0.963943174442922
131,0,2_1_0,1_1_1,8,0.9675488569986298
208,0,1_1_1,1_1_0,24,0.9650526152292936
294,0,1_1_0,1_2_1,27,0.9423090791086752
308,0,1_2_1,1_2_0,3,0.9423090791086752
403,0,1_2_0,0_4_1,30,0.9200740366818105
423,0,0_4_1,0_3_0,5,0.9537270738684166
458,0,0_3_0,1_3_1,10,0.945914761664383
523,0,1_3_1,2_1_0,20,0.9567318093315065
552,0,2_1_0,1_2_1,8,0.9567318093315065
566,0,1_2_1,2_1_0,3,0.9603374918872143
640,0,2_1_0,1_2_1,23,0.9531261267757987
663,0,1_2_1,2_1_0,6,0.9675488569986298
692,0,2_1_0,1_2_1,8,0.961169572476993
706,0,1_2_1,2_1_0,3,0.9728187007338951
735,0,2_1_0,1_2_1,8,0.9572865297246923
749,0,1_2_1,1_2_0,3,0.963943174442922
844,0,1_2_0,1_3_1,30,0.9387033965529674
909,0,1_3_1,1_1_0,20,0.9747602221100454
995,0,1_1_0,1_2_1,27,0.9531261267757987
1009,0,1_2_1,1_1_0,3,0.9711545395543376
1095,0,1_1_0,1_3_1,27,0.9423090791086752
1160,0,1_3_1,2_1_0,20,0.9572865297246923
1189,0,2_1_0,1_2_1,8,0.963943174442922
1203,0,1_2_1,2_1_0,3,0.963943174442922
1277,0,2_1_0,1_3_1,23,0.945914761664383
1342,0,1_3_1,2_1_0,20,0.9675488569986298
1371,0,2_1_0,2_1_1,8,0.9650526152292936
1403,0,2_1_1,2_1_0,9,0.9711545395543376
1432,0,2_1_0,1_2_1,8,0.9675488569986298
1446,0,1_2_1,1_2_0,3,0.9603374918872143
1541,0,1_2_0,1_3_1,30,0.9456374014677902
1606,0,1_3_1,2_1_0,20,0.961169572476993
1716,0,2_1_0,2_3_1,35,0.9387033965529674
1763,0,2_3_1,2_1_0,14,0.9572865297246923
1831,0,2_1_0,2_2_1,21,0.9567318093315065
1941,0,2_2_1,4_1_0,35,0.9206749837744285
2057,0,4_1_0,0_2_1,37,0.9579337035167423
2086,0,0_2_1,1_1_0,8,0.9767017434861958
2172,0,1_1_0,1_2_1,27,0.9567318093315065
2186,0,1_2_1,1_1_0,3,0.9711545395543376
2272,0,1_1_0,1_3_1,27,0.9423090791086752
2337,0,1_3_1,2_1_0,20,0.9567318093315065
2453,0,2_1_0,1_3_1,37,0.9184561022016853
2518,0,1_3_1,2_1_0,20,0.9603374918872143
2547,0,2_1_0,1_1_1,8,0.963943174442922
2624,0,1_1_1,2_1_0,24,0.9531261267757987
2653,0,2_1_0,1_2_1,8,0.9567318093315065
2667,0,1_2_1,1_1_0,3,0.963943174442922
2753,0,1_1_0,1_3_1,27,0.9387033965529674
2785,0,1_3_1,2_1_0,9,0.961169572476993
2829,0,2_1_0,1_1_1,13,0.963943174442922
2864,0,1_1_1,2_1_0,10,0.963943174442922
2950,0,2_1_0,1_2_1,27,0.9423090791086752
2964,0,1_2_1,1_2_0,3,0.9531261267757987
3080,0,1_2_0,1_4_1,37,0.9206749837744285
3151,0,1_4_1,2_1_0,22,0.9572865297246923
3180,0,2_1_0,1_2_1,8,0.963943174442922
3194,0,1_2_1,1_2_0,3,0.9603374918872143
3289,0,1_2_0,2_4_1,30,0.8954352058844739
3345,0,2_4_1,4_2_0,17,0.9098579361073051
3464,0,4_2_0,2_4_1,38,0.9206749837744285
3508,0,2_4_1,2_2_0,13,0.9387033965529674
3576,0,2_2_0,2_3_1,21,0.9314920314415519
3623,0,2_3_1,2_1_0,14,0.9572865297246923
3652,0,2_1_0,1_2_1,8,0.963943174442922
3666,0,1_2_1,2_1_0,3,0.9567318093315065
3785,0,2_1_0,1_4_1,38,0.9062522535515973
3856,0,1_4_1,3_1_0,22,0.9350977139972597
3903,0,3_1_0,2_2_1,14,0.945914761664383
3941,0,2_2_1,2_1_0,11,0.963943174442922
3970,0,2_1_0,2_1_1,8,0.9603374918872143
4002,0,2_1_1,3_1_0,9,0.9350977139972597
4013,0,3_1_0,3_1_1,2,0.9387033965529674
4117,0,3_1_1,4_1_0,33,0.8954352058844739
4161,0,4_1_0,2_2_1,13,0.9423090791086752
4268,0,2_2_1,4_2_0,34,0.9062522535515973
4387,0,4_2_0,1_4_1,38,0.9184561022016853
4458,0,1_4_1,3_1_0,22,0.9534034869723915
4505,0,3_1_0,1_3_1,14,0.9534034869723915
4564,0,1_3_1,1_2_0,18,0.9567318093315065
4659,0,1_2_0,1_3_1,30,0.9278863488858441
4724,0,1_3_1,2_1_0,20,0.9495204442200909
4753,0,2_1_0,1_2_1,8,0.9675488569986298
4767,0,1_2_1,1_2_0,3,0.9603374918872143
4862,0,1_2_0,1_5_1,30,0.8882238407730583
4942,0,1_5_1,2_2_0,25,0.9387033965529674
5010,0,2_2_0,1_4_1,21,0.922339144953986
5123,0,1_4_1,2_2_0,36,0.9350977139972597
5191,0,2_2_0,2_3_1,21,0.9242806663301363
5238,0,2_3_1,3_1_0,14,0.9278863488858441
5279,0,3_1_0,1_3_1,12,0.9417543587154894
5347,0,1_3_1,3_2_0,21,0.9170693012187207
5448,0,3_2_0,2_4_1,32,0.8990408884401817
5504,0,2_4_1,3_1_0,17,0.9314920314415519
5551,0,3_1_0,1_2_1,14,0.9495204442200909
5565,0,1_2_1,1_1_0,3,0.963943174442922
5651,0,1_1_0,1_4_1,27,0.9170693012187207
5722,0,1_4_1,3_1_0,22,0.9314920314415519
5769,0,3_1_0,1_3_1,14,0.9387033965529674
5834,0,1_3_1,3_1_0,20,0.9423090791086752
5956,0,3_1_0,1_4_1,39,0.9026465709958895
6027,0,1_4_1,3_1_0,22,0.9314920314415519
6074,0,3_1_0,1_3_1,14,0.9456374014677902
6097,0,1_3_1,2_1_0,6,0.963943174442922
6126,0,2_1_0,0_2_1,8,0.9621403331650682
6155,0,0_2_1,1_1_0,8,0.9805847862384964
6232,0,1_1_0,1_4_1,24,0.9350977139972597
6303,0,1_4_1,2_1_0,22,0.945914761664383
6332,0,2_1_0,1_2_1,8,0.9572865297246923
6346,0,1_2_1,1_2_0,3,0.963943174442922
6441,0,1_2_0,1_4_1,30,0.9339882732108881
6542,0,1_4_1,2_2_0,32,0.9423090791086752
6568,0,2_2_0,0_2_1,7,0.9579337035167423
6651,0,0_2_1,2_1_0,26,0.9567318093315065
6722,0,2_1_0,2_2_1,22,0.9378713159631887
6742,0,2_2_1,2_2_0,5,0.9495204442200909
6810,0,2_2_0,2_4_1,21,0.9098579361073051
6830,0,2_4_1,3_2_0,5,0.9314920314415519
6931,0,3_2_0,2_5_1,32,0.8701954279945193
7017,0,2_5_1,3_2_0,27,0.9026465709958895
7136,0,3_2_0,1_6_1,38,0.8629840628831038
7174,0,1_6_1,1_4_0,11,0.9242806663301363
7278,0,1_4_0,2_7_1,33,0.8485613326602726
7379,0,2_7_1,4_2_0,32,0.9098579361073051
7498,0,4_2_0,2_7_1,38,0.8557726977716882
7545,0,2_7_1,3_3_0,14,0.9098579361073051
7649,0,3_3_0,1_6_1,33,0.8846181582173506
7687,0,1_6_1,3_4_0,11,0.8954352058844739
7773,0,3_4_0,1_7_1,27,0.8665897454388116
7823,0,1_7_1,3_1_0,15,0.9314920314415519
7870,0,3_1_0,2_3_1,14,0.9062522535515973
7917,0,2_3_1,3_2_0,14,0.9026465709958895
8018,0,3_2_0,2_7_1,32,0.8557726977716882
8122,0,2_7_1,5_2_0,33,0.8918295233287661
8133,0,5_2_0,4_2_1,2,0.8990408884401817
8150,0,4_2_1,5_3_0,4,0.8918295233287661
8215,0,5_3_0,3_6_1,20,0.8810124756616428
8337,0,3_6_1,6_3_0,39,0.877406793105935
8444,0,6_3_0,1_6_1,34,0.8629840628831038
8512,0,1_6_1,3_1_0,21,0.9387033965529674
8559,0,3_1_0,2_3_1,14,0.9242806663301363
8606,0,2_3_1,2_2_0,14,0.9242806663301363
8674,0,2_2_0,1_5_1,21,0.8918295233287661
8754,0,1_5_1,4_2_0,25,0.913463618663013
8873,0,4_2_0,2_8_1,38,0.8161101896589025
8899,0,2_8_1,3_7_0,7,0.8269272373260258
8997,0,3_7_0,2_10_1,31,0.7944760943246556
9065,0,2_10_1,5_4_0,21,0.8738011105502271
9181,0,5_4_0,1_9_1,37,0.8557726977716882
9240,0,1_9_1,3_3_0,18,0.9062522535515973
9344,0,3_3_0,1_7_1,33,0.8557726977716882
9394,0,1_7_1,3_4_0,15,0.9026465709958895
9480,0,3_4_0,1_8_1,27,0.8305329198817336
9554,0,1_8_1,5_2_0,23,0.8954352058844739
9565,0,5_2_0,4_2_1,2,0.9026465709958895
9663,0,4_2_1,8_2_0,31,0.8485613326602726
9758,0,8_2_0,2_8_1,30,0.8305329198817336
9784,0,2_8_1,4_7_0,7,0.8377442849931491
9888,0,4_7_0,3_13_1,33,0.7331794908776231
9989,0,3_13_1,6_2_0,32,0.8629840628831038
10012,0,6_2_0,5_3_1,6,0.8738011105502271
10053,0,5_3_1,7_3_0,12,0.8485613326602726
10133,0,7_3_0,2_8_1,25,0.805293141991779
10159,0,2_8_1,3_7_0,7,0.8016874594360712
10272,0,3_7_0,2_14_1,36,0.6935169827648373
10337,0,2_14_1,6_7_0,20,0.7548135862118699
10426,0,6_7_0,1_10_1,28,0.7800533641018245
10482,0,1_10_1,3_6_0,17,0.8557726977716882
10589,0,3_6_0,2_13_1,34,0.7403908559890386
10669,0,2_13_1,5_4_0,25,0.8341386024374414
10785,0,5_4_0,2_11_1,37,0.7512079036561621
10868,0,2_11_1,7_4_0,26,0.8125045071031947
10906,0,7_4_0,5_6_1,11,0.8269272373260258
10932,0,5_6_1,6_5_0,7,0.8341386024374414
11000,0,6_5_0,3_8_1,21,0.805293141991779
11038,0,3_8_1,4_5_0,11,0.8413499675488569
11136,0,4_5_0,2_9_1,31,0.7764476815461167
11252,0,2_9_1,6_2_0,37,0.8305329198817336
11275,0,6_2_0,6_4_1,6,0.823321554770318
11301,0,6_4_1,6_3_0,7,0.8161101896589025
11408,0,6_3_0,2_9_1,34,0.7908704117689478
11452,0,2_9_1,5_7_0,13,0.8016874594360712
11481,0,5_7_0,3_9_1,8,0.7872647292132401
11591,0,3_9_1,8_3_0,35,0.8088988245474868
11638,0,8_3_0,3_5_1,14,0.8521670152159804
11691,0,3_5_1,4_3_0,16,0.8665897454388116
11732,0,4_3_0,3_6_1,12,0.8377442849931491
11854,0,3_6_1,9_3_0,39,0.8161101896589025
11922,0,9_3_0,3_7_1,21,0.8341386024374414
11987,0,3_7_1,5_3_0,20,0.8485613326602726
12004,0,5_3_0,4_4_1,4,0.8449556501045647
12048,0,4_4_1,6_3_0,13,0.8413499675488569
12140,0,6_3_0,3_8_1,29,0.7944760943246556
12178,0,3_8_1,5_6_0,11,0.8016874594360712
12285,0,5_6_0,3_13_1,34,0.6935169827648373
12335,0,3_13_1,6_9_0,15,0.7115453955433764
12430,0,6_9_0,3_15_1,30,0.646643109540636
12459,0,3_15_1,5_14_0,8,0.6322203793178048
12533,0,5_14_0,3_19_1,23,0.5781351409821879
12631,0,3_19_1,9_9_0,31,0.6538544746520516
12732,0,9_9_0,3_14_1,32,0.6610658397634672
12776,0,3_14_1,5_12_0,13,0.6610658397634672
12802,0,5_12_0,4_13_1,7,0.6502487920963438
12822,0,4_13_1,5_13_0,5,0.6322203793178048
12902,0,5_13_0,3_17_1,25,0.5853465060936035
13009,0,3_17_1,9_7_0,34,0.6718828874305907
13110,0,9_7_0,3_12_1,32,0.7007283478762529
13187,0,3_12_1,7_6_0,24,0.7512079036561621
13258,0,7_6_0,3_9_1,22,0.7512079036561621
13368,0,3_9_1,10_3_0,35,0.7548135862118699
13427,0,10_3_0,5_6_1,18,0.7764476815461167
13453,0,5_6_1,7_6_0,7,0.7548135862118699
13485,0,7_6_0,5_8_1,9,0.7512079036561621
13601,0,5_8_1,12_3_0,37,0.7043340304319607
13660,0,12_3_0,7_6_1,18,0.718756760654792
13773,0,7_6_1,14_3_0,36,0.6538544746520516
13790,0,14_3_0,14_4_1,4,0.6358260618735126
13852,0,14_4_1,18_3_0,19,0.5781351409821879
13923,0,18_3_0,12_8_1,22,0.6033749188721425
13994,0,12_8_1,15_3_0,22,0.6250090142063892
14089,0,15_3_0,7_9_1,30,0.6863056176534217
14115,0,7_9_1,9_8_0,7,0.6754885699862984
14219,0,9_8_0,3_14_1,33,0.646643109540636
14296,0,3_14_1,7_8_0,24,0.6935169827648373
14367,0,7_8_0,3_11_1,22,0.7115453955433764
14459,0,3_11_1,8_4_0,29,0.7656306338789933
14476,0,8_4_0,8_4_1,4,0.7548135862118699
14556,0,8_4_1,13_3_0,25,0.6682772048748828
14633,0,13_3_0,7_8_1,24,0.7043340304319607
14749,0,7_8_1,13_3_0,37,0.6754885699862984
14820,0,13_3_0,8_7_1,22,0.6971226653205451
14834,0,8_7_1,9_7_0,3,0.6863056176534217
14878,0,9_7_0,5_10_1,13,0.7007283478762529
14895,0,5_10_1,6_9_0,4,0.682699935097714
14990,0,6_9_0,3_16_1,30,0.6214033316506815
15022,0,3_16_1,5_14_0,9,0.6105862839835581
15144,0,5_14_0,3_22_1,39,0.4843873945337852
15212,0,3_22_1,7_13_0,21,0.592557871205019
15229,0,7_13_0,7_13_1,4,0.5889521886493112
15255,0,7_13_1,9_12_0,7,0.5781351409821879
15269,0,9_12_0,8_13_1,3,0.5673180933150646
15358,0,8_13_1,14_5_0,28,0.6250090142063892
15402,0,14_5_0,11_8_1,13,0.6322203793178048
15458,0,11_8_1,14_3_0,17,0.6430374269849282
15475,0,14_3_0,14_5_1,4,0.6214033316506815
15540,0,14_5_1,18_3_0,20,0.5781351409821879
15611,0,18_3_0,12_7_1,22,0.6141919665392659
15688,0,12_7_1,16_3_0,24,0.6141919665392659
15756,0,16_3_0,10_7_1,21,0.6430374269849282
15773,0,10_7_1,11_7_0,4,0.6214033316506815
15802,0,11_7_0,10_9_1,8,0.6214033316506815
15858,0,10_9_1,12_5_0,17,0.6502487920963438
15920,0,12_5_0,8_8_1,19,0.6754885699862984
15973,0,8_8_1,11_4_0,16,0.6935169827648373
16077,0,11_4_0,3_10_1,33,0.7439965385447465
16184,0,3_10_1,9_3_0,34,0.7656306338789933
16252,0,9_3_0,4_6_1,21,0.8016874594360712
16302,0,4_6_1,6_3_0,15,0.8125045071031947
16352,0,6_3_0,3_6_1,15,0.8125045071031947
16474,0,3_6_1,10_3_0,39,0.7476022211004543
16533,0,10_3_0,6_6_1,18,0.7620249513232855
16595,0,6_6_1,9_3_0,19,0.7584192687675777
16657,0,9_3_0,4_7_1,19,0.7800533641018245
16737,0,4_7_1,9_3_0,25,0.769236316434701
16805,0,9_3_0,3_7_1,21,0.7944760943246556
16870,0,3_7_1,7_3_0,20,0.7944760943246556
16950,0,7_3_0,3_8_1,25,0.7944760943246556
16982,0,3_8_1,4_6_0,9,0.7836590466575323
17053,0,4_6_0,3_11_1,22,0.7259681257662075
17145,0,3_11_1,9_3_0,29,0.7728419989904088
17213,0,9_3_0,3_7_1,21,0.805293141991779
17278,0,3_7_1,7_3_0,20,0.8088988245474868
17358,0,7_3_0,3_8_1,25,0.7872647292132401
17393,0,3_8_1,5_6_0,10,0.7908704117689478
17509,0,5_6_0,3_13_1,37,0.6754885699862984
17610,0,3_13_1,10_4_0,32,0.7367851734333308
17684,0,10_4_0,3_7_1,23,0.7980817768803634
17749,0,3_7_1,7_3_0,20,0.8088988245474868
17829,0,7_3_0,3_8_1,25,0.7908704117689478
17867,0,3_8_1,5_6_0,11,0.7872647292132401
17905,0,5_6_0,3_8_1,11,0.7800533641018245
18003,0,3_8_1,9_3_0,31,0.769236316434701
18104,0,9_3_0,3_9_1,32,0.769236316434701
18214,0,3_9_1,9_3_0,35,0.769236316434701
18261,0,9_3_0,6_5_1,14,0.7800533641018245
18272,0,6_5_1,7_5_0,2,0.7584192687675777
18298,0,7_5_0,6_7_1,7,0.7439965385447465
18393,0,6_7_1,12_3_0,30,0.7043340304319607
18452,0,12_3_0,7_6_1,18,0.7295738083219153
18484,0,7_6_1,9_5_0,9,0.7295738083219153
18585,0,9_5_0,3_11_1,32,0.7151510780990842
18677,0,3_11_1,8_3_0,29,0.7764476815461167
18688,0,8_3_0,8_3_1,2,0.769236316434701
18714,0,8_3_1,10_2_0,7,0.7512079036561621
18782,0,10_2_0,5_6_1,21,0.7836590466575323
18808,0,5_6_1,6_6_0,7,0.7728419989904088
18915,0,6_6_0,2_13_1,34,0.7043340304319607
18995,0,2_13_1,7_5_0,25,0.7512079036561621
19039,0,7_5_0,5_7_1,13,0.7620249513232855
19059,0,5_7_1,6_7_0,5,0.7512079036561621
19073,0,6_7_0,6_7_1,3,0.7331794908776231
19108,0,6_7_1,8_6_0,10,0.7295738083219153
19218,0,8_6_0,3_12_1,35,0.6971226653205451
19295,0,3_12_1,8_6_0,24,0.7367851734333308
19405,0,8_6_0,3_12_1,35,0.7079397129876686
19473,0,3_12_1,7_6_0,21,0.7439965385447465
19496,0,7_6_0,6_7_1,6,0.7259681257662075
19591,0,6_7_1,12_3_0,30,0.6899113002091295
19683,0,12_3_0,3_8_1,29,0.7656306338789933
19751,0,3_8_1,7_3_0,21,0.8088988245474868
19873,0,7_3_0,3_10_1,39,0.7439965385447465
19944,0,3_10_1,8_4_0,22,0.769236316434701
19961,0,8_4_0,7_5_1,4,0.7548135862118699
20083,0,7_5_1,15_3_0,39,0.6394317444292204
20178,0,15_3_0,7_9_1,30,0.6863056176534217
20252,0,7_9_1,11_3_0,23,0.7295738083219153
20275,0,11_3_0,10_4_1,6,0.7259681257662075
20346,0,10_4_1,15_3_0,22,0.6430374269849282
20387,0,15_3_0,12_6_1,12,0.6394317444292204
20452,0,12_6_1,16_3_0,20,0.6069806014278503
20520,0,16_3_0,11_7_1,21,0.6358260618735126
20600,0,11_7_1,16_3_0,25,0.6322203793178048
20665,0,16_3_0,11_7_1,20,0.6574601572077594
20745,0,11_7_1,15_3_0,25,0.6358260618735126
20840,0,15_3_0,6_8_1,30,0.7115453955433764
20896,0,6_8_1,9_4_0,17,0.7403908559890386
21015,0,9_4_0,3_12_1,38,0.7115453955433764
21137,0,3_12_1,10_3_0,39,0.7476022211004543
21232,0,10_3_0,3_9_1,30,0.7764476815461167
21342,0,3_9_1,9_3_0,35,0.7656306338789933
21410,0,9_3_0,4_7_1,21,0.7908704117689478
21532,0,4_7_1,11_3_0,39,0.7223624432104998
21618,0,11_3_0,3_8_1,27,0.7764476815461167
21719,0,3_8_1,9_3_0,32,0.7800533641018245
21829,0,9_3_0,3_9_1,35,0.7620249513232855
21939,0,3_9_1,9_2_0,35,0.7656306338789933
21953,0,9_2_0,9_3_1,3,0.7476022211004543
21979,0,9_3_1,11_2_0,7,0.7331794908776231
22032,0,11_2_0,7_6_1,16,0.7367851734333308
22073,0,7_6_1,10_3_0,12,0.7367851734333308
22153,0,10_3_0,3_8_1,25,0.7800533641018245
22233,0,3_8_1,7_3_0,25,0.7980817768803634
22283,0,7_3_0,4_6_1,15,0.8088988245474868
22306,0,4_6_1,5_5_0,6,0.7944760943246556
22416,0,5_5_0,3_12_1,35,0.6971226653205451
22493,0,3_12_1,8_6_0,24,0.7331794908776231
22588,0,8_6_0,2_11_1,30,0.7331794908776231
22629,0,2_11_1,5_9_0,12,0.7295738083219153
22718,0,5_9_0,3_14_1,28,0.6430374269849282
22741,0,3_14_1,5_14_0,6,0.628614696762097
22815,0,5_14_0,3_18_1,23,0.5565010456479411
22826,0,3_18_1,4_18_0,2,0.5420783154251099
22918,0,4_18_0,3_22_1,29,0.4735703468666618
22974,0,3_22_1,6_15_0,17,0.5601067282036489
23024,0,6_15_0,3_16_1,15,0.5889521886493112
23041,0,3_16_1,5_16_0,4,0.5745294584264802
23073,0,5_16_0,3_18_1,9,0.5637124107593567
23084,0,3_18_1,4_18_0,2,0.5492896805365255
23122,0,4_18_0,3_21_1,11,0.5096271724237398
23181,0,3_21_1,6_14_0,18,0.5745294584264802
23249,0,6_14_0,3_16_1,21,0.5961635537607268
23278,0,3_16_1,5_15_0,8,0.5853465060936035
23370,0,5_15_0,3_21_1,29,0.5024158073123242
23429,0,3_21_1,6_14_0,18,0.5709237758707724
23524,0,6_14_0,3_19_1,30,0.5565010456479411
23622,0,3_19_1,9_8_0,31,0.6538544746520516
23726,0,9_8_0,3_14_1,33,0.6610658397634672
23749,0,3_14_1,4_13_0,6,0.6610658397634672
23796,0,4_13_0,3_16_1,14,0.6105862839835581
23918,0,3_16_1,11_5_0,39,0.7728419989904088
23959,0,11_5_0,8_7_1,12,0.7656306338789933
24024,0,8_7_1,13_3_0,20,0.7800533641018245
24101,0,13_3_0,6_7_1,24,0.7800533641018245
24115,0,6_7_1,7_7_0,3,0.7728419989904088
24126,0,7_7_0,7_8_1,2,0.7548135862118699
24242,0,7_8_1,14_3_0,37,0.769236316434701
24319,0,14_3_0,8_7_1,24,0.7620249513232855
24384,0,8_7_1,12_3_0,20,0.7908704117689478
24488,0,12_3_0,3_9_1,33,0.7728419989904088
24532,0,3_9_1,6_7_0,13,0.7836590466575323
24621,0,6_7_0,2_12_1,28,0.7223624432104998
24686,0,2_12_1,4_7_0,20,0.8016874594360712
24790,0,4_7_0,1_13_1,33,0.7223624432104998
24903,0,1_13_1,3_2_0,36,0.8990408884401817
