step,tl_id,reward_type,previous,current,max,reward
81,0,vehicle_cumulative_delay,0,57,120,0.525
176,0,vehicle_cumulative_delay,57,233,120,-0.9416666666666667
190,0,vehicle_cumulative_delay,233,39,120,0.675
258,0,vehicle_cumulative_delay,39,474,120,-2.95
272,0,vehicle_cumulative_delay,474,151,120,-0.2583333333333333
343,0,vehicle_cumulative_delay,151,723,120,-5.025
435,0,vehicle_cumulative_delay,723,142,120,-0.18333333333333335
464,0,vehicle_cumulative_delay,142,49,120,0.5916666666666667
520,0,vehicle_cumulative_delay,49,116,120,0.033333333333333326
534,0,vehicle_cumulative_delay,116,6,120,0.95
608,0,vehicle_cumulative_delay,6,301,120,-1.5083333333333333
652,0,vehicle_cumulative_delay,301,1,120,0.9916666666666667
714,0,vehicle_cumulative_delay,1,148,120,-0.2333333333333334
728,0,vehicle_cumulative_delay,148,11,120,0.9083333333333333
844,0,vehicle_cumulative_delay,11,646,120,-4.383333333333334
879,0,vehicle_cumulative_delay,646,61,120,0.4916666666666667
995,0,vehicle_cumulative_delay,61,160,120,-0.33333333333333326
1024,0,vehicle_cumulative_delay,160,62,120,0.4833333333333333
1140,0,vehicle_cumulative_delay,62,453,120,-2.775
1175,0,vehicle_cumulative_delay,453,83,120,0.30833333333333335
1291,0,vehicle_cumulative_delay,83,500,120,-3.166666666666667
1317,0,vehicle_cumulative_delay,500,60,120,0.5
1331,0,vehicle_cumulative_delay,60,35,120,0.7083333333333333
1399,0,vehicle_cumulative_delay,35,347,120,-1.8916666666666666
1413,0,vehicle_cumulative_delay,347,121,120,-0.008333333333333304
1520,0,vehicle_cumulative_delay,121,1161,120,-8.675
1603,0,vehicle_cumulative_delay,1161,190,120,-0.5833333333333333
1617,0,vehicle_cumulative_delay,190,18,120,0.85
1673,0,vehicle_cumulative_delay,18,217,120,-0.8083333333333333
1687,0,vehicle_cumulative_delay,217,14,120,0.8833333333333333
1749,0,vehicle_cumulative_delay,14,102,120,0.15000000000000002
1763,0,vehicle_cumulative_delay,102,33,120,0.725
1837,0,vehicle_cumulative_delay,33,401,120,-2.341666666666667
1917,0,vehicle_cumulative_delay,401,140,120,-0.16666666666666674
2033,0,vehicle_cumulative_delay,140,513,120,-3.2750000000000004
2089,0,vehicle_cumulative_delay,513,78,120,0.35
2205,0,vehicle_cumulative_delay,78,439,120,-2.658333333333333
2240,0,vehicle_cumulative_delay,439,24,120,0.8
2302,0,vehicle_cumulative_delay,24,168,120,-0.3999999999999999
2373,0,vehicle_cumulative_delay,168,324,120,-1.7000000000000002
2402,0,vehicle_cumulative_delay,324,53,120,0.5583333333333333
2416,0,vehicle_cumulative_delay,53,8,120,0.9333333333333333
2532,0,vehicle_cumulative_delay,8,453,120,-2.775
2606,0,vehicle_cumulative_delay,453,313,120,-1.6083333333333334
2620,0,vehicle_cumulative_delay,313,64,120,0.4666666666666667
2688,0,vehicle_cumulative_delay,64,626,120,-4.216666666666667
2702,0,vehicle_cumulative_delay,626,250,120,-1.0833333333333335
2770,0,vehicle_cumulative_delay,250,900,120,-6.5
2799,0,vehicle_cumulative_delay,900,91,120,0.2416666666666667
2834,0,vehicle_cumulative_delay,91,20,120,0.8333333333333334
2899,0,vehicle_cumulative_delay,20,271,120,-1.2583333333333333
2964,0,vehicle_cumulative_delay,271,262,120,-1.1833333333333331
3032,0,vehicle_cumulative_delay,262,192,120,-0.6000000000000001
3082,0,vehicle_cumulative_delay,192,87,120,0.275
3198,0,vehicle_cumulative_delay,87,695,120,-4.791666666666667
3281,0,vehicle_cumulative_delay,695,567,120,-3.7249999999999996
3310,0,vehicle_cumulative_delay,567,76,120,0.3666666666666667
3345,0,vehicle_cumulative_delay,76,119,120,0.008333333333333304
3374,0,vehicle_cumulative_delay,119,105,120,0.125
3388,0,vehicle_cumulative_delay,105,46,120,0.6166666666666667
3504,0,vehicle_cumulative_delay,46,774,120,-5.45
3530,0,vehicle_cumulative_delay,774,53,120,0.5583333333333333
3607,0,vehicle_cumulative_delay,53,395,120,-2.2916666666666665
3642,0,vehicle_cumulative_delay,395,27,120,0.775
3758,0,vehicle_cumulative_delay,27,862,120,-6.183333333333334
3874,0,vehicle_cumulative_delay,862,683,120,-4.691666666666666
3903,0,vehicle_cumulative_delay,683,62,120,0.4833333333333333
3920,0,vehicle_cumulative_delay,62,0,120,1.0
3976,0,vehicle_cumulative_delay,0,169,120,-0.40833333333333344
4098,0,vehicle_cumulative_delay,169,598,120,-3.9833333333333334
4214,0,vehicle_cumulative_delay,598,664,120,-4.533333333333333
4240,0,vehicle_cumulative_delay,664,103,120,0.14166666666666672
4356,0,vehicle_cumulative_delay,103,1079,120,-7.991666666666667
4427,0,vehicle_cumulative_delay,1079,337,120,-1.8083333333333331
4507,0,vehicle_cumulative_delay,337,237,120,-0.9750000000000001
4581,0,vehicle_cumulative_delay,237,287,120,-1.3916666666666666
4613,0,vehicle_cumulative_delay,287,60,120,0.5
4627,0,vehicle_cumulative_delay,60,22,120,0.8166666666666667
4707,0,vehicle_cumulative_delay,22,416,120,-2.466666666666667
4742,0,vehicle_cumulative_delay,416,69,120,0.42500000000000004
4831,0,vehicle_cumulative_delay,69,139,120,-0.15833333333333344
4902,0,vehicle_cumulative_delay,139,451,120,-2.7583333333333333
4994,0,vehicle_cumulative_delay,451,350,120,-1.9166666666666665
5029,0,vehicle_cumulative_delay,350,38,120,0.6833333333333333
5118,0,vehicle_cumulative_delay,38,398,120,-2.316666666666667
5189,0,vehicle_cumulative_delay,398,357,120,-1.975
5311,0,vehicle_cumulative_delay,357,1129,120,-8.408333333333333
5415,0,vehicle_cumulative_delay,1129,992,120,-7.2666666666666675
5468,0,vehicle_cumulative_delay,992,87,120,0.275
5503,0,vehicle_cumulative_delay,87,96,120,0.19999999999999996
5592,0,vehicle_cumulative_delay,96,281,120,-1.3416666666666668
5624,0,vehicle_cumulative_delay,281,65,120,0.45833333333333337
5725,0,vehicle_cumulative_delay,65,815,120,-5.791666666666667
5835,0,vehicle_cumulative_delay,815,914,120,-6.616666666666666
5867,0,vehicle_cumulative_delay,914,66,120,0.44999999999999996
5881,0,vehicle_cumulative_delay,66,37,120,0.6916666666666667
5970,0,vehicle_cumulative_delay,37,410,120,-2.4166666666666665
6002,0,vehicle_cumulative_delay,410,66,120,0.44999999999999996
6031,0,vehicle_cumulative_delay,66,69,120,0.42500000000000004
6066,0,vehicle_cumulative_delay,69,68,120,0.43333333333333335
6095,0,vehicle_cumulative_delay,68,53,120,0.5583333333333333
6136,0,vehicle_cumulative_delay,53,161,120,-0.34166666666666656
6225,0,vehicle_cumulative_delay,161,152,120,-0.2666666666666666
6296,0,vehicle_cumulative_delay,152,316,120,-1.6333333333333333
6310,0,vehicle_cumulative_delay,316,138,120,-0.1499999999999999
6429,0,vehicle_cumulative_delay,138,1894,120,-14.783333333333333
6488,0,vehicle_cumulative_delay,1894,95,120,0.20833333333333337
6517,0,vehicle_cumulative_delay,95,0,120,1.0
6579,0,vehicle_cumulative_delay,0,161,120,-0.34166666666666656
6593,0,vehicle_cumulative_delay,161,42,120,0.65
6682,0,vehicle_cumulative_delay,42,392,120,-2.2666666666666666
6717,0,vehicle_cumulative_delay,392,50,120,0.5833333333333333
6749,0,vehicle_cumulative_delay,50,23,120,0.8083333333333333
6871,0,vehicle_cumulative_delay,23,1379,120,-10.491666666666667
6963,0,vehicle_cumulative_delay,1379,426,120,-2.55
6992,0,vehicle_cumulative_delay,426,51,120,0.575
7012,0,vehicle_cumulative_delay,51,25,120,0.7916666666666666
7083,0,vehicle_cumulative_delay,25,572,120,-3.7666666666666666
7121,0,vehicle_cumulative_delay,572,97,120,0.19166666666666665
7192,0,vehicle_cumulative_delay,97,680,120,-4.666666666666667
7221,0,vehicle_cumulative_delay,680,52,120,0.5666666666666667
7277,0,vehicle_cumulative_delay,52,610,120,-4.083333333333333
7294,0,vehicle_cumulative_delay,610,353,120,-1.9416666666666669
7410,0,vehicle_cumulative_delay,353,3181,120,-25.508333333333333
7508,0,vehicle_cumulative_delay,3181,727,120,-5.058333333333334
7618,0,vehicle_cumulative_delay,727,1378,120,-10.483333333333333
7686,0,vehicle_cumulative_delay,1378,398,120,-2.316666666666667
7799,0,vehicle_cumulative_delay,398,1821,120,-14.175
7858,0,vehicle_cumulative_delay,1821,259,120,-1.1583333333333332
7932,0,vehicle_cumulative_delay,259,788,120,-5.566666666666666
7964,0,vehicle_cumulative_delay,788,122,120,-0.016666666666666607
8071,0,vehicle_cumulative_delay,122,1948,120,-15.233333333333334
8142,0,vehicle_cumulative_delay,1948,562,120,-3.6833333333333336
8189,0,vehicle_cumulative_delay,562,294,120,-1.4500000000000002
8251,0,vehicle_cumulative_delay,294,383,120,-2.191666666666667
8280,0,vehicle_cumulative_delay,383,35,120,0.7083333333333333
8360,0,vehicle_cumulative_delay,35,438,120,-2.65
8401,0,vehicle_cumulative_delay,438,272,120,-1.2666666666666666
8475,0,vehicle_cumulative_delay,272,628,120,-4.233333333333333
8504,0,vehicle_cumulative_delay,628,149,120,-0.2416666666666667
8527,0,vehicle_cumulative_delay,149,53,120,0.5583333333333333
8541,0,vehicle_cumulative_delay,53,58,120,0.5166666666666666
8630,0,vehicle_cumulative_delay,58,559,120,-3.658333333333333
8704,0,vehicle_cumulative_delay,559,896,120,-6.466666666666667
8742,0,vehicle_cumulative_delay,896,102,120,0.15000000000000002
8813,0,vehicle_cumulative_delay,102,710,120,-4.916666666666667
8857,0,vehicle_cumulative_delay,710,84,120,0.30000000000000004
8928,0,vehicle_cumulative_delay,84,673,120,-4.608333333333333
8972,0,vehicle_cumulative_delay,673,185,120,-0.5416666666666667
9043,0,vehicle_cumulative_delay,185,523,120,-3.3583333333333334
9123,0,vehicle_cumulative_delay,523,583,120,-3.8583333333333334
9152,0,vehicle_cumulative_delay,583,75,120,0.375
9181,0,vehicle_cumulative_delay,75,71,120,0.4083333333333333
9252,0,vehicle_cumulative_delay,71,576,120,-3.8
9338,0,vehicle_cumulative_delay,576,628,120,-4.233333333333333
9412,0,vehicle_cumulative_delay,628,842,120,-6.016666666666667
9471,0,vehicle_cumulative_delay,842,368,120,-2.066666666666667
9581,0,vehicle_cumulative_delay,368,2069,120,-16.241666666666667
9640,0,vehicle_cumulative_delay,2069,209,120,-0.7416666666666667
9756,0,vehicle_cumulative_delay,209,1900,120,-14.833333333333334
9806,0,vehicle_cumulative_delay,1900,479,120,-2.9916666666666667
9832,0,vehicle_cumulative_delay,479,562,120,-3.6833333333333336
9948,0,vehicle_cumulative_delay,562,2212,120,-17.433333333333334
10007,0,vehicle_cumulative_delay,2212,441,120,-2.675
10024,0,vehicle_cumulative_delay,441,266,120,-1.2166666666666668
10053,0,vehicle_cumulative_delay,266,658,120,-4.483333333333333
10157,0,vehicle_cumulative_delay,658,1194,120,-8.95
10246,0,vehicle_cumulative_delay,1194,1346,120,-10.216666666666667
10335,0,vehicle_cumulative_delay,1346,700,120,-4.833333333333333
10421,0,vehicle_cumulative_delay,700,880,120,-6.333333333333333
10474,0,vehicle_cumulative_delay,880,192,120,-0.6000000000000001
10515,0,vehicle_cumulative_delay,192,323,120,-1.6916666666666669
10532,0,vehicle_cumulative_delay,323,173,120,-0.44166666666666665
10651,0,vehicle_cumulative_delay,173,4128,120,-33.4
10674,0,vehicle_cumulative_delay,4128,3653,120,-29.441666666666666
10778,0,vehicle_cumulative_delay,3653,10497,120,-86.475
10891,0,vehicle_cumulative_delay,10497,1855,120,-14.458333333333334
11001,0,vehicle_cumulative_delay,1855,3485,120,-28.041666666666668
11090,0,vehicle_cumulative_delay,3485,1049,120,-7.741666666666667
11176,0,vehicle_cumulative_delay,1049,759,120,-5.325
11202,0,vehicle_cumulative_delay,759,352,120,-1.9333333333333331
11291,0,vehicle_cumulative_delay,352,3098,120,-24.816666666666666
11335,0,vehicle_cumulative_delay,3098,1483,120,-11.358333333333333
11415,0,vehicle_cumulative_delay,1483,4527,120,-36.725
11498,0,vehicle_cumulative_delay,4527,689,120,-4.741666666666666
11608,0,vehicle_cumulative_delay,689,3374,120,-27.116666666666667
11619,0,vehicle_cumulative_delay,3374,3397,120,-27.308333333333334
11651,0,vehicle_cumulative_delay,3397,5035,120,-40.958333333333336
11770,0,vehicle_cumulative_delay,5035,1439,120,-10.991666666666667
11829,0,vehicle_cumulative_delay,1439,579,120,-3.825
11897,0,vehicle_cumulative_delay,579,605,120,-4.041666666666667
11980,0,vehicle_cumulative_delay,605,1237,120,-9.308333333333334
12009,0,vehicle_cumulative_delay,1237,685,120,-4.708333333333333
12056,0,vehicle_cumulative_delay,685,1981,120,-15.508333333333333
12172,0,vehicle_cumulative_delay,1981,1401,120,-10.675
12279,0,vehicle_cumulative_delay,1401,1890,120,-14.75
12332,0,vehicle_cumulative_delay,1890,468,120,-2.9
12364,0,vehicle_cumulative_delay,468,719,120,-4.991666666666666
12483,0,vehicle_cumulative_delay,719,2842,120,-22.683333333333334
12554,0,vehicle_cumulative_delay,2842,793,120,-5.608333333333333
12667,0,vehicle_cumulative_delay,793,2658,120,-21.15
12702,0,vehicle_cumulative_delay,2658,1489,120,-11.408333333333333
12716,0,vehicle_cumulative_delay,1489,1628,120,-12.566666666666666
12835,0,vehicle_cumulative_delay,1628,3963,120,-32.025
12882,0,vehicle_cumulative_delay,3963,2057,120,-16.141666666666666
12938,0,vehicle_cumulative_delay,2057,3908,120,-31.56666666666667
12961,0,vehicle_cumulative_delay,3908,3647,120,-29.391666666666666
13077,0,vehicle_cumulative_delay,3647,12233,120,-100.94166666666666
13109,0,vehicle_cumulative_delay,12233,10911,120,-89.925
13174,0,vehicle_cumulative_delay,10911,16548,120,-136.9
13278,0,vehicle_cumulative_delay,16548,5054,120,-41.11666666666667
13310,0,vehicle_cumulative_delay,5054,5002,120,-40.68333333333333
13372,0,vehicle_cumulative_delay,5002,3642,120,-29.35
13482,0,vehicle_cumulative_delay,3642,3502,120,-28.183333333333334
13532,0,vehicle_cumulative_delay,3502,1313,120,-9.941666666666666
13606,0,vehicle_cumulative_delay,1313,3970,120,-32.083333333333336
13620,0,vehicle_cumulative_delay,3970,3997,120,-32.30833333333333
13667,0,vehicle_cumulative_delay,3997,6816,120,-55.8
13729,0,vehicle_cumulative_delay,6816,3204,120,-25.7
13797,0,vehicle_cumulative_delay,3204,5781,120,-47.175
13883,0,vehicle_cumulative_delay,5781,1618,120,-12.483333333333333
13975,0,vehicle_cumulative_delay,1618,3297,120,-26.475
14097,0,vehicle_cumulative_delay,3297,2742,120,-21.85
14150,0,vehicle_cumulative_delay,2742,921,120,-6.675
14167,0,vehicle_cumulative_delay,921,1016,120,-7.466666666666667
14274,0,vehicle_cumulative_delay,1016,4122,120,-33.35
14357,0,vehicle_cumulative_delay,4122,1132,120,-8.433333333333334
14467,0,vehicle_cumulative_delay,1132,3755,120,-30.291666666666668
14550,0,vehicle_cumulative_delay,3755,1109,120,-8.241666666666667
14648,0,vehicle_cumulative_delay,1109,2327,120,-18.391666666666666
14701,0,vehicle_cumulative_delay,2327,702,120,-4.85
14781,0,vehicle_cumulative_delay,702,2704,120,-21.533333333333335
14903,0,vehicle_cumulative_delay,2704,2698,120,-21.483333333333334
15025,0,vehicle_cumulative_delay,2698,2676,120,-21.3
15141,0,vehicle_cumulative_delay,2676,2218,120,-17.483333333333334
15173,0,vehicle_cumulative_delay,2218,1347,120,-10.225
15238,0,vehicle_cumulative_delay,1347,3889,120,-31.40833333333333
15255,0,vehicle_cumulative_delay,3889,3857,120,-31.141666666666666
15371,0,vehicle_cumulative_delay,3857,13011,120,-107.425
15400,0,vehicle_cumulative_delay,13011,11877,120,-97.975
15501,0,vehicle_cumulative_delay,11877,22240,120,-184.33333333333334
15515,0,vehicle_cumulative_delay,22240,22163,120,-183.69166666666666
15535,0,vehicle_cumulative_delay,22163,24479,120,-202.99166666666667
15561,0,vehicle_cumulative_delay,24479,22129,120,-183.40833333333333
15590,0,vehicle_cumulative_delay,22129,24416,120,-202.46666666666667
15670,0,vehicle_cumulative_delay,24416,9284,120,-76.36666666666666
15792,0,vehicle_cumulative_delay,9284,15921,120,-131.675
15860,0,vehicle_cumulative_delay,15921,5368,120,-43.733333333333334
15931,0,vehicle_cumulative_delay,5368,8799,120,-72.325
16017,0,vehicle_cumulative_delay,8799,2672,120,-21.266666666666666
16106,0,vehicle_cumulative_delay,2672,5361,120,-43.675
16153,0,vehicle_cumulative_delay,5361,2868,120,-22.9
16182,0,vehicle_cumulative_delay,2868,3334,120,-26.783333333333335
16217,0,vehicle_cumulative_delay,3334,2447,120,-19.391666666666666
16330,0,vehicle_cumulative_delay,2447,8825,120,-72.54166666666667
16350,0,vehicle_cumulative_delay,8825,8623,120,-70.85833333333333
16382,0,vehicle_cumulative_delay,8623,11178,120,-92.15
16471,0,vehicle_cumulative_delay,11178,4219,120,-34.15833333333333
16536,0,vehicle_cumulative_delay,4219,5812,120,-47.43333333333333
16652,0,vehicle_cumulative_delay,5812,2730,120,-21.75
16768,0,vehicle_cumulative_delay,2730,2279,120,-17.991666666666667
16800,0,vehicle_cumulative_delay,2279,1322,120,-10.016666666666667
16901,0,vehicle_cumulative_delay,1322,6350,120,-51.916666666666664
16990,0,vehicle_cumulative_delay,6350,1908,120,-14.9
17109,0,vehicle_cumulative_delay,1908,5625,120,-45.875
17171,0,vehicle_cumulative_delay,5625,2124,120,-16.7
17221,0,vehicle_cumulative_delay,2124,3311,120,-26.591666666666665
17328,0,vehicle_cumulative_delay,3311,2388,120,-18.9
17360,0,vehicle_cumulative_delay,2388,1523,120,-11.691666666666666
17401,0,vehicle_cumulative_delay,1523,2726,120,-21.716666666666665
17472,0,vehicle_cumulative_delay,2726,943,120,-6.858333333333333
17537,0,vehicle_cumulative_delay,943,1656,120,-12.8
17587,0,vehicle_cumulative_delay,1656,672,120,-4.6
17598,0,vehicle_cumulative_delay,672,787,120,-5.558333333333334
17681,0,vehicle_cumulative_delay,787,3375,120,-27.125
17734,0,vehicle_cumulative_delay,3375,1254,120,-9.45
17838,0,vehicle_cumulative_delay,1254,5396,120,-43.96666666666667
17900,0,vehicle_cumulative_delay,5396,2050,120,-16.083333333333332
17950,0,vehicle_cumulative_delay,2050,3310,120,-26.583333333333332
18003,0,vehicle_cumulative_delay,3310,1478,120,-11.316666666666666
18107,0,vehicle_cumulative_delay,1478,5379,120,-43.825
18193,0,vehicle_cumulative_delay,5379,1411,120,-10.758333333333333
18255,0,vehicle_cumulative_delay,1411,1925,120,-15.041666666666668
18320,0,vehicle_cumulative_delay,1925,952,120,-6.933333333333334
18433,0,vehicle_cumulative_delay,952,3181,120,-25.508333333333333
18492,0,vehicle_cumulative_delay,3181,951,120,-6.925
18518,0,vehicle_cumulative_delay,951,1071,120,-7.925000000000001
18613,0,vehicle_cumulative_delay,1071,3310,120,-26.583333333333332
18711,0,vehicle_cumulative_delay,3310,1789,120,-13.908333333333333
18827,0,vehicle_cumulative_delay,1789,2350,120,-18.583333333333332
18862,0,vehicle_cumulative_delay,2350,1284,120,-9.7
