step,tl_id,previous_state,current_state,action,reward
138,0,1_1_1,2_1_0,36,0.945914761664383
242,0,2_1_0,1_3_1,33,0.9387033965529674
328,0,1_3_1,2_2_0,27,0.945914761664383
432,0,2_2_0,0_4_1,33,0.9326939256267878
506,0,0_4_1,2_1_0,23,0.9603374918872143
610,0,2_1_0,1_2_1,33,0.9495204442200909
642,0,1_2_1,1_1_0,9,0.9675488569986298
722,0,1_1_0,1_3_1,25,0.9387033965529674
808,0,1_3_1,3_1_0,27,0.9531261267757987
903,0,3_1_0,0_3_1,30,0.9495204442200909
992,0,0_3_1,1_1_0,28,0.9675488569986298
1009,0,1_1_0,1_2_1,4,0.9711545395543376
1071,0,1_2_1,1_1_0,19,0.963943174442922
1088,0,1_1_0,1_2_1,4,0.9747602221100454
1150,0,1_2_1,2_1_0,19,0.9567318093315065
1254,0,2_1_0,1_3_1,33,0.9495204442200909
1340,0,1_3_1,2_1_0,27,0.9603374918872143
1444,0,2_1_0,1_4_1,33,0.9314920314415519
1485,0,1_4_1,1_1_0,12,0.9711545395543376
1502,0,1_1_0,1_1_1,4,0.9675488569986298
1615,0,1_1_1,3_1_0,36,0.9417543587154894
1710,0,3_1_0,2_2_1,30,0.9495204442200909
1733,0,2_2_1,2_2_0,6,0.9567318093315065
1837,0,2_2_0,2_3_1,33,0.9387033965529674
1938,0,2_3_1,4_1_0,32,0.9206749837744285
1964,0,4_1_0,2_1_1,7,0.963943174442922
2062,0,2_1_1,3_1_0,31,0.9495204442200909
2157,0,3_1_0,1_2_1,30,0.9567318093315065
2219,0,1_2_1,2_1_0,19,0.9603374918872143
2323,0,2_1_0,1_4_1,33,0.9301052304585873
2364,0,1_4_1,2_1_0,12,0.9603374918872143
2468,0,2_1_0,1_3_1,33,0.9278863488858441
2554,0,1_3_1,2_1_0,27,0.9531261267757987
2574,0,2_1_0,1_2_1,5,0.9675488569986298
2609,0,1_2_1,1_1_0,10,0.9711545395543376
2671,0,1_1_0,1_2_1,19,0.9531261267757987
2733,0,1_2_1,2_1_0,19,0.9423090791086752
2837,0,2_1_0,1_3_1,33,0.945914761664383
2923,0,1_3_1,2_2_0,27,0.945914761664383
3027,0,2_2_0,1_3_1,33,0.9378713159631887
3113,0,1_3_1,2_1_0,27,0.9495204442200909
3217,0,2_1_0,1_3_1,33,0.9314920314415519
3303,0,1_3_1,3_2_0,27,0.9242806663301363
3395,0,3_2_0,1_4_1,29,0.9350977139972597
3436,0,1_4_1,2_1_0,12,0.963943174442922
3540,0,2_1_0,1_4_1,33,0.9301052304585873
3581,0,1_4_1,3_1_0,12,0.9567318093315065
3676,0,3_1_0,2_3_1,30,0.9278863488858441
3777,0,2_3_1,4_1_0,32,0.9206749837744285
3803,0,4_1_0,1_1_1,7,0.9603374918872143
3820,0,1_1_1,2_1_0,4,0.9603374918872143
3870,0,2_1_0,2_2_1,15,0.9423090791086752
3929,0,2_2_1,3_1_0,18,0.9495204442200909
4042,0,3_1_0,2_3_1,36,0.9314920314415519
4143,0,2_3_1,4_1_0,32,0.9206749837744285
4190,0,4_1_0,1_3_1,14,0.9350977139972597
4276,0,1_3_1,3_2_0,27,0.9170693012187207
4368,0,3_2_0,1_3_1,29,0.9301052304585873
4454,0,1_3_1,3_1_0,27,0.9534034869723915
4549,0,3_1_0,1_4_1,30,0.9278863488858441
4590,0,1_4_1,1_2_0,12,0.9603374918872143
4619,0,1_2_0,2_2_1,8,0.9531261267757987
4738,0,2_2_1,3_1_0,38,0.9184561022016853
4833,0,3_1_0,1_5_1,30,0.9026465709958895
4910,0,1_5_1,3_1_0,24,0.9387033965529674
5005,0,3_1_0,1_4_1,30,0.9106900166970838
5046,0,1_4_1,2_2_0,12,0.9495204442200909
5129,0,2_2_0,1_4_1,26,0.9170693012187207
5170,0,1_4_1,3_1_0,12,0.9495204442200909
5208,0,3_1_0,2_2_1,11,0.9423090791086752
5291,0,2_2_1,4_2_0,26,0.9098579361073051
5407,0,4_2_0,1_5_1,37,0.8954352058844739
5484,0,1_5_1,3_1_0,24,0.9278863488858441
5531,0,3_1_0,2_2_1,14,0.9531261267757987
5602,0,2_2_1,4_2_0,22,0.9098579361073051
5652,0,4_2_0,1_3_1,15,0.9314920314415519
5738,0,1_3_1,3_2_0,27,0.9170693012187207
5830,0,3_2_0,1_4_1,29,0.9206749837744285
5871,0,1_4_1,2_1_0,12,0.9423090791086752
5975,0,2_1_0,2_5_1,33,0.8990408884401817
6037,0,2_5_1,3_1_0,19,0.9314920314415519
6132,0,3_1_0,0_3_1,30,0.928487295978462
6221,0,0_3_1,2_2_0,28,0.9423090791086752
6325,0,2_2_0,0_5_1,33,0.9158674070334848
6426,0,0_5_1,1_2_0,32,0.963943174442922
6455,0,1_2_0,1_2_1,8,0.9675488569986298
6493,0,1_2_1,1_1_0,11,0.9805847862384964
6510,0,1_1_0,1_1_1,4,0.9767017434861958
6560,0,1_1_1,2_2_0,15,0.9603374918872143
6664,0,2_2_0,1_3_1,33,0.9301052304585873
6750,0,1_3_1,3_2_0,27,0.9278863488858441
6842,0,3_2_0,1_4_1,29,0.9026465709958895
6889,0,1_4_1,2_2_0,14,0.945914761664383
6993,0,2_2_0,1_5_1,33,0.913463618663013
7064,0,1_5_1,3_2_0,22,0.9170693012187207
7156,0,3_2_0,1_6_1,29,0.8796256746786781
7194,0,1_6_1,1_3_0,11,0.9314920314415519
7256,0,1_3_0,2_5_1,19,0.8810124756616428
7318,0,2_5_1,3_2_0,19,0.9170693012187207
7410,0,3_2_0,2_5_1,29,0.8810124756616428
7472,0,2_5_1,3_2_0,19,0.913463618663013
7486,0,3_2_0,3_3_1,3,0.9170693012187207
7566,0,3_3_1,5_2_0,25,0.8990408884401817
7598,0,5_2_0,3_2_1,9,0.9206749837744285
7699,0,3_2_1,6_3_0,32,0.859378380327396
7749,0,6_3_0,1_5_1,15,0.913463618663013
7826,0,1_5_1,3_2_0,24,0.9278863488858441
7882,0,3_2_0,2_4_1,17,0.8846181582173506
7953,0,2_4_1,4_2_0,22,0.9062522535515973
8003,0,4_2_0,1_5_1,15,0.9029239311924824
8080,0,1_5_1,4_3_0,24,0.8990408884401817
8106,0,4_3_0,2_4_1,7,0.9098579361073051
8171,0,2_4_1,4_1_0,20,0.9242806663301363
8242,0,4_1_0,2_4_1,22,0.9062522535515973
8349,0,2_4_1,5_3_0,34,0.8846181582173506
8369,0,5_3_0,4_3_1,5,0.8918295233287661
8401,0,4_3_1,5_2_0,9,0.8990408884401817
8433,0,5_2_0,2_3_1,9,0.9170693012187207
8543,0,2_3_1,4_1_0,35,0.9062522535515973
8569,0,4_1_0,3_3_1,7,0.913463618663013
8634,0,3_3_1,4_2_0,20,0.8954352058844739
8681,0,4_2_0,2_4_1,14,0.9062522535515973
8746,0,2_4_1,3_2_0,20,0.9242806663301363
8838,0,3_2_0,1_7_1,29,0.8602104609171747
8885,0,1_7_1,3_3_0,14,0.9062522535515973
8923,0,3_3_0,1_5_1,11,0.9098579361073051
8997,0,1_5_1,4_2_0,23,0.9170693012187207
9062,0,4_2_0,2_6_1,20,0.8918295233287661
9151,0,2_6_1,4_2_0,28,0.9170693012187207
9201,0,4_2_0,2_4_1,15,0.9170693012187207
9266,0,2_4_1,4_2_0,20,0.9098579361073051
9316,0,4_2_0,1_4_1,15,0.913463618663013
9357,0,1_4_1,2_3_0,12,0.9206749837744285
9455,0,2_3_0,2_9_1,31,0.8269272373260258
9484,0,2_9_1,2_8_0,8,0.8341386024374414
9537,0,2_8_0,3_10_1,16,0.8016874594360712
9635,0,3_10_1,6_2_0,31,0.8738011105502271
9679,0,6_2_0,1_4_1,13,0.913463618663013
9720,0,1_4_1,3_3_0,12,0.9026465709958895
9833,0,3_3_0,2_10_1,36,0.7800533641018245
9943,0,2_10_1,7_2_0,35,0.8521670152159804
9966,0,7_2_0,6_3_1,6,0.8629840628831038
9983,0,6_3_1,6_3_0,4,0.859378380327396
10033,0,6_3_0,2_5_1,15,0.877406793105935
10095,0,2_5_1,4_3_0,19,0.8629840628831038
10121,0,4_3_0,3_4_1,7,0.8665897454388116
10180,0,3_4_1,6_3_0,18,0.8413499675488569
10230,0,6_3_0,2_6_1,15,0.859378380327396
10319,0,2_6_1,6_2_0,28,0.8557726977716882
10363,0,6_2_0,3_4_1,13,0.8701954279945193
10470,0,3_4_1,7_3_0,34,0.8341386024374414
10586,0,7_3_0,2_10_1,37,0.7800533641018245
10696,0,2_10_1,6_3_0,35,0.8377442849931491
10746,0,6_3_0,3_5_1,15,0.8521670152159804
10778,0,3_5_1,4_4_0,9,0.8485613326602726
10846,0,4_4_0,3_8_1,21,0.8016874594360712
10869,0,3_8_1,4_7_0,6,0.7872647292132401
10913,0,4_7_0,3_10_1,13,0.7548135862118699
11011,0,3_10_1,7_3_0,31,0.8305329198817336
11046,0,7_3_0,4_4_1,10,0.8665897454388116
11078,0,4_4_1,5_2_0,9,0.877406793105935
11185,0,5_2_0,2_8_1,34,0.7980817768803634
11232,0,2_8_1,3_5_0,14,0.8521670152159804
11342,0,3_5_0,3_11_1,35,0.7439965385447465
11359,0,3_11_1,4_11_0,4,0.7367851734333308
11388,0,4_11_0,2_13_1,8,0.7151510780990842
11495,0,2_13_1,7_3_0,34,0.823321554770318
11530,0,7_3_0,4_5_1,10,0.8377442849931491
11640,0,4_5_1,7_3_0,35,0.7980817768803634
11738,0,7_3_0,3_9_1,31,0.769236316434701
11824,0,3_9_1,7_3_0,27,0.8449556501045647
11859,0,7_3_0,4_5_1,10,0.8629840628831038
11969,0,4_5_1,9_3_0,35,0.7800533641018245
12049,0,9_3_0,2_8_1,25,0.8161101896589025
12141,0,2_8_1,5_3_0,29,0.8485613326602726
12161,0,5_3_0,4_4_1,5,0.8413499675488569
12211,0,4_4_1,7_3_0,15,0.7980817768803634
12246,0,7_3_0,5_5_1,10,0.8161101896589025
12305,0,5_5_1,9_3_0,18,0.7980817768803634
12385,0,9_3_0,2_8_1,25,0.805293141991779
12477,0,2_8_1,7_3_0,29,0.8016874594360712
12512,0,7_3_0,6_5_1,10,0.8088988245474868
12526,0,6_5_1,7_5_0,3,0.7908704117689478
12546,0,7_5_0,6_6_1,5,0.769236316434701
12560,0,6_6_1,7_6_0,3,0.7620249513232855
12634,0,7_6_0,3_11_1,23,0.7295738083219153
12654,0,3_11_1,4_10_0,5,0.7115453955433764
12734,0,4_10_0,3_15_1,25,0.6250090142063892
12802,0,3_15_1,7_10_0,21,0.6538544746520516
12915,0,7_10_0,3_16_1,36,0.6105862839835581
13028,0,3_16_1,9_5_0,36,0.7043340304319607
13081,0,9_5_0,6_8_1,16,0.7223624432104998
13137,0,6_8_1,8_4_0,17,0.7512079036561621
13259,0,8_4_0,2_11_1,39,0.718756760654792
13312,0,2_11_1,6_8_0,16,0.7295738083219153
13428,0,6_8_0,3_15_1,37,0.6394317444292204
13535,0,3_15_1,9_5_0,34,0.7115453955433764
13573,0,9_5_0,8_6_1,11,0.7151510780990842
13590,0,8_6_1,9_6_0,4,0.7007283478762529
13694,0,9_6_0,3_13_1,33,0.6863056176534217
13807,0,3_13_1,10_2_0,36,0.7584192687675777
13845,0,10_2_0,8_4_1,11,0.7656306338789933
13958,0,8_4_1,15_3_0,36,0.6394317444292204
14017,0,15_3_0,11_7_1,18,0.6538544746520516
14115,0,11_7_1,16_3_0,31,0.628614696762097
14198,0,16_3_0,9_8_1,26,0.6754885699862984
14299,0,9_8_1,14_3_0,32,0.6610658397634672
14394,0,14_3_0,5_9_1,30,0.7295738083219153
14417,0,5_9_1,6_8_0,6,0.7151510780990842
14434,0,6_8_0,6_10_1,4,0.6935169827648373
14502,0,6_10_1,10_4_0,21,0.7331794908776231
14591,0,10_4_0,3_9_1,28,0.769236316434701
14677,0,3_9_1,8_3_0,27,0.7836590466575323
14754,0,8_3_0,3_8_1,24,0.7836590466575323
14777,0,3_8_1,5_7_0,6,0.7764476815461167
14818,0,5_7_0,2_9_1,12,0.7656306338789933
14880,0,2_9_1,6_5_0,19,0.7908704117689478
14975,0,6_5_0,3_10_1,30,0.7512079036561621
15073,0,3_10_1,8_3_0,31,0.7800533641018245
15150,0,8_3_0,3_7_1,24,0.8088988245474868
15263,0,3_7_1,9_3_0,36,0.7548135862118699
15343,0,9_3_0,3_8_1,25,0.7908704117689478
15381,0,3_8_1,5_6_0,11,0.7944760943246556
15443,0,5_6_0,3_10_1,19,0.7439965385447465
