step,tl_id,new_state
21,0,1
107,0,2
181,0,3
201,0,0
266,0,1
304,0,2
318,0,3
413,0,0
490,0,1
564,0,2
635,0,3
730,0,0
756,0,1
839,0,2
958,0,3
1035,0,0
1088,0,1
1171,0,2
1185,0,3
1235,0,0
1354,0,1
1455,0,2
1502,0,3
1549,0,0
1620,0,1
1694,0,2
1726,0,3
1821,0,0
1916,0,1
2029,0,2
2040,0,3
2162,0,0
2248,0,1
2319,0,2
2381,0,3
2467,0,0
2556,0,1
2579,0,2
2647,0,3
2727,0,0
2822,0,1
2938,0,2
3039,0,3
3125,0,0
3163,0,1
3243,0,2
3359,0,3
3460,0,0
3570,0,1
3680,0,2
3802,0,3
3894,0,0
3950,0,1
3967,0,2
4053,0,3
4070,0,0
4105,0,1
4155,0,2
4247,0,3
4360,0,0
4455,0,1
4496,0,2
4510,0,3
4521,0,0
4544,0,1
4639,0,2
4671,0,3
4697,0,0
4786,0,1
4830,0,2
4862,0,3
4873,0,0
4959,0,1
4985,0,2
5047,0,3
5067,0,0
5090,0,1
5200,0,2
5235,0,3
5324,0,0
5350,0,1
5460,0,2
5504,0,3
5611,0,0
5727,0,1
5771,0,2
5881,0,3
5988,0,0
6062,0,1
6151,0,2
6204,0,3
6266,0,0
6301,0,1
6390,0,2
6485,0,3
6529,0,0
6627,0,1
6695,0,2
6805,0,3
6825,0,0
6938,0,1
7039,0,2
7149,0,3
7268,0,0
7315,0,1
7374,0,2
7463,0,3
7561,0,0
7617,0,1
7730,0,2
7741,0,3
7758,0,0
7853,0,1
7972,0,2
8022,0,3
8060,0,0
8146,0,1
8184,0,2
8267,0,3
8371,0,0
8451,0,1
8570,0,2
8647,0,3
8745,0,0
8822,0,1
8836,0,2
8850,0,3
8939,0,0
8971,0,1
9027,0,2
9074,0,3
9166,0,0
9243,0,1
9278,0,2
9340,0,3
9405,0,0
9425,0,1
9547,0,2
9645,0,3
9662,0,0
9775,0,1
9828,0,2
9926,0,3
10039,0,0
10134,0,1
10235,0,2
10246,0,3
10284,0,0
10325,0,1
10438,0,2
10458,0,3
10523,0,0
10609,0,1
10671,0,2
10748,0,3
10819,0,0
10938,0,1
11000,0,2
11080,0,3
11190,0,0
11222,0,1
11317,0,2
11328,0,3
11438,0,0
11548,0,1
11655,0,2
11684,0,3
11800,0,0
11862,0,1
11969,0,2
12067,0,3
12159,0,0
12269,0,1
12295,0,2
12375,0,3
12440,0,0
12550,0,1
12603,0,2
12635,0,3
12745,0,0
12861,0,1
12971,0,2
13015,0,3
13134,0,0
13199,0,1
13297,0,2
13413,0,3
13490,0,0
13612,0,1
13632,0,2
13652,0,3
13693,0,0
13788,0,1
13880,0,2
13951,0,3
13992,0,0
14081,0,1
14191,0,2
14241,0,3
14312,0,0
14416,0,1
14445,0,2
14510,0,3
14620,0,0
14703,0,1
14813,0,2
14824,0,3
14928,0,0
15041,0,1
15121,0,2
15150,0,3
15263,0,0
15367,0,1
15474,0,2
15584,0,3
15673,0,0
15780,0,1
15869,0,2
15991,0,3
16032,0,0
16100,0,1
16210,0,2
16242,0,3
16340,0,0
16372,0,1
16386,0,2
16454,0,3
16498,0,0
16569,0,1
16658,0,2
16699,0,3
16785,0,0
16847,0,1
16945,0,2
17034,0,3
17078,0,0
17194,0,1
17316,0,2
17420,0,3
17521,0,0
17562,0,1
17666,0,2
17788,0,3
17835,0,0
17873,0,1
17995,0,2
18030,0,3
18071,0,0
18172,0,1
18261,0,2
18353,0,3
18424,0,0
18531,0,1
18608,0,2
18682,0,3
18717,0,0
18815,0,1
18874,0,2
18978,0,3
19037,0,0
19153,0,1
19242,0,2
19289,0,3
19399,0,0
19437,0,1
19472,0,2
19537,0,3
19644,0,0
19670,0,1
19711,0,2
19773,0,3
19874,0,0
19933,0,1
20013,0,2
20087,0,3
20191,0,0
20298,0,1
20417,0,2
20446,0,3
20553,0,0
20636,0,1
20695,0,2
20706,0,3
20744,0,0
20767,0,1
20856,0,2
20876,0,3
20968,0,0
20991,0,1
21098,0,2
21211,0,3
21315,0,0
21386,0,1
21439,0,2
21504,0,3
21521,0,0
21610,0,1
21711,0,2
21794,0,3
21811,0,0
21918,0,1
21941,0,2
21997,0,3
22086,0,0
22133,0,1
22150,0,2
