step,tl_id,start_at_step,stage,stage_time,time_beyond_queue_clearance,residual_queue
21,0,-1,0,22,21,0
143,0,25,1,118,117,0
262,0,147,2,115,114,0
345,0,266,3,79,65,0
398,0,349,0,49,25,0
442,0,402,1,40,25,0
492,0,446,2,46,35,0
590,0,496,3,94,84,0
610,0,594,0,16,0,2
699,0,614,1,85,76,0
752,0,703,2,49,38,0
868,0,756,3,112,100,0
885,0,872,0,13,0,4
941,0,889,1,52,39,0
955,0,945,2,10,0,1
969,0,959,3,10,3,0
989,0,973,0,16,2,0
1057,0,993,1,64,63,0
1125,0,1061,2,64,55,0
1145,0,1129,3,16,4,0
1228,0,1149,0,79,69,0
1245,0,1232,1,13,4,0
1367,0,1249,2,118,109,0
1396,0,1371,3,25,18,0
1419,0,1400,0,19,7,0
1502,0,1423,1,79,61,0
1549,0,1506,2,43,31,0
1605,0,1553,3,52,39,0
1718,0,1609,0,109,92,0
1804,0,1722,1,82,67,0
1860,0,1808,2,52,45,0
1874,0,1864,3,10,0,4
1912,0,1878,0,34,27,0
2031,0,1916,1,115,106,0
2096,0,2035,2,61,47,0
2215,0,2100,3,115,95,0
2307,0,2219,0,88,67,0
2411,0,2311,1,100,75,0
2437,0,2415,2,22,0,1
2478,0,2441,3,37,22,0
2510,0,2482,0,28,11,0
2593,0,2514,1,79,72,0
2685,0,2597,2,88,75,0
2696,0,2689,3,7,0,2
2776,0,2700,0,76,67,0
2796,0,2780,1,16,0,2
2840,0,2800,2,40,36,0
2857,0,2844,3,13,0,1
2937,0,2861,0,76,64,0
3020,0,2941,1,79,67,0
3109,0,3024,2,85,73,0
3192,0,3113,3,79,52,0
3275,0,3196,0,79,63,0
3295,0,3279,1,16,0,2
3348,0,3299,2,49,36,0
3383,0,3352,3,31,14,0
3502,0,3387,0,115,108,0
3621,0,3506,1,115,100,0
3701,0,3625,2,76,58,0
3742,0,3705,3,37,22,0
3753,0,3746,0,7,0,1
3869,0,3757,1,112,111,0
3886,0,3873,2,13,12,0
3903,0,3890,3,13,12,0
