step,tl_id,new_state
21,0,1
143,0,2
262,0,3
345,0,0
398,0,1
442,0,2
492,0,3
590,0,0
610,0,1
699,0,2
752,0,3
868,0,0
885,0,1
941,0,2
955,0,3
969,0,0
989,0,1
1057,0,2
1125,0,3
1145,0,0
1228,0,1
1245,0,2
1367,0,3
1396,0,0
1419,0,1
1502,0,2
1549,0,3
1605,0,0
1718,0,1
1804,0,2
1860,0,3
1874,0,0
1912,0,1
2031,0,2
2096,0,3
2215,0,0
2307,0,1
2411,0,2
2437,0,3
2478,0,0
2510,0,1
2593,0,2
2685,0,3
2696,0,0
2776,0,1
2796,0,2
2840,0,3
2857,0,0
2937,0,1
3020,0,2
3109,0,3
3192,0,0
3275,0,1
3295,0,2
3348,0,3
3383,0,0
3502,0,1
3621,0,2
3701,0,3
3742,0,0
3753,0,1
3869,0,2
3886,0,3
3903,0,0
