step,tl_id,previous_state,current_state,action,reward
138,0,0_0_1_0_1,0_1_1_1_2,36,0.9763418263457422
170,0,0_1_1_1_2,1_1_1_1_3,9,0.9809547993905536
238,0,1_1_1_1_3,1_1_1_0_0,21,0.9828842151385694
285,0,1_1_1_0_0,0_1_1_1_1,14,0.9847453490264143
308,0,0_1_1_1_1,0_1_1_1_2,6,0.9828682190779512
340,0,0_1_1_1_2,1_1_0_1_3,9,0.9863073721108555
441,0,1_1_0_1_3,1_1_1_1_0,32,0.97191522953607
497,0,1_1_1_1_0,1_2_1_1_1,17,0.97191522953607
559,0,1_2_1_1_1,1_1_1_1_2,19,0.9779876123390818
615,0,1_1_1_1_2,1_1_0_1_3,17,0.9803399768483567
716,0,1_1_0_1_3,1_2_1_0_0,32,0.9660536933581626
781,0,1_2_1_0_0,0_2_2_0_1,20,0.963289040881324
876,0,0_2_2_0_1,1_1_2_1_2,30,0.9650837988826816
941,0,1_1_2_1_2,1_1_0_1_3,20,0.9771943731440939
1042,0,1_1_0_1_3,1_1_1_0_0,32,0.9744148526295512
1089,0,1_1_1_0_0,0_1_1_0_1,14,0.9730786299796377
1205,0,0_1_1_0_1,1_0_2_1_2,37,0.9698154336135332
1297,0,1_0_2_1_2,1_1_0_1_3,29,0.9789856196979102
1398,0,1_1_0_1_3,1_2_1_0_0,32,0.9660536933581626
1463,0,1_2_1_0_0,0_2_1_0_1,20,0.9628207117732258
1564,0,0_2_1_0_1,0_1_2_1_2,32,0.967757562031305
1626,0,0_1_2_1_2,1_1_0_1_3,19,0.9763418263457422
1727,0,1_1_0_1_3,1_1_1_1_0,32,0.9789856196979102
1783,0,1_1_1_1_0,0_1_1_1_1,17,0.9797361332801277
1806,0,0_1_1_1_1,0_1_1_1_2,6,0.9797361332801277
1916,0,0_1_1_1_2,1_1_0_2_3,35,0.9682579989842559
2011,0,1_1_0_2_3,1_1_0_1_0,30,0.9771943731440939
2088,0,1_1_0_1_0,0_2_1_1_1,24,0.9646119583270422
2195,0,0_2_1_1_1,1_1_1_1_2,34,0.9760530479062639
2251,0,1_1_1_1_2,1_1_1_1_3,17,0.9749514209375759
2277,0,1_1_1_1_3,1_1_1_0_0,7,0.9796050227118467
2324,0,1_1_1_0_0,0_1_1_0_1,14,0.9847453490264143
2440,0,0_1_1_0_1,1_0_1_1_2,37,0.9749514209375759
2526,0,1_0_1_1_2,1_0_0_1_3,27,0.9763418263457422
2648,0,1_0_0_1_3,2_0_1_1_0,39,0.9614663546227792
2671,0,2_0_1_1_0,1_0_1_1_1,6,0.9802361125751028
2748,0,1_0_1_1_1,1_0_1_1_2,24,0.968879038134564
2834,0,1_0_1_1_2,1_1_1_1_3,27,0.9719152295360699
2860,0,1_1_1_1_3,1_1_1_0_0,7,0.9771943731440939
2907,0,1_1_1_0_0,1_1_1_0_1,14,0.9802361125751028
2918,0,1_1_1_0_1,1_0_1_0_2,2,0.9863073721108555
2989,0,1_0_1_0_2,1_1_1_1_3,22,0.9834855805526197
3015,0,1_1_1_1_3,1_1_1_1_0,7,0.9834855805526197
3119,0,1_1_1_1_0,0_1_1_1_1,33,0.9787892236203206
3142,0,0_1_1_1_1,1_0_1_1_2,6,0.9789856196979102
3159,0,1_0_1_1_2,1_0_0_1_3,4,0.9850107217425653
3281,0,1_0_0_1_3,1_1_1_0_0,39,0.9802361125751028
3328,0,1_1_1_0_0,0_1_1_1_1,14,0.9828842151385694
3351,0,0_1_1_1_1,1_0_1_1_2,6,0.9882493553932101
3437,0,1_0_1_1_2,1_1_1_1_3,27,0.9763418263457422
3490,0,1_1_1_1_3,1_1_1_1_0,16,0.9769421313376199
3555,0,1_1_1_1_0,0_1_2_1_1,20,0.973648150100137
3584,0,0_1_2_1_1,0_1_2_1_2,8,0.973648150100137
3631,0,0_1_2_1_2,1_1_1_1_3,14,0.9749514209375759
3657,0,1_1_1_1_3,1_1_1_1_0,7,0.9714048352918513
3710,0,1_1_1_1_0,0_2_1_1_1,16,0.9575134720917585
3817,0,0_2_1_1_1,2_1_2_1_2,34,0.9444514982224479
3924,0,2_1_2_1_2,3_1_1_1_3,34,0.9267886105604614
4004,0,3_1_1_1_3,3_2_1_0_0,25,0.9134620015411289
4036,0,3_2_1_0_0,1_2_1_0_1,9,0.9531217670184151
4056,0,1_2_1_0_1,1_1_1_1_2,5,0.9740487694398309
4112,0,1_1_1_1_2,1_1_1_1_3,17,0.9646119583270422
4129,0,1_1_1_1_3,1_1_1_1_0,4,0.9703835794094174
4185,0,1_1_1_1_0,1_1_1_1_1,17,0.9593647659410518
4235,0,1_1_1_1_1,1_0_1_2_2,15,0.9536980811270342
4270,0,1_0_1_2_2,1_1_1_2_3,10,0.9548999068901304
4317,0,1_1_1_2_3,2_1_1_1_0,14,0.9523203136003004
4352,0,2_1_1_1_0,1_1_1_1_1,10,0.96362895716946
4402,0,1_1_1_1_1,1_0_2_2_2,15,0.9473246965902523
4479,0,1_0_2_2_2,2_1_1_2_3,24,0.9403514897579144
4520,0,2_1_1_2_3,2_1_1_1_0,12,0.9405837754096051
4555,0,2_1_1_1_0,1_1_2_1_1,10,0.958573998674368
4578,0,1_1_2_1_1,1_1_2_1_2,6,0.958573998674368
4637,0,1_1_2_1_2,1_1_0_1_3,18,0.9628066553315521
4678,0,1_1_0_1_3,1_1_1_1_0,12,0.9616222789443267
4773,0,1_1_1_1_0,1_2_1_1_1,30,0.9444514982224479
4877,0,1_2_1_1_1,1_1_2_2_2,33,0.937860998011552
4990,0,1_1_2_2_2,2_2_1_3_3,36,0.9148917597765363
5010,0,2_2_1_3_3,2_2_1_1_0,5,0.9457185108680344
5054,0,2_2_1_1_0,1_2_1_1_1,13,0.9526559984849919
5095,0,1_2_1_1_1,1_1_2_2_2,12,0.9526559984849919
5163,0,1_1_2_2_2,1_2_1_2_3,21,0.9432611731843575
5246,0,1_2_1_2_3,2_3_1_1_0,26,0.9398502417726867
5314,0,2_3_1_1_0,0_3_1_1_1,21,0.9358377500835602
5436,0,0_3_1_1_1,1_1_2_2_2,39,0.9343517706265294
5504,0,1_1_2_2_2,1_1_0_3_3,21,0.9382014139516488
5551,0,1_1_0_3_3,2_1_0_1_0,14,0.9540166101356744
5643,0,2_1_0_1_0,1_2_2_1_1,29,0.9418063314711359
5744,0,1_2_2_1_1,1_1_3_1_2,32,0.9307447250565585
5854,0,1_1_3_1_2,2_1_0_3_3,35,0.915026944183517
5874,0,2_1_0_3_3,2_1_1_1_0,5,0.9476256983240223
5900,0,2_1_1_1_0,0_2_1_1_1,7,0.9664866819632881
5956,0,0_2_1_1_1,1_1_1_2_2,17,0.9655239190648326
6036,0,1_1_1_2_2,1_1_1_3_3,25,0.9438304590721399
6092,0,1_1_1_3_3,1_1_1_1_0,17,0.9597704639300462
6148,0,1_1_1_1_0,0_2_1_1_1,17,0.9536980811270342
6255,0,0_2_1_1_1,1_1_2_1_2,34,0.9480585437924188
6320,0,1_1_2_1_2,2_1_1_2_3,20,0.9476256983240223
6361,0,2_1_1_2_3,2_2_1_0_0,12,0.9586122616066269
6450,0,2_2_1_0_0,1_2_1_1_1,28,0.9455366948383708
6512,0,1_2_1_1_1,1_1_2_2_2,19,0.9418063314711359
6532,0,1_1_2_2_2,1_1_1_2_3,5,0.9468666504736458
6579,0,1_1_1_2_3,1_1_1_1_0,14,0.9641485434956105
6635,0,1_1_1_1_0,0_3_1_1_1,17,0.9623747832787517
6679,0,0_3_1_1_1,1_0_1_1_2,13,0.970903165735568
6765,0,1_0_1_1_2,2_1_0_1_3,27,0.9563547486033519
6782,0,2_1_0_1_3,2_1_1_1_0,4,0.9597704639300462
6886,0,2_1_1_1_0,0_1_1_2_1,33,0.9522513488993936
6978,0,0_1_1_2_1,1_1_2_2_2,29,0.9352595437616388
7046,0,1_1_2_2_2,1_1_1_3_3,21,0.9321875432845468
7102,0,1_1_1_3_3,2_1_1_1_0,17,0.9586122616066268
7137,0,2_1_1_1_0,0_2_1_1_1,10,0.962473241789798
7235,0,0_2_1_1_1,2_2_3_3_2,31,0.8966480446927374
7246,0,2_2_3_3_2,2_3_1_3_3,2,0.8861731843575419
7362,0,2_3_1_3_3,4_6_5_3_0,37,0.7353351955307262
7373,0,4_6_5_3_0,4_7_5_3_1,2,0.7325862374745056
7474,0,4_7_5_3_1,8_1_8_6_2,32,0.666899441340782
7506,0,8_1_8_6_2,9_3_5_8_3,9,0.6688503148000354
7562,0,9_3_5_8_3,11_5_6_3_0,17,0.6543018976678194
7675,0,11_5_6_3_0,1_7_9_6_1,36,0.629361754012592
7737,0,1_7_9_6_1,4_1_10_8_2,19,0.6432173893766072
7808,0,4_1_10_8_2,6_4_3_11_3,22,0.6626152788862285
7879,0,6_4_3_11_3,7_6_5_5_0,22,0.678072625698324
7977,0,7_6_5_5_0,1_8_10_8_1,31,0.626590626939789
8090,0,1_8_10_8_1,6_1_12_11_2,36,0.5440694399556765
8134,0,6_1_12_11_2,7_3_6_12_3,13,0.5732464307883303
8157,0,7_3_6_12_3,8_3_7_10_0,6,0.5801742484703378
8168,0,8_3_7_10_0,7_3_8_9_1,2,0.571168085483728
8182,0,7_3_8_9_1,7_2_8_10_2,3,0.5787886849339363
8238,0,7_2_8_10_2,10_5_4_10_3,17,0.5614525139664805
8342,0,10_5_4_10_3,13_10_5_1_0,33,0.5448423782920989
8401,0,13_10_5_1_0,7_12_8_2_1,18,0.5635474860335195
8442,0,7_12_8_2_1,8_7_8_5_2,12,0.5725536490201294
8540,0,8_7_8_5_2,10_10_2_8_3,31,0.5418994413407822
8653,0,10_10_2_8_3,13_13_6_2_0,36,0.46110739184634575
8757,0,13_13_6_2_0,4_13_9_4_1,33,0.5129744169548638
8846,0,4_13_9_4_1,6_8_12_7_2,28,0.5088177263456592
8857,0,6_8_12_7_2,6_8_12_8_3,2,0.4935765274452425
