step,tl_id,start_at_step,cycle_time
183,0,-1,188
590,0,187,407
763,0,594,173
1089,0,767,326
1352,0,1093,263
1657,0,1356,305
1866,0,1661,209
2132,0,1870,266
2338,0,2136,206
2652,0,2342,314
2795,0,2656,143
3130,0,2799,335
3390,0,3134,260
3515,0,3394,125
3784,0,3519,269
3987,0,3788,203
4166,0,3991,179
4312,0,4170,146
4482,0,4316,170
4799,0,4486,317
5047,0,4803,248
5283,0,5051,236
5624,0,5287,341
5911,0,5628,287
6285,0,5915,374
6476,0,6289,191
6826,0,6480,350
7185,0,6830,359
7457,0,7189,272
7741,0,7461,284
8082,0,7745,341
8339,0,8086,257
8707,0,8343,368
9072,0,8711,365
9443,0,9076,371
9859,0,9447,416
10116,0,9863,257
10496,0,10120,380
10750,0,10500,254
10935,0,10754,185
11237,0,10939,302
11440,0,11241,203
11676,0,11444,236
11840,0,11680,164
11995,0,11844,155
12306,0,11999,311
12695,0,12310,389
13018,0,12699,323
13320,0,13022,302
13643,0,13324,323
13873,0,13647,230
14022,0,13877,149
14354,0,14026,332
14638,0,14358,284
14859,0,14642,221
15134,0,14863,275
15433,0,15138,299
15711,0,15437,278
15974,0,15715,263
16405,0,15978,431
16710,0,16409,305
17036,0,16714,326
17350,0,17040,314
17700,0,17354,350
17933,0,17704,233
18226,0,17937,293
18495,0,18230,269
18896,0,18499,401
19153,0,18900,257
19410,0,19157,257
19709,0,19414,299
19963,0,19713,254
20187,0,19967,224
20480,0,20191,293
20806,0,20484,326
