step,veh_id,ttime
36,4,20
67,5,47
78,9,42
82,15,22
106,17,38
114,14,58
116,18,44
137,2,129
139,0,139
141,10,101
144,11,100
158,30,38
177,34,41
200,39,44
219,40,59
220,21,136
229,3,217
231,8,199
231,12,183
233,13,181
234,19,158
235,7,207
237,22,149
239,24,143
239,27,131
241,38,89
242,25,142
243,42,75
244,28,132
245,37,97
248,45,68
268,1,264
268,35,128
268,49,72
282,20,202
282,33,150
284,36,140
285,6,261
287,66,21
288,16,224
288,57,60
290,50,90
294,58,62
296,69,20
312,68,40
322,71,38
340,41,176
344,76,40
350,53,138
351,32,223
351,43,179
353,47,165
353,55,133
355,46,171
355,52,147
356,23,264
357,60,117
358,29,242
360,56,136
360,62,112
362,63,110
365,65,105
368,82,40
387,48,195
392,26,288
392,89,36
399,64,143
410,44,234
410,54,194
411,31,287
412,74,116
413,61,169
415,72,127
416,70,136
419,78,107
419,100,19
431,98,39
431,99,35
432,97,44
455,92,87
463,59,227
464,67,196
464,73,172
464,87,116
466,79,150
467,91,103
468,80,148
468,93,96
469,90,109
472,85,132
474,103,62
489,113,37
507,122,19
523,120,43
537,129,21
555,51,351
558,124,62
564,131,40
571,84,232
572,77,264
572,138,20
574,83,242
576,81,252
577,88,225
579,102,171
579,106,155
580,108,148
581,86,237
583,111,139
584,112,136
585,75,285
586,96,202
592,127,84
608,147,20
625,144,49
634,105,214
637,109,201
638,117,170
640,101,236
642,118,170
643,116,179
643,125,143
645,134,109
645,137,97
646,114,190
647,140,87
650,150,50
655,154,39
664,115,204
673,159,37
684,160,44
697,169,21
713,168,41
729,152,121
731,167,63
739,107,311
739,128,227
740,121,256
741,123,249
743,95,363
743,141,179
744,139,188
744,181,20
746,148,154
747,155,127
750,110,310
751,170,71
752,145,172
752,166,88
753,173,61
756,171,72
763,119,287
763,176,59
779,156,155
784,136,240
786,130,266
787,132,259
789,133,257
789,142,221
790,149,194
791,104,375
793,135,253
793,164,137
794,94,418
794,126,290
795,165,135
796,162,148
796,182,68
800,180,80
801,184,65
803,183,71
803,186,58
811,143,239
812,161,168
812,174,116
813,146,229
814,151,210
814,163,162
815,157,187
817,190,57
819,172,131
819,178,107
820,175,120
820,179,104
820,188,68
822,185,82
827,195,47
845,201,41
870,207,42
871,213,19
873,208,41
903,221,19
935,177,227
937,153,325
937,193,165
941,215,81
941,219,65
942,226,38
943,187,195
945,220,65
946,223,54
948,232,20
957,212,109
961,202,153
961,231,37
972,210,132
973,191,209
974,200,174
975,199,179
975,211,131
977,218,105
980,158,348
980,194,204
980,233,48
982,230,62
990,242,22
996,189,240
996,196,212
996,204,180
999,206,175
1000,205,180
1002,225,102
1005,203,193
1005,217,137
1005,239,49
1006,209,170
1012,192,244
1012,237,64
1026,251,22
1027,234,91
1028,227,120
1028,247,40
1046,238,94
1046,255,26
1049,222,161
1051,214,195
1051,252,43
1054,248,62
1054,249,58
1055,216,191
1058,257,30
1064,260,24
1067,262,19
1092,268,20
1095,263,43
