step,tl_id,start_at_step,stage,stage_time,time_beyond_queue_clearance,residual_queue
21,0,-1,0,22,21,0
122,0,25,1,97,96,0
226,0,126,2,100,99,0
348,0,230,3,118,104,0
374,0,352,0,22,0,1
478,0,378,1,100,86,0
525,0,482,2,43,24,0
602,0,529,3,73,61,0
649,0,606,0,43,17,0
696,0,653,1,43,36,0
809,0,700,2,109,96,0
883,0,813,3,70,54,0
963,0,887,0,76,55,0
1085,0,967,1,118,101,0
1120,0,1089,2,31,14,0
1179,0,1124,3,55,38,0
1244,0,1183,0,61,47,0
1306,0,1248,1,58,49,0
1419,0,1310,2,109,96,0
1445,0,1423,3,22,9,0
1555,0,1449,0,106,90,0
1677,0,1559,1,118,96,0
1691,0,1681,2,10,0,2
1726,0,1695,3,31,18,0
1764,0,1730,0,34,12,0
1886,0,1768,1,118,108,0
1951,0,1890,2,61,45,0
1998,0,1955,3,43,26,0
2081,0,2002,0,79,67,0
2188,0,2085,1,103,86,0
2217,0,2192,2,25,8,0
2324,0,2221,3,103,92,0
2446,0,2328,0,118,104,0
2556,0,2450,1,106,93,0
2645,0,2560,2,85,65,0
2719,0,2649,3,70,50,0
2751,0,2723,0,28,12,0
2771,0,2755,1,16,0,2
2866,0,2775,2,91,81,0
2961,0,2870,3,91,81,0
3002,0,2965,0,37,20,0
3070,0,3006,1,64,42,0
3177,0,3074,2,103,90,0
3284,0,3181,3,103,77,0
3316,0,3288,0,28,10,0
3357,0,3320,1,37,23,0
3476,0,3361,2,115,105,0
3526,0,3480,3,46,26,0
3639,0,3530,0,109,97,0
3728,0,3643,1,85,66,0
3787,0,3732,2,55,48,0
3855,0,3791,3,64,55,0
3869,0,3859,0,10,9,0
