step,tl_id,start_at_step,cycle_time
270,0,-1,275
548,0,274,278
724,0,552,176
1059,0,728,335
1325,0,1063,266
1447,0,1329,122
1692,0,1451,245
1856,0,1696,164
2065,0,1860,209
2298,0,2069,233
2495,0,2302,197
2788,0,2499,293
3129,0,2792,341
3374,0,3133,245
3484,0,3378,110
3717,0,3488,233
3872,0,3721,155
4090,0,3876,218
4377,0,4094,287
4535,0,4381,158
4717,0,4539,182
5013,0,4721,296
5282,0,5017,269
5566,0,5286,284
5862,0,5570,296
6221,0,5866,359
6535,0,6225,314
6786,0,6539,251
7073,0,6790,287
7339,0,7077,266
7635,0,7343,296
7859,0,7639,224
8062,0,7863,203
8241,0,8066,179
8504,0,8245,263
8728,0,8508,224
9000,0,8732,272
9188,0,9004,188
9412,0,9192,224
9756,0,9416,344
9986,0,9760,230
10120,0,9990,134
10440,0,10124,320
10709,0,10444,269
11131,0,10713,422
11403,0,11135,272
11663,0,11407,260
11863,0,11667,200
12135,0,11867,272
12485,0,12139,350
12784,0,12489,299
13038,0,12788,254
13283,0,13042,245
13507,0,13287,224
13761,0,13511,254
14045,0,13765,284
14374,0,14049,329
14631,0,14378,257
14951,0,14635,320
15313,0,14955,362
15486,0,15317,173
15773,0,15490,287
16054,0,15777,281
16173,0,16058,119
16478,0,16177,305
16717,0,16482,239
17007,0,16721,290
17327,0,17011,320
17605,0,17331,278
17919,0,17609,314
18185,0,17923,266
18436,0,18189,251
18675,0,18440,239
18857,0,18679,182
19048,0,18861,191
19212,0,19052,164
19451,0,19216,239
19570,0,19455,119
19797,0,19574,227
20048,0,19801,251
20299,0,20052,251
20496,0,20303,197
20789,0,20500,293
20962,0,20793,173
21183,0,20966,221
21404,0,21187,221
21700,0,21408,296
21984,0,21704,284
