step,tl_id,previous_state,current_state,action,reward
25,0,0_3_0_0_1,0_0_1_0_1,29,0.9962855105194343
60,0,0_0_1_0_1,0_0_1_1_2,10,0.9893113670049025
128,0,0_0_1_1_2,0_1_1_1_3,21,0.9835300938125856
247,0,0_1_1_1_3,1_1_1_1_0,38,0.9789856196979102
282,0,1_1_1_1_0,0_1_1_1_1,10,0.9806953695745595
386,0,0_1_1_1_1,1_1_2_1_2,33,0.970903165735568
505,0,1_1_2_1_2,1_1_0_1_3,38,0.9663089287464471
540,0,1_1_0_1_3,1_1_1_0_0,10,0.970903165735568
554,0,1_1_1_0_0,0_1_1_0_1,3,0.9822029071974834
622,0,0_1_1_0_1,1_1_1_0_2,21,0.9822029071974834
651,0,1_1_1_0_2,1_1_0_0_3,8,0.9850107217425653
713,0,1_1_0_0_3,1_1_1_0_0,19,0.9748200472711646
835,0,1_1_1_0_0,0_2_2_1_1,39,0.9583207509185163
894,0,0_2_2_1_1,1_1_2_1_2,18,0.970903165735568
1013,0,1_1_2_1_2,1_1_1_1_3,38,0.9760530479062639
1069,0,1_1_1_1_3,1_1_1_0_0,17,0.9766186153232242
1107,0,1_1_1_0_0,0_1_1_0_1,11,0.9788129847589088
1184,0,0_1_1_0_1,1_1_1_0_2,24,0.9796050227118467
1240,0,1_1_1_0_2,1_1_0_1_3,17,0.985451582867784
1257,0,1_1_0_1_3,1_1_0_0_0,4,0.9848920283626987
1298,0,1_1_0_0_0,1_1_1_0_1,12,0.9796050227118467
1414,0,1_1_1_0_1,1_1_1_1_2,37,0.9771943731440939
1500,0,1_1_1_1_2,1_1_1_1_3,27,0.9785602273841028
1550,0,1_1_1_1_3,1_1_1_1_0,15,0.9785602273841028
1591,0,1_1_1_1_0,1_1_1_1_1,12,0.9754974027246889
1659,0,1_1_1_1_1,1_0_1_1_2,21,0.9763418263457422
1778,0,1_0_1_1_2,1_0_0_2_3,38,0.9652532950046103
1828,0,1_0_0_2_3,2_1_0_0_0,15,0.9821856116748375
1908,0,2_1_0_0_0,0_1_1_1_1,25,0.9802361125751028
1973,0,0_1_1_1_1,0_1_1_2_2,20,0.9760379011939971
2089,0,0_1_1_2_2,0_1_1_2_3,37,0.967757562031305
2121,0,0_1_1_2_3,1_1_1_1_0,9,0.9771943731440939
2153,0,1_1_1_1_0,0_1_1_1_1,9,0.9730786299796377
2179,0,0_1_1_1_1,0_1_1_1_2,7,0.9855928296360579
2220,0,0_1_1_1_2,0_1_0_1_3,12,0.9855928296360579
2294,0,0_1_0_1_3,1_1_1_0_0,23,0.9803399768483567
2308,0,1_1_1_0_0,1_1_1_0_1,3,0.9828682190779512
2397,0,1_1_1_0_1,1_1_1_1_2,28,0.9804348873049509
2468,0,1_1_1_1_2,1_1_0_1_3,22,0.9803399768483567
2575,0,1_1_0_1_3,2_1_1_0_0,34,0.9692866749430995
2661,0,2_1_1_0_0,1_1_1_1_1,27,0.9771943731440939
2714,0,1_1_1_1_1,1_0_1_1_2,16,0.9740487694398309
2761,0,1_0_1_1_2,1_0_0_1_3,14,0.9796050227118467
2856,0,1_0_0_1_3,1_1_1_0_0,30,0.970903165735568
2924,0,1_1_1_0_0,1_1_2_0_1,21,0.973648150100137
2962,0,1_1_2_0_1,1_1_2_0_2,11,0.973648150100137
3045,0,1_1_2_0_2,1_1_0_1_3,26,0.9828536512370312
3152,0,1_1_0_1_3,1_1_1_1_0,34,0.9723580074487895
3181,0,1_1_1_1_0,0_1_1_1_1,8,0.9803399768483567
3300,0,0_1_1_1_1,1_0_1_1_2,38,0.9703835794094174
3323,0,1_0_1_1_2,1_0_1_2_3,6,0.9730786299796377
3358,0,1_0_1_2_3,1_0_1_0_0,10,0.9828842151385694
3411,0,1_0_1_0_0,0_1_1_1_1,16,0.9855928296360579
3530,0,0_1_1_1_1,1_0_2_1_2,38,0.9660536933581626
3598,0,1_0_2_1_2,1_1_0_1_3,21,0.9766186153232242
3705,0,1_1_0_1_3,1_2_1_0_0,34,0.9533447312656521
3743,0,1_2_1_0_0,0_2_2_0_1,11,0.9515052762259466
3778,0,0_2_2_0_1,1_1_2_0_2,10,0.9583942463321673
3795,0,1_1_2_0_2,2_1_0_0_3,4,0.9744300547373173
3881,0,2_1_0_0_3,2_2_1_0_0,27,0.9438846767757383
4000,0,2_2_1_0_0,1_2_1_1_1,38,0.9451537548820883
4095,0,1_2_1_1_1,1_0_2_2_2,30,0.9446640562649641
4118,0,1_0_2_2_2,2_0_0_2_3,6,0.9584734501274611
4168,0,2_0_0_2_3,2_0_1_1_0,15,0.9638255574009764
4185,0,2_0_1_1_0,1_1_1_1_1,4,0.9785602273841028
4253,0,1_1_1_1_1,1_1_1_1_2,21,0.9623870191215879
4285,0,1_1_1_1_2,1_1_1_1_3,9,0.959932228226028
4341,0,1_1_1_1_3,2_1_1_1_0,17,0.9545209145110558
4403,0,2_1_1_1_0,1_1_1_2_1,19,0.9593647659410518
4477,0,1_1_1_2_1,2_1_2_2_2,23,0.9324447413164926
4593,0,2_1_2_2_2,3_1_1_2_3,37,0.9307447250565585
4604,0,3_1_1_2_3,3_1_1_1_0,2,0.9373298954304541
4687,0,3_1_1_1_0,0_1_1_2_1,26,0.9477749128587117
4770,0,0_1_1_2_1,1_1_1_2_2,26,0.9350731797405236
4856,0,1_1_1_2_2,2_1_0_2_3,27,0.9267383280127693
4957,0,2_1_0_2_3,2_3_1_1_0,32,0.9316224394785848
5052,0,2_3_1_1_0,1_3_2_2_1,30,0.9228933891992551
5174,0,1_3_2_2_1,1_0_3_2_2,39,0.9195409278600923
5245,0,1_0_3_2_2,2_1_1_3_3,22,0.9202999757104687
5256,0,2_1_1_3_3,2_1_1_2_0,2,0.9352846272394529
5369,0,2_1_1_2_0,1_2_1_3_1,36,0.9148737245486864
5458,0,1_2_1_3_1,1_0_2_4_2,28,0.907486988492575
5484,0,1_0_2_4_2,1_1_0_4_3,7,0.92284143056664
5564,0,1_1_0_4_3,2_1_1_1_0,25,0.9586122616066268
5593,0,2_1_1_1_0,0_1_1_1_1,8,0.968879038134564
5625,0,0_1_1_1_1,1_0_2_1_2,9,0.9714321990858303
5651,0,1_0_2_1_2,1_1_1_1_3,7,0.9771943731440939
5689,0,1_1_1_1_3,1_1_1_0_0,11,0.9744148526295512
5748,0,1_1_1_0_0,1_1_2_1_1,18,0.9593647659410518
5846,0,1_1_2_1_1,1_0_2_2_2,31,0.9373298954304541
5923,0,1_0_2_2_2,1_1_1_2_3,24,0.9366439899080915
5985,0,1_1_1_2_3,1_2_1_0_0,19,0.9458196879214025
6050,0,1_2_1_0_0,1_2_2_2_1,20,0.9374418063314711
6085,0,1_2_2_2_1,1_0_2_1_2,10,0.9495822095935272
6111,0,1_0_2_1_2,1_1_1_1_3,7,0.9586122616066268
6134,0,1_1_1_1_3,1_1_1_1_0,6,0.9646119583270422
6226,0,1_1_1_1_0,1_2_1_1_1,29,0.9457185108680344
6249,0,1_2_1_1_1,1_0_2_1_2,6,0.9559752246781636
