step,tl_id,new_state
21,0,1
56,0,2
124,0,3
243,0,0
278,0,1
382,0,2
501,0,3
536,0,0
550,0,1
618,0,2
647,0,3
709,0,0
831,0,1
890,0,2
1009,0,3
1065,0,0
1103,0,1
1180,0,2
1236,0,3
1253,0,0
1294,0,1
1410,0,2
1496,0,3
1546,0,0
1587,0,1
1655,0,2
1774,0,3
1824,0,0
1904,0,1
1969,0,2
2085,0,3
2117,0,0
2149,0,1
2175,0,2
2216,0,3
2290,0,0
2304,0,1
2393,0,2
2464,0,3
2571,0,0
2657,0,1
2710,0,2
2757,0,3
2852,0,0
2920,0,1
2958,0,2
3041,0,3
3148,0,0
3177,0,1
3296,0,2
3319,0,3
3354,0,0
3407,0,1
3526,0,2
3594,0,3
3701,0,0
3739,0,1
3774,0,2
3791,0,3
3877,0,0
3996,0,1
4091,0,2
4114,0,3
4164,0,0
4181,0,1
4249,0,2
4281,0,3
4337,0,0
4399,0,1
4473,0,2
4589,0,3
4600,0,0
4683,0,1
4766,0,2
4852,0,3
4953,0,0
5048,0,1
5170,0,2
5241,0,3
5252,0,0
5365,0,1
5454,0,2
5480,0,3
5560,0,0
5589,0,1
5621,0,2
5647,0,3
5685,0,0
5744,0,1
5842,0,2
5919,0,3
5981,0,0
6046,0,1
6081,0,2
6107,0,3
6130,0,0
6222,0,1
6245,0,2
6271,0,3
6381,0,0
6482,0,1
6496,0,2
6552,0,3
6623,0,0
6649,0,1
6672,0,2
6782,0,3
6841,0,0
6906,0,1
6920,0,2
6982,0,3
7077,0,0
7139,0,1
7186,0,2
7257,0,3
7337,0,0
7420,0,1
7482,0,2
7559,0,3
7576,0,0
7617,0,1
7667,0,2
7747,0,3
7806,0,0
7880,0,1
7954,0,2
7971,0,3
8075,0,0
8107,0,1
8223,0,2
8339,0,3
8353,0,0
8373,0,1
8474,0,2
8524,0,3
8559,0,0
8621,0,1
8650,0,2
8688,0,3
8789,0,0
8863,0,1
8958,0,2
9080,0,3
9145,0,0
9177,0,1
9221,0,2
9244,0,3
9273,0,0
9365,0,1
9481,0,2
9603,0,3
9638,0,0
9706,0,1
9828,0,2
9926,0,3
10039,0,0
10146,0,1
10241,0,2
10360,0,3
10386,0,0
10397,0,1
10510,0,2
10608,0,3
10664,0,0
10765,0,1
10830,0,2
10865,0,3
10954,0,0
10998,0,1
11015,0,2
11089,0,3
11193,0,0
11249,0,1
11284,0,2
11406,0,3
11465,0,0
11491,0,1
11577,0,2
11666,0,3
11755,0,0
11826,0,1
11897,0,2
12016,0,3
12135,0,0
12146,0,1
12220,0,2
12321,0,3
12350,0,0
12421,0,1
12480,0,2
12551,0,3
12607,0,0
12678,0,1
12701,0,2
12820,0,3
12942,0,0
12989,0,1
13015,0,2
13053,0,3
13097,0,0
13162,0,1
13260,0,2
13274,0,3
13348,0,0
13437,0,1
13499,0,2
13510,0,3
13608,0,0
13721,0,1
13837,0,2
13848,0,3
13883,0,0
13960,0,1
14013,0,2
14069,0,3
14089,0,0
14142,0,1
14243,0,2
14320,0,3
14364,0,0
14411,0,1
14494,0,2
14616,0,3
14732,0,0
14836,0,1
14925,0,2
14981,0,3
15031,0,0
15072,0,1
15161,0,2
15190,0,3
15213,0,0
15230,0,1
15304,0,2
15387,0,3
15470,0,0
15577,0,1
15636,0,2
15668,0,3
15787,0,0
15879,0,1
15893,0,2
15916,0,3
15948,0,0
16010,0,1
16111,0,2
16203,0,3
16298,0,0
16414,0,1
16428,0,2
16460,0,3
16495,0,0
16515,0,1
16565,0,2
16630,0,3
16749,0,0
16796,0,1
16813,0,2
16872,0,3
16910,0,0
16942,0,1
16968,0,2
17066,0,3
17080,0,0
17169,0,1
17279,0,2
17347,0,3
17382,0,0
17483,0,1
17593,0,2
17703,0,3
17804,0,0
17917,0,1
18024,0,2
18107,0,3
18184,0,0
18237,0,1
18311,0,2
18400,0,3
18474,0,0
18521,0,1
18583,0,2
18633,0,3
18677,0,0
18763,0,1
18879,0,2
18941,0,3
18958,0,0
19005,0,1
19028,0,2
19081,0,3
19122,0,0
19181,0,1
19222,0,2
19269,0,3
19352,0,0
19381,0,1
19425,0,2
19514,0,3
19594,0,0
19638,0,1
19733,0,2
19771,0,3
19824,0,0
19928,0,1
19966,0,2
20076,0,3
20114,0,0
20167,0,1
20235,0,2
20354,0,3
20392,0,0
20487,0,1
20507,0,2
20581,0,3
20700,0,0
20738,0,1
20791,0,2
20859,0,3
20960,0,0
21058,0,1
21078,0,2
21182,0,3
21268,0,0
21336,0,1
21350,0,2
21430,0,3
21480,0,0
21575,0,1
21622,0,2
