step,tl_id,start_at_step,cycle_time
243,0,-1,248
485,0,247,242
805,0,489,320
1032,0,809,227
1223,0,1036,191
1519,0,1227,296
1845,0,1523,326
2183,0,1849,338
2464,0,2187,281
2679,0,2468,215
2999,0,2683,320
3223,0,3003,224
3540,0,3227,317
3764,0,3544,224
4138,0,3768,374
4542,0,4142,404
4796,0,4546,254
5065,0,4800,269
5259,0,5069,194
5579,0,5263,320
5716,0,5583,137
6102,0,5720,386
6401,0,6106,299
6844,0,6405,443
7083,0,6848,239
7346,0,7087,263
7534,0,7350,188
7851,0,7538,317
8039,0,7855,188
8326,0,8043,287
8610,0,8330,284
8957,0,8614,347
9250,0,8961,293
9501,0,9254,251
9866,0,9505,365
10150,0,9870,284
10479,0,10154,329
10562,0,10483,83
10855,0,10566,293
11112,0,10859,257
11429,0,11116,317
11731,0,11433,302
11979,0,11735,248
12209,0,11983,230
12469,0,12213,260
12708,0,12473,239
12989,0,12712,281
13315,0,12993,326
13689,0,13319,374
14078,0,13693,389
14470,0,14082,392
14751,0,14474,281
15020,0,14755,269
15262,0,15024,242
15417,0,15266,155
15575,0,15421,158
15739,0,15579,164
16038,0,15743,299
16256,0,16042,218
16648,0,16260,392
16929,0,16652,281
17090,0,16933,161
17386,0,17094,296
17607,0,17390,221
17960,0,17611,353
18148,0,17964,188
18435,0,18152,287
18800,0,18439,365
19138,0,18804,338
19332,0,19142,194
19592,0,19336,260
19918,0,19596,326
20295,0,19922,377
20477,0,20299,182
20665,0,20481,188
20991,0,20669,326
21206,0,20995,215
