step,tl_id,previous_state,current_state,action,reward
25,0,0_0_1_0_2,0_0_1_0_1,24,0.9962855105194343
141,0,0_0_1_0_1,0_1_1_1_2,37,0.9763418263457422
191,0,0_1_1_1_2,1_1_0_1_3,15,0.9802361125751028
292,0,1_1_0_1_3,1_1_1_0_0,32,0.9788129847589088
378,0,1_1_1_0_0,0_2_1_0_1,27,0.970903165735568
488,0,0_2_1_0_1,1_0_1_1_2,35,0.97191522953607
595,0,1_0_1_1_2,1_1_0_1_3,34,0.9735010973663208
648,0,1_1_0_1_3,1_2_1_0_0,16,0.9684784295468654
698,0,1_2_1_0_0,0_2_1_0_1,15,0.970903165735568
799,0,0_2_1_0_1,0_1_2_1_2,32,0.9769421313376199
822,0,0_1_2_1_2,0_1_1_1_3,6,0.9897305290831416
866,0,0_1_1_1_3,1_1_1_0_0,13,0.9868240750500685
883,0,1_1_1_0_0,1_1_1_0_1,4,0.9868240750500685
900,0,1_1_1_0_1,1_1_1_0_2,4,0.9897305290831416
992,0,1_1_1_0_2,1_1_1_1_3,29,0.9789856196979102
1045,0,1_1_1_1_3,1_1_1_0_0,16,0.9771943731440939
1059,0,1_1_1_0_0,0_1_1_0_1,3,0.9788129847589088
1076,0,0_1_1_0_1,1_0_1_0_2,4,0.9828842151385694
1147,0,1_0_1_0_2,1_1_1_0_3,22,0.9863073721108555
1251,0,1_1_1_0_3,1_1_1_0_0,33,0.9725196565280364
1265,0,1_1_1_0_0,0_2_1_0_1,3,0.9754230623203342
1300,0,0_2_1_0_1,1_0_1_0_2,10,0.9893113670049025
1341,0,1_0_1_0_2,1_1_0_1_3,12,0.9889827520746325
1442,0,1_1_0_1_3,1_1_1_0_0,32,0.9771943731440939
1549,0,1_1_1_0_0,0_1_2_1_1,34,0.9593647659410518
1578,0,0_1_2_1_1,1_1_2_1_2,8,0.9658428467330581
1592,0,1_1_2_1_2,1_1_0_1_3,3,0.9835300938125856
1693,0,1_1_0_1_3,1_1_1_0_0,32,0.9822029071974834
1797,0,1_1_1_0_0,0_1_1_1_1,33,0.9735010973663208
1817,0,0_1_1_1_1,1_0_1_1_2,5,0.9740487694398309
1855,0,1_0_1_1_2,1_0_1_1_3,11,0.9769421313376199
1941,0,1_0_1_1_3,1_1_1_0_0,27,0.984128999492128
1955,0,1_1_1_0_0,0_1_1_1_1,3,0.9889827520746325
1975,0,0_1_1_1_1,0_1_1_1_2,5,0.9897305290831416
2076,0,0_1_1_1_2,0_1_0_1_3,32,0.9769421313376199
2096,0,0_1_0_1_3,0_1_1_0_0,5,0.9822029071974834
2179,0,0_1_1_0_0,0_1_1_1_1,26,0.9692866749430995
2229,0,0_1_1_1_1,0_0_1_1_2,15,0.9903980446927374
2318,0,0_0_1_1_2,1_0_1_1_3,28,0.9828536512370312
2404,0,1_0_1_1_3,1_1_1_0_0,27,0.9755260272542161
2418,0,1_1_1_0_0,0_1_1_1_1,3,0.9828842151385694
2483,0,0_1_1_1_1,1_0_1_1_2,20,0.9796050227118467
2563,0,1_0_1_1_2,1_0_0_1_3,25,0.9822029071974833
2673,0,1_0_0_1_3,2_1_1_0_0,35,0.970903165735568
2738,0,2_1_1_0_0,1_1_1_1_1,20,0.9809547993905536
2860,0,1_1_1_1_1,1_1_2_1_2,39,0.967450998958432
2883,0,1_1_2_1_2,1_1_1_1_3,6,0.9785602273841028
2936,0,1_1_1_1_3,2_1_1_0_0,16,0.973648150100137
3010,0,2_1_1_0_0,0_1_1_1_1,23,0.9760379011939971
3030,0,0_1_1_1_1,1_0_1_1_2,5,0.9822029071974834
3119,0,1_0_1_1_2,1_1_1_1_3,28,0.9796050227118467
3172,0,1_1_1_1_3,1_1_1_0_0,16,0.9802361125751028
3186,0,1_1_1_0_0,0_1_1_1_1,3,0.9868240750500685
3206,0,0_1_1_1_1,1_0_1_1_2,5,0.9897305290831416
3313,0,1_0_1_1_2,1_1_0_2_3,34,0.973648150100137
3381,0,1_1_0_2_3,1_1_1_0_0,21,0.9746063991874048
3395,0,1_1_1_0_0,0_1_1_1_1,3,0.9861314154440558
3415,0,0_1_1_1_1,0_0_1_1_2,5,0.9885376107443147
3432,0,0_0_1_1_2,0_0_1_1_3,4,0.9893113670049025
3530,0,0_0_1_1_3,1_0_2_1_0,31,0.9760379011939971
3592,0,1_0_2_1_0,1_1_2_1_1,19,0.9730786299796377
3690,0,1_1_2_1_1,1_0_2_2_2,31,0.9443146792525525
3791,0,1_0_2_2_2,2_2_0_2_3,32,0.9354809327179985
3805,0,2_2_0_2_3,2_2_0_1_0,3,0.9485609537110934
3900,0,2_2_0_1_0,1_3_1_1_1,30,0.9493861790526267
3977,0,1_3_1_1_1,2_1_1_1_2,24,0.9596010896163257
4003,0,2_1_1_1_2,2_1_0_1_3,7,0.9612042209807573
4086,0,2_1_0_1_3,2_1_1_0_0,26,0.9388220407773481
4169,0,2_1_1_0_0,1_1_2_1_1,26,0.9422872708804654
4207,0,1_1_2_1_1,1_1_2_2_2,11,0.94544343575419
4302,0,1_1_2_2_2,2_1_0_2_3,30,0.934532122905028
4340,0,2_1_0_2_3,2_1_0_1_0,11,0.9540166101356744
4462,0,2_1_0_1_0,1_2_1_2_1,39,0.9465721922558274
4518,0,1_2_1_2_1,1_0_2_2_2,17,0.9415533155210104
4619,0,1_0_2_2_2,2_1_1_2_3,32,0.9447160148975792
4660,0,2_1_1_2_3,2_1_1_1_0,12,0.9492670582056058
4713,0,2_1_1_1_0,1_1_1_2_1,16,0.9559940440463549
4820,0,1_1_1_2_1,2_0_2_2_2,34,0.9360908818834797
4909,0,2_0_2_2_2,2_1_0_2_3,28,0.9343390023236269
4947,0,2_1_0_2_3,2_2_1_0_0,11,0.94544343575419
4988,0,2_2_1_0_0,1_2_1_1_1,12,0.9533447312656521
5017,0,1_2_1_1_1,1_0_1_2_2,8,0.9641485434956105
5046,0,1_0_1_2_2,1_0_1_2_3,8,0.9657364381559025
5102,0,1_0_1_2_3,1_1_1_0_0,17,0.9614663546227792
5119,0,1_1_1_0_0,0_1_1_0_1,4,0.9763418263457422
5223,0,0_1_1_0_1,1_1_1_2_2,33,0.9520295435099905
5240,0,1_1_1_2_2,1_1_1_2_3,4,0.9646119583270422
5344,0,1_1_1_2_3,1_1_2_1_0,33,0.9570821694599627
5439,0,1_1_2_1_0,1_2_2_1_1,30,0.9365159979685119
5531,0,1_2_2_1_1,1_1_2_2_2,29,0.9301675977653632
5629,0,1_1_2_2_2,2_1_1_2_3,31,0.9300233159425643
5670,0,2_1_1_2_3,2_1_1_0_0,12,0.9470288401852648
5789,0,2_1_1_0_0,1_2_2_1_1,38,0.9343456047366662
5881,0,1_2_2_1_1,1_1_3_2_2,29,0.9278590886005817
5928,0,1_1_3_2_2,1_1_1_2_3,14,0.9410789106145251
5960,0,1_1_1_2_3,1_2_1_1_0,9,0.959991852886406
6019,0,1_2_1_1_0,0_2_1_2_1,18,0.9445895069225164
6072,0,0_2_1_2_1,1_1_2_2_2,16,0.9415533155210104
6173,0,1_1_2_2_2,2_2_0_3_3,32,0.9255020708919284
6259,0,2_2_0_3_3,2_2_1_0_0,27,0.934532122905028
6300,0,2_2_1_0_0,1_2_2_1_1,12,0.9468666504736459
6401,0,1_2_2_1_1,1_1_2_1_2,32,0.949080540037244
6424,0,1_1_2_1_2,1_1_1_2_3,6,0.9628066553315521
6435,0,1_1_1_2_3,1_1_1_1_0,2,0.9754974027246889
6542,0,1_1_1_1_0,0_1_1_2_1,34,0.9474712018589014
6619,0,0_1_1_2_1,1_0_1_2_2,24,0.938822040777348
6741,0,1_0_1_2_2,2_1_1_2_3,39,0.9184807701186574
6776,0,2_1_1_2_3,2_2_1_1_0,10,0.933779618570603
6892,0,2_2_1_1_0,0_2_1_2_1,37,0.9306152413694313
6945,0,0_2_1_2_1,1_1_2_2_2,16,0.9410789106145252
7019,0,1_1_2_2_2,1_1_0_3_3,23,0.938822040777348
7054,0,1_1_0_3_3,1_1_1_1_0,10,0.9658112197392924
7086,0,1_1_1_1_0,0_1_1_2_1,9,0.9646119583270422
7163,0,0_1_1_2_1,1_1_1_2_2,24,0.9571341280925778
7210,0,1_1_1_2_2,1_1_1_2_3,14,0.9367143854748603
7242,0,1_1_1_2_3,2_3_2_1_0,9,0.8988538618426887
7253,0,2_3_2_1_0,2_3_2_2_1,2,0.8889664804469274
7309,0,2_3_2_2_1,2_2_4_4_2,17,0.8324022346368715
7401,0,2_2_4_4_2,6_5_1_6_3,29,0.711436354402327
7520,0,6_5_1_6_3,10_9_5_2_0,38,0.6075418994413408
7597,0,10_9_5_2_0,3_11_7_5_1,24,0.6019553072625698
7668,0,3_11_7_5_1,5_4_8_6_2,22,0.626590626939789
7697,0,5_4_8_6_2,6_5_5_7_3,8,0.6362895716945995
7816,0,6_5_5_7_3,10_8_9_2_0,38,0.5551675977653632
7836,0,10_8_9_2_0,8_8_9_3_1,5,0.5552341048151104
7913,0,8_8_9_3_1,9_1_12_5_2,24,0.5492375675428152
7999,0,9_1_12_5_2,13_3_4_7_3,27,0.5753247760929325
