step,tl_id,new_state
21,0,1
107,0,2
142,0,3
207,0,0
248,0,1
307,0,2
378,0,3
431,0,0
550,0,1
588,0,2
644,0,3
697,0,0
711,0,1
803,0,2
880,0,3
951,0,0
1067,0,1
1186,0,2
1290,0,3
1343,0,0
1402,0,1
1515,0,2
1526,0,3
1594,0,0
1683,0,1
1703,0,2
1792,0,3
1887,0,0
1970,0,1
1984,0,2
2016,0,3
2102,0,0
2116,0,1
2238,0,2
2315,0,3
2401,0,0
2415,0,1
2432,0,2
2506,0,3
2547,0,0
2624,0,1
2656,0,2
2673,0,3
2774,0,0
2839,0,1
2958,0,2
3017,0,3
3118,0,0
3159,0,1
3248,0,2
3334,0,3
3366,0,0
3389,0,1
3409,0,2
3447,0,3
3542,0,0
3631,0,1
3741,0,2
3815,0,3
3862,0,0
3927,0,1
4040,0,2
4153,0,3
4176,0,0
4229,0,1
4351,0,2
4374,0,3
4430,0,0
4504,0,1
4599,0,2
4652,0,3
4735,0,0
4788,0,1
4814,0,2
4852,0,3
4866,0,0
4970,0,1
5023,0,2
5103,0,3
5138,0,0
5242,0,1
5358,0,2
5390,0,3
5425,0,0
5541,0,1
5594,0,2
5650,0,3
5682,0,0
5747,0,1
5869,0,2
5943,0,3
6050,0,0
6169,0,1
6222,0,2
6296,0,3
6337,0,0
6390,0,1
6431,0,2
6514,0,3
6621,0,0
6692,0,1
6721,0,2
6732,0,3
6776,0,0
6808,0,1
6879,0,2
6995,0,3
7045,0,0
7158,0,1
7211,0,2
7324,0,3
7443,0,0
7562,0,1
7609,0,2
7728,0,3
7763,0,0
7813,0,1
7833,0,2
7880,0,3
7987,0,0
8004,0,1
8111,0,2
8188,0,3
8310,0,0
8417,0,1
8503,0,2
8625,0,3
8639,0,0
8719,0,1
8778,0,2
8843,0,3
8887,0,0
8973,0,1
8990,0,2
9058,0,3
9078,0,0
9098,0,1
9142,0,2
9198,0,3
9233,0,0
9277,0,1
9321,0,2
9347,0,3
9397,0,0
9432,0,1
9443,0,2
9535,0,3
9591,0,0
9614,0,1
9709,0,2
9750,0,3
9800,0,0
9880,0,1
9939,0,2
9986,0,3
10009,0,0
10089,0,1
10124,0,2
10198,0,3
10314,0,0
10382,0,1
10402,0,2
10503,0,3
10625,0,0
10681,0,1
10800,0,2
10859,0,3
10945,0,0
10998,0,1
11078,0,2
11197,0,3
11208,0,0
11318,0,1
11431,0,2
11475,0,3
11579,0,0
11680,0,1
11790,0,2
11858,0,3
11920,0,0
11973,0,1
11984,0,2
11995,0,3
12021,0,0
12116,0,1
12202,0,2
12219,0,3
12260,0,0
12316,0,1
12426,0,2
12446,0,3
12559,0,0
12630,0,1
12668,0,2
12787,0,3
12834,0,0
12914,0,1
12934,0,2
13056,0,3
13163,0,0
13228,0,1
13296,0,2
13397,0,3
13489,0,0
13500,0,1
13571,0,2
13681,0,3
13779,0,0
13856,0,1
13978,0,2
14061,0,3
14078,0,0
14140,0,1
14196,0,2
14258,0,3
14320,0,0
14388,0,1
14435,0,2
14455,0,3
14574,0,0
14645,0,1
14692,0,2
14706,0,3
14723,0,0
14806,0,1
14859,0,2
14885,0,3
14980,0,0
15033,0,1
15119,0,2
15136,0,3
15201,0,0
15212,0,1
15226,0,2
15264,0,3
15290,0,0
15334,0,1
15345,0,2
15368,0,3
15457,0,0
15525,0,1
15644,0,2
15688,0,3
15804,0,0
15881,0,1
15991,0,2
16002,0,3
16067,0,0
16099,0,1
16188,0,2
16247,0,3
16348,0,0
16359,0,1
16457,0,2
16519,0,3
16545,0,0
16655,0,1
16774,0,2
16818,0,3
16895,0,0
16933,0,1
16974,0,2
17039,0,3
17152,0,0
17175,0,1
17279,0,2
17305,0,3
17334,0,0
17357,0,1
17413,0,2
17475,0,3
17528,0,0
17578,0,1
17679,0,2
17705,0,3
17782,0,0
17868,0,1
17903,0,2
18010,0,3
18021,0,0
18110,0,1
18163,0,2
18282,0,3
18359,0,0
18472,0,1
18573,0,2
18674,0,3
18781,0,0
18855,0,1
18941,0,2
19036,0,3
19152,0,0
19250,0,1
19285,0,2
19329,0,3
19448,0,0
19474,0,1
19593,0,2
19652,0,3
19771,0,0
19824,0,1
19925,0,2
19984,0,3
20049,0,0
20102,0,1
20185,0,2
20232,0,3
20315,0,0
20386,0,1
20496,0,2
20537,0,3
20602,0,0
20649,0,1
20711,0,2
20758,0,3
20844,0,0
20894,0,1
20950,0,2
21051,0,3
21116,0,0
21232,0,1
21303,0,2
21332,0,3
21370,0,0
21483,0,1
21578,0,2
