step,tl_id,start_at_step,stage,stage_time,time_beyond_queue_clearance,residual_queue
21,0,-1,0,22,21,0
143,0,25,1,118,117,0
160,0,147,2,13,6,0
198,0,164,3,34,30,0
296,0,202,0,94,93,0
358,0,300,1,58,54,0
399,0,362,2,37,33,0
473,0,403,3,70,69,0
496,0,477,0,19,15,0
600,0,500,1,100,99,0
698,0,604,2,94,90,0
817,0,702,3,115,114,0
936,0,821,0,115,114,0
1025,0,940,1,85,73,0
1126,0,1029,2,97,87,0
1167,0,1130,3,37,33,0
1241,0,1171,0,70,66,0
1264,0,1245,1,19,15,0
1296,0,1268,2,28,27,0
1400,0,1300,3,100,99,0
1432,0,1404,0,28,27,0
1461,0,1436,1,25,18,0
1535,0,1465,2,70,66,0
1615,0,1539,3,76,71,0
1626,0,1619,0,7,3,0
1655,0,1630,1,25,21,0
1744,0,1659,2,85,84,0
1848,0,1748,3,100,95,0
1919,0,1852,0,67,63,0
1975,0,1923,1,52,51,0
1986,0,1979,2,7,3,0
2078,0,1990,3,88,79,0
2167,0,2082,0,85,84,0
2199,0,2171,1,28,21,0
2309,0,2203,2,106,102,0
2368,0,2313,3,55,54,0
2460,0,2372,0,88,84,0
2582,0,2464,1,118,109,0
2653,0,2586,2,67,60,0
2742,0,2657,3,85,81,0
2849,0,2746,0,103,93,0
2881,0,2853,1,28,27,0
2925,0,2885,2,40,32,0
2963,0,2929,3,34,33,0
2998,0,2967,0,31,27,0
3069,0,3002,1,67,66,0
3167,0,3073,2,94,87,0
3235,0,3171,3,64,57,0
3339,0,3239,0,100,93,0
3371,0,3343,1,28,23,0
3472,0,3375,2,97,96,0
3582,0,3476,3,106,98,0
3665,0,3586,0,79,75,0
3706,0,3669,1,37,32,0
3741,0,3710,2,31,22,0
3812,0,3745,3,67,58,0
3859,0,3816,0,43,36,0
3969,0,3863,1,106,91,0
4043,0,3973,2,70,61,0
4066,0,4047,3,19,15,0
4095,0,4070,0,25,10,0
4139,0,4099,1,40,33,0
4174,0,4143,2,31,22,0
4287,0,4178,3,109,102,0
4298,0,4291,0,7,0,1
4324,0,4302,1,22,15,0
4422,0,4328,2,94,87,0
4460,0,4426,3,34,24,0
4519,0,4464,0,55,41,0
4611,0,4523,1,88,78,0
4655,0,4615,2,40,26,0
4732,0,4659,3,73,69,0
4746,0,4736,0,10,1,0
4805,0,4750,1,55,50,0
4903,0,4809,2,94,87,0
4917,0,4907,3,10,1,0
4991,0,4921,0,70,63,0
5083,0,4995,1,88,73,0
5181,0,5087,2,94,82,0
5216,0,5185,3,31,16,0
5239,0,5220,0,19,9,0
5313,0,5243,1,70,53,0
5414,0,5317,2,97,96,0
5503,0,5418,3,85,73,0
5592,0,5507,0,85,73,0
5684,0,5596,1,88,81,0
5716,0,5688,2,28,16,0
5787,0,5720,3,67,55,0
5846,0,5791,0,55,45,0
5899,0,5850,1,49,39,0
6012,0,5903,2,109,100,0
6044,0,6016,3,28,9,0
6166,0,6048,0,118,117,0
6279,0,6170,1,109,95,0
6344,0,6283,2,61,52,0
6442,0,6348,3,94,80,0
6486,0,6446,0,40,30,0
6572,0,6490,1,82,73,0
6661,0,6576,2,85,77,0
6720,0,6665,3,55,43,0
6776,0,6724,0,52,43,0
6847,0,6780,1,67,58,0
6936,0,6851,2,85,76,0
6953,0,6940,3,13,0,2
6997,0,6957,0,40,30,0
7101,0,7001,1,100,96,0
7130,0,7105,2,25,18,0
7222,0,7134,3,88,69,0
7272,0,7226,0,46,39,0
7310,0,7276,1,34,15,0
7381,0,7314,2,67,45,0
7443,0,7385,3,58,16,0
7559,0,7447,0,112,69,0
7645,0,7563,1,82,16,0
7764,0,7649,2,115,59,0
7793,0,7768,3,25,0,25
7891,0,7797,0,94,26,0
7989,0,7895,1,94,36,0
8051,0,7993,2,58,0,3
8101,0,8055,3,46,0,13
8127,0,8105,0,22,0,17
8243,0,8131,1,112,85,0
8257,0,8247,2,10,0,21
8334,0,8261,3,73,0,5
8423,0,8338,0,85,4,0
8494,0,8427,1,67,9,0
8568,0,8498,2,70,0,10
8630,0,8572,3,58,0,10
8662,0,8634,0,28,0,20
8772,0,8666,1,106,47,0
8891,0,8776,2,115,41,0
8968,0,8895,3,73,0,1
9030,0,8972,0,58,0,9
9044,0,9034,1,10,0,18
9112,0,9048,2,64,35,0
9171,0,9116,3,55,0,10
9215,0,9175,0,40,0,17
9229,0,9219,1,10,0,26
9306,0,9233,2,73,41,0
9332,0,9310,3,22,0,30
9358,0,9336,0,22,0,31
9474,0,9362,1,112,19,0
9542,0,9478,2,64,28,0
9595,0,9546,3,49,0,11
9684,0,9599,0,85,11,0
9698,0,9688,1,10,0,25
9751,0,9702,2,49,18,0
9771,0,9755,3,16,0,30
9866,0,9775,0,91,46,0
9901,0,9870,1,31,0,24
9939,0,9905,2,34,0,6
10001,0,9943,3,58,0,13
10060,0,10005,0,55,11,0
10083,0,10064,1,19,0,29
10106,0,10087,2,19,0,14
10162,0,10110,3,52,0,7
10266,0,10166,0,100,68,0
10310,0,10270,1,40,0,17
10396,0,10314,2,82,14,0
10413,0,10400,3,13,0,34
10529,0,10417,0,112,57,0
10561,0,10533,1,28,0,28
10644,0,10565,2,79,30,0
10658,0,10648,3,10,0,35
10696,0,10662,0,34,11,0
10773,0,10700,1,73,0,1
10790,0,10777,2,13,0,7
10888,0,10794,3,94,16,0
10962,0,10892,0,70,21,0
10973,0,10966,1,7,0,36
11044,0,10977,2,67,0,12
11097,0,11048,3,49,0,6
11207,0,11101,0,106,53,0
11233,0,11211,1,22,0,30
11331,0,11237,2,94,2,0
11366,0,11335,3,31,0,20
11407,0,11370,0,37,0,4
11442,0,11411,1,31,0,27
11531,0,11446,2,85,41,0
11605,0,11535,3,70,0,1
11715,0,11609,0,106,22,0
11792,0,11719,1,73,0,4
11845,0,11796,2,49,0,16
11904,0,11849,3,55,0,9
11975,0,11908,0,67,6,0
12055,0,11979,1,76,0,1
12126,0,12059,2,67,0,11
12212,0,12130,3,82,9,0
12277,0,12216,0,61,0,13
12309,0,12281,1,28,0,28
12425,0,12313,2,112,16,0
12520,0,12429,3,91,21,0
12567,0,12524,0,43,0,13
12617,0,12571,1,46,0,17
12652,0,12621,2,31,0,27
12672,0,12656,3,16,0,17
12716,0,12676,0,40,0,18
12790,0,12720,1,70,0,7
12912,0,12794,2,118,36,0
12989,0,12916,3,73,0,9
13006,0,12993,0,13,0,34
13035,0,13010,1,25,0,30
13157,0,13039,2,118,40,0
13168,0,13161,3,7,0,36
13284,0,13172,0,112,35,0
13349,0,13288,1,61,0,14
13444,0,13353,2,91,23,0
13464,0,13448,3,16,0,33
13496,0,13468,0,28,0,19
13534,0,13500,1,34,0,25
13566,0,13538,2,28,0,8
13592,0,13570,3,22,0,31
13639,0,13596,0,43,0,18
13650,0,13643,1,7,0,34
13757,0,13654,2,103,51,0
13810,0,13761,3,49,0,17
13869,0,13814,0,55,0,13
13946,0,13873,1,73,0,8
14035,0,13950,2,85,17,0
14091,0,14039,3,52,0,19
14114,0,14095,0,19,0,32
14146,0,14118,1,28,0,27
14244,0,14150,2,94,30,0
14345,0,14248,3,97,4,0
14395,0,14349,0,46,0,19
14457,0,14399,1,58,0,10
14537,0,14461,2,76,0,4
14596,0,14541,3,55,0,12
14658,0,14600,0,58,0,14
14729,0,14662,1,67,0,11
14812,0,14733,2,79,0,5
14880,0,14816,3,64,0,10
14957,0,14884,0,73,0,7
14986,0,14961,1,25,0,29
15003,0,14990,2,13,0,31
15092,0,15007,3,85,2,0
15127,0,15096,0,31,0,18
15168,0,15131,1,37,0,24
15254,0,15172,2,82,0,6
15295,0,15258,3,37,0,23
15321,0,15299,0,22,0,31
15395,0,15325,1,70,0,10
15514,0,15399,2,115,43,0
15588,0,15518,3,70,0,10
15638,0,15592,0,46,0,22
15652,0,15642,1,10,0,35
15714,0,15656,2,58,19,0
15761,0,15718,3,43,0,19
15865,0,15765,0,100,11,0
15927,0,15869,1,58,0,13
16007,0,15931,2,76,0,6
16126,0,16011,3,115,22,0
16230,0,16130,0,100,38,0
16247,0,16234,1,13,0,34
16318,0,16251,2,67,0,11
16329,0,16322,3,7,0,27
16409,0,16333,0,76,44,0
16525,0,16413,1,112,28,0
16572,0,16529,2,43,0,18
16601,0,16576,3,25,0,29
16672,0,16605,0,67,11,0
16764,0,16676,1,88,48,0
16874,0,16768,2,106,31,0
16903,0,16878,3,25,0,29
16953,0,16907,0,46,0,15
17060,0,16957,1,103,47,0
17095,0,17064,2,31,0,15
17127,0,17099,3,28,0,28
17162,0,17131,0,31,0,28
17242,0,17166,1,76,50,0
17292,0,17246,2,46,0,15
17312,0,17296,3,16,0,33
17329,0,17316,0,13,0,34
17346,0,17333,1,13,0,8
17447,0,17350,2,97,42,0
17488,0,17451,3,37,0,23
17523,0,17492,0,31,0,20
17615,0,17527,1,88,1,0
17650,0,17619,2,31,0,15
17679,0,17654,3,25,0,26
17768,0,17683,0,85,1,0
17818,0,17772,1,46,0,6
17907,0,17822,2,85,0,2
17933,0,17911,3,22,0,30
17959,0,17937,0,22,0,31
18015,0,17963,1,52,0,6
18122,0,18019,2,103,68,0
18220,0,18126,3,94,0,0
18303,0,18224,0,79,0,3
18407,0,18307,1,100,27,0
18505,0,18411,2,94,93,0
18555,0,18509,3,46,0,19
18566,0,18559,0,7,0,36
18658,0,18570,1,88,34,0
18711,0,18662,2,49,48,0
18800,0,18715,3,85,0,1
18880,0,18804,0,76,0,0
18894,0,18884,1,10,0,34
18914,0,18898,2,16,15,0
18988,0,18918,3,70,23,0
19035,0,18992,0,43,0,3
19130,0,19039,1,91,14,0
19213,0,19134,2,79,78,0
19308,0,19217,3,91,0,1
19415,0,19312,0,103,28,0
19504,0,19419,1,85,2,0
19566,0,19508,2,58,57,0
19670,0,19570,3,100,11,0
19732,0,19674,0,58,0,12
19743,0,19736,1,7,0,36
19781,0,19747,2,34,33,0
19843,0,19785,3,58,15,0
19926,0,19847,0,79,0,1
20015,0,19930,1,85,1,0
20041,0,20019,2,22,21,0
20112,0,20045,3,67,0,2
20165,0,20116,0,49,0,18
20275,0,20169,1,106,47,0
20340,0,20279,2,61,60,0
20450,0,20344,3,106,14,0
20560,0,20454,0,106,15,0
