step,vehicle_id,departDelay,duration,routeLength,waitingTime,waitingCount,timeLoss
39.00,1_0,0.00,39.00,596.93,0.00,0,9.32
68.00,1_1,0.00,53.00,615.10,8.00,1,18.66
83.00,1_3,0.00,38.00,596.93,0.00,0,8.64
108.00,1_4,0.00,48.00,615.10,2.00,1,16.68
109.00,1_2,0.00,79.00,617.75,32.00,1,46.20
149.00,1_7,0.00,44.00,596.93,0.00,0,8.80
202.00,1_11,0.00,37.00,615.10,0.00,0,5.92
246.00,1_9,0.00,111.00,615.10,64.00,1,73.88
247.00,1_5,0.00,172.00,596.93,122.00,1,133.39
251.00,1_14,0.00,41.00,596.93,0.00,0,9.36
323.00,1_6,0.00,233.00,615.10,189.00,1,202.51
325.00,1_15,0.00,100.00,615.10,53.00,1,65.32
325.00,1_18,0.00,55.00,615.10,7.00,1,20.75
328.00,1_8,0.00,208.00,596.93,160.00,1,173.67
329.00,1_10,0.00,179.00,596.93,132.00,1,149.67
331.00,1_19,0.00,46.00,596.93,0.00,0,18.33
362.00,1_12,0.00,182.00,615.10,137.00,1,151.15
363.00,1_13,0.00,168.00,596.93,124.00,1,138.95
365.00,1_16,0.00,125.00,617.75,76.00,1,87.17
471.00,1_28,0.00,51.00,617.75,8.00,1,21.58
472.00,1_17,0.00,217.00,596.93,172.00,1,183.30
472.00,1_22,0.00,142.00,615.10,97.00,1,109.18
476.00,1_23,0.00,131.00,596.93,82.00,1,94.85
487.00,1_30,0.00,37.00,617.75,0.00,0,8.96
521.00,1_32,0.00,41.00,596.93,0.00,0,8.63
553.00,1_33,0.00,58.00,615.10,15.00,1,30.42
555.00,1_20,0.00,255.00,596.93,211.00,1,223.21
557.00,1_21,0.00,242.00,596.93,197.00,1,210.87
557.00,1_26,0.00,167.00,617.75,120.00,1,131.30
564.00,1_24,0.00,204.00,596.93,151.00,1,164.76
566.00,1_35,0.00,41.00,596.93,0.00,0,9.45
588.00,1_37,0.00,33.00,615.10,0.00,0,5.81
640.00,1_40,0.00,40.00,596.93,0.00,0,9.54
654.00,1_27,0.00,249.00,615.10,202.00,1,215.35
654.00,1_34,0.00,144.00,617.75,97.00,1,110.78
655.00,1_25,0.00,280.00,596.93,230.00,1,243.27
657.00,1_36,0.00,117.00,617.75,70.00,1,83.09
665.00,1_42,0.00,35.00,615.10,0.00,0,5.68
699.00,1_44,0.00,39.00,596.93,0.00,0,8.44
718.00,1_31,0.00,253.00,617.75,209.00,1,224.16
719.00,1_29,0.00,284.00,596.93,237.00,1,249.40
763.00,1_38,0.00,193.00,615.10,150.00,1,163.98
768.00,1_39,0.00,183.00,615.10,134.00,1,146.92
768.00,1_41,0.00,153.00,596.93,106.00,1,118.99
877.00,1_43,0.00,232.00,596.93,189.00,1,201.20
879.00,1_45,0.00,204.00,596.93,161.00,1,174.68
879.00,1_46,0.00,189.00,615.10,143.00,1,156.35
879.00,1_51,0.00,114.00,615.10,71.00,1,86.04
881.00,1_53,0.00,86.00,596.93,42.00,1,56.94
882.00,1_50,0.00,132.00,617.75,81.00,1,93.19
894.00,1_57,0.00,39.00,617.75,0.00,0,9.33
926.00,1_59,0.00,41.00,596.93,0.00,0,8.71
956.00,1_61,0.00,41.00,615.10,0.00,0,11.77
959.00,1_47,0.00,254.00,596.93,206.00,1,218.51
961.00,1_48,0.00,241.00,617.75,192.00,1,203.08
963.00,1_49,0.00,228.00,596.93,178.00,1,190.57
965.00,1_54,0.00,155.00,596.93,105.00,1,122.72
1017.00,1_60,0.00,117.00,615.10,73.00,1,87.67
1017.00,1_63,0.00,72.00,615.10,26.00,1,39.57
1018.00,1_52,0.00,238.00,617.75,192.00,1,205.29
1019.00,1_62,0.00,89.00,596.93,43.00,1,56.89
