step,tl_id,start_at_step,stage,stage_time,time_beyond_queue_clearance,residual_queue
21,0,-1,0,22,21,0
50,0,25,1,25,24,0
91,0,54,2,37,36,0
180,0,95,3,85,81,0
218,0,184,0,34,25,0
229,0,222,1,7,0,5
258,0,233,2,25,16,0
293,0,262,3,31,22,0
304,0,297,0,7,3,0
354,0,308,1,46,32,0
428,0,358,2,70,66,0
547,0,432,3,115,106,0
594,0,551,0,43,28,0
695,0,598,1,97,77,0
754,0,699,2,55,33,0
819,0,758,3,61,46,0
893,0,823,0,70,57,0
991,0,897,1,94,85,0
1113,0,995,2,118,100,0
1139,0,1117,3,22,2,0
1150,0,1143,0,7,0,3
1227,0,1154,1,73,60,0
1259,0,1231,2,28,21,0
1327,0,1263,3,64,55,0
1431,0,1331,0,100,78,0
1511,0,1435,1,76,62,0
1603,0,1515,2,88,69,0
1704,0,1607,3,97,75,0
1748,0,1708,0,40,11,0
1765,0,1752,1,13,0,0
1776,0,1769,2,7,0,2
1850,0,1780,3,70,63,0
1933,0,1854,0,79,70,0
1968,0,1937,1,31,16,0
2000,0,1972,2,28,10,0
2074,0,2004,3,70,58,0
2157,0,2078,0,79,67,0
2264,0,2161,1,103,93,0
2323,0,2268,2,55,25,0
2433,0,2327,3,106,89,0
2498,0,2437,0,61,44,0
2521,0,2502,1,19,1,0
2583,0,2525,2,58,43,0
2609,0,2587,3,22,15,0
2722,0,2613,0,109,100,0
2826,0,2726,1,100,79,0
2864,0,2830,2,34,16,0
2905,0,2868,3,37,24,0
2979,0,2909,0,70,52,0
2999,0,2983,1,16,7,0
3097,0,3003,2,94,87,0
3123,0,3101,3,22,9,0
3200,0,3127,0,73,61,0
3247,0,3204,1,43,17,0
3333,0,3251,2,82,75,0
3449,0,3337,3,112,100,0
3481,0,3453,0,28,11,0
3540,0,3485,1,55,38,0
3596,0,3544,2,52,42,0
3640,0,3600,3,40,29,0
3699,0,3644,0,55,40,0
3812,0,3703,1,109,99,0
3913,0,3816,2,97,78,0
3975,0,3917,3,58,34,0
4046,0,3979,0,67,42,0
4114,0,4050,1,64,44,0
4143,0,4118,2,25,13,0
4247,0,4147,3,100,83,0
4330,0,4251,0,79,69,0
4440,0,4334,1,106,99,0
4463,0,4444,2,19,0,6
4483,0,4467,3,16,0,2
4551,0,4487,0,64,50,0
4562,0,4555,1,7,0,0
4639,0,4566,2,73,47,0
4704,0,4643,3,61,46,0
4823,0,4708,0,115,103,0
4927,0,4827,1,100,75,0
5037,0,4931,2,106,92,0
5072,0,5041,3,31,0,2
5137,0,5076,0,61,40,0
5187,0,5141,1,46,39,0
5201,0,5191,2,10,0,5
5239,0,5205,3,34,25,0
5307,0,5243,0,64,60,0
5375,0,5311,1,64,59,0
5497,0,5379,2,118,93,0
5586,0,5501,3,85,59,0
5675,0,5590,0,85,59,0
5707,0,5679,1,28,8,0
5823,0,5711,2,112,79,0
5927,0,5827,3,100,90,0
6028,0,5931,0,97,75,0
6120,0,6032,1,88,61,0
6200,0,6124,2,76,59,0
6286,0,6204,3,82,68,0
6393,0,6290,0,103,81,0
6446,0,6397,1,49,34,0
6547,0,6450,2,97,79,0
6561,0,6551,3,10,0,4
6680,0,6565,0,115,91,0
6757,0,6684,1,73,56,0
6873,0,6761,2,112,103,0
6986,0,6877,3,109,79,0
7024,0,6990,0,34,4,0
7038,0,7028,1,10,0,6
7106,0,7042,2,64,52,0
7147,0,7110,3,37,28,0
7257,0,7151,0,106,91,0
7316,0,7261,1,55,37,0
7408,0,7320,2,88,76,0
