step,tl_id,previous_state,current_state,action,reward
123,0,0_0_1_0_1,1_0_1_2_2,31,-0.05827976551738678
191,0,1_0_1_2_2,2_2_0_2_3,21,-0.045872509585127896
208,0,2_2_0_2_3,2_2_1_1_0,4,0.8479629251878377
285,0,2_2_1_1_0,0_3_2_2_1,24,-0.06293052867265114
353,0,0_3_2_2_1,2_0_2_3_2,21,0.09644348815843706
391,0,2_0_2_3_2,2_1_0_3_3,11,0.5830961370295713
411,0,2_1_0_3_3,2_1_1_1_0,5,0.8741864470686571
488,0,2_1_1_1_0,0_2_2_1_1,24,-0.0009534754579901827
604,0,0_2_2_1_1,2_0_3_2_2,37,-0.32275447533547674
714,0,2_0_3_2_2,3_1_0_3_3,35,-0.3722513064900509
758,0,3_1_0_3_3,4_1_1_0_0,13,0.5444822132244813
853,0,4_1_1_0_0,0_2_2_1_1,30,-0.11968167436561594
888,0,0_2_2_1_1,1_0_2_2_2,10,0.612674685550159
956,0,1_0_2_2_2,1_1_0_2_3,21,0.05964647606388884
1000,0,1_1_0_2_3,2_2_1_0_0,13,0.6087592826722146
1017,0,2_2_1_0_0,0_2_1_1_1,4,0.8910250105439729
1112,0,0_2_1_1_1,2_0_2_2_2,30,-0.07718891087518254
1144,0,2_0_2_2_2,2_1_0_3_3,9,0.702970745342874
1164,0,2_1_0_3_3,2_1_1_0_0,5,0.8781309720997853
1205,0,2_1_1_0_0,0_1_1_1_1,12,0.6171806264732453
1240,0,0_1_1_1_1,1_0_1_1_2,10,0.6921617689362329
1347,0,1_0_1_1_2,2_1_0_2_3,34,-0.14273313319530978
1367,0,2_1_0_2_3,3_1_1_0_0,5,0.8036550622713282
1477,0,3_1_1_0_0,0_3_2_1_1,35,-0.19898438026984222
1542,0,0_3_2_1_1,2_0_2_2_2,20,0.130425585680775
1574,0,2_0_2_2_2,3_1_0_2_3,9,0.6818175382151623
1600,0,3_1_0_2_3,3_1_1_0_0,7,0.814206082606982
1710,0,3_1_1_0_0,0_2_2_3_1,35,-0.13659395504928862
1784,0,0_2_2_3_1,1_0_3_3_2,23,-0.1445489079742489
1834,0,1_0_3_3_2,2_1_0_3_3,15,0.3023508603117718
1854,0,2_1_0_3_3,2_1_1_1_0,5,0.8736885679045768
1913,0,2_1_1_1_0,1_2_1_2_1,18,0.18756853519453454
2017,0,1_2_1_2_1,2_0_2_3_2,33,-0.2667147676892082
2043,0,2_0_2_3_2,2_0_0_3_3,7,0.6758542363662968
2165,0,2_0_0_3_3,3_1_2_0_0,39,-0.2906541643871162
2236,0,3_1_2_0_0,0_2_3_1_1,22,0.012473646809611605
2334,0,0_2_3_1_1,1_0_4_2_2,31,-0.392111515191529
2357,0,1_0_4_2_2,2_1_1_2_3,6,0.7611565613868858
2383,0,2_1_1_2_3,2_1_2_0_0,7,0.7629944055158934
2445,0,2_1_2_0_0,0_2_3_1_1,19,0.0838569106859477
2543,0,0_2_3_1_1,1_0_4_1_2,31,-0.36402838825576866
2602,0,1_0_4_1_2,2_1_0_3_3,18,0.4625778846365741
2622,0,2_1_0_3_3,2_1_1_1_0,5,0.8618299914510282
2654,0,2_1_1_1_0,0_2_1_1_1,9,0.7995523272006078
2749,0,0_2_1_1_1,2_0_1_2_2,30,-0.11987910907731403
2790,0,2_0_1_2_2,3_1_0_2_3,12,0.4509625900472921
2816,0,3_1_0_2_3,3_1_1_0_0,7,0.7864095724860174
2926,0,3_1_1_0_0,0_2_2_1_1,35,-0.13360877079793398
2961,0,0_2_2_1_1,1_1_2_2_2,10,0.6330990467129978
3056,0,1_1_2_2_2,2_2_0_2_3,30,-0.16746885113360133
3169,0,2_2_0_2_3,3_4_1_1_0,36,-0.34313275544891175
3222,0,3_4_1_1_0,0_4_1_1_1,16,0.33075871822854597
3245,0,0_4_1_1_1,2_1_1_2_2,6,0.8568511998102255
3346,0,2_1_1_2_2,2_3_0_2_3,32,-0.23465911711060028
3468,0,2_3_0_2_3,3_4_1_0_0,39,-0.49281599586288105
3539,0,3_4_1_0_0,0_4_2_2_1,22,-0.21503084843374187
3586,0,0_4_2_2_1,1_0_2_2_2,14,0.6535309819289974
3654,0,1_0_2_2_2,2_1_0_2_3,21,0.06372648866875241
3674,0,2_1_0_2_3,2_1_1_0_0,5,0.8493567500171608
3715,0,2_1_1_0_0,0_2_1_1_1,12,0.641653253808155
3810,0,0_2_1_1_1,1_0_2_2_2,30,-0.11864662139971993
3878,0,1_0_2_2_2,2_1_0_3_3,21,-0.0011739900027364358
3889,0,2_1_0_3_3,2_1_1_1_0,2,0.8111368401992178
3921,0,2_1_1_1_0,0_2_1_3_1,9,0.720231124014181
3992,0,0_2_1_3_1,1_0_1_3_2,22,-0.06360802388016673
4060,0,1_0_1_3_2,2_1_0_4_3,21,-0.1907778535300101
4137,0,2_1_0_4_3,2_2_1_0_0,24,0.09380883624977976
4148,0,2_2_1_0_0,1_2_1_1_1,2,0.8231651481859755
4201,0,1_2_1_1_1,1_0_2_1_2,16,0.2760830303988481
4233,0,1_0_2_1_2,2_1_0_1_3,9,0.7599290405831709
4250,0,2_1_0_1_3,2_1_1_0_0,4,0.805204829793628
4291,0,2_1_1_0_0,0_1_1_1_1,12,0.6843821830085397
4326,0,0_1_1_1_1,1_0_3_1_2,10,0.5599076034964956
4400,0,1_0_3_1_2,1_2_0_2_3,23,0.09334575708832804
4459,0,1_2_0_2_3,2_2_1_1_0,18,0.24298047875774098
4563,0,2_2_1_1_0,0_2_2_2_1,33,-0.20651538284629645
4625,0,0_2_2_2_1,1_0_2_3_2,19,0.06397003271160473
4651,0,1_0_2_3_2,1_2_0_3_3,7,0.7378380653993217
4725,0,1_2_0_3_3,2_3_1_0_0,23,0.05027355167761005
4838,0,2_3_1_0_0,0_4_2_2_1,36,-0.28498481118543184
4894,0,0_4_2_2_1,1_0_2_2_2,17,0.47277578029460704
4962,0,1_0_2_2_2,2_1_0_4_3,21,-0.07580606340013363
5039,0,2_1_0_4_3,3_1_1_0_0,24,0.13696383886430485
5149,0,3_1_1_0_0,0_1_3_1_1,35,-0.12407677716659438
5172,0,0_1_3_1_1,1_0_3_1_2,6,0.7620585550625089
5246,0,1_0_3_1_2,1_1_0_2_3,23,0.1753910579828648
5266,0,1_1_0_2_3,1_1_0_0_0,5,0.8830873239915511
5295,0,1_1_0_0_0,0_2_1_1_1,8,0.738791670532428
5309,0,0_2_1_1_1,0_0_1_2_2,3,0.9321040669612408
5383,0,0_0_1_2_2,1_1_0_2_3,23,-0.010406403757151517
5403,0,1_1_0_2_3,2_2_0_0_0,5,0.8863744580180357
5489,0,2_2_0_0_0,0_3_1_2_1,27,-0.08613587030474257
5545,0,0_3_1_2_1,2_0_2_2_2,17,0.35080275157525465
5577,0,2_0_2_2_2,2_1_0_2_3,9,0.6675873783865321
5594,0,2_1_0_2_3,2_1_1_1_0,4,0.8873802449167846
5626,0,2_1_1_1_0,0_1_2_1_1,9,0.8428507648700818
5652,0,0_1_2_1_1,1_0_2_1_2,7,0.8137518915606963
5684,0,1_0_2_1_2,1_1_0_1_3,9,0.8255608558060288
5713,0,1_1_0_1_3,1_1_2_0_0,8,0.7088294054973749
5823,0,1_1_2_0_0,0_2_3_2_1,35,-0.17832755431885638
5909,0,0_2_3_2_1,2_0_3_2_2,27,-0.2584380336401695
5980,0,2_0_3_2_2,3_2_0_3_3,22,-0.0005863716594814994
6009,0,3_2_0_3_3,3_2_1_0_0,8,0.7241633615404349
6092,0,3_2_1_0_0,1_3_2_1_1,26,-0.10223116322332171
6154,0,1_3_2_1_1,2_0_2_2_2,19,0.264609178753907
6186,0,2_0_2_2_2,2_1_0_2_3,9,0.6970414571160997
6206,0,2_1_0_2_3,2_1_1_0_0,5,0.8569939296195255
6295,0,2_1_1_0_0,0_2_1_1_1,28,-0.05820371765628407
6309,0,0_2_1_1_1,1_1_1_1_2,3,0.8881383790984523
6368,0,1_1_1_1_2,2_1_0_2_3,18,0.16859048121895004
6388,0,2_1_0_2_3,2_1_1_0_0,5,0.8819895356214075
6429,0,2_1_1_0_0,0_2_1_1_1,12,0.7011387606587873
6506,0,0_2_1_1_1,2_0_2_1_2,24,0.0008938666681969076
6529,0,2_0_2_1_2,2_1_0_1_3,6,0.8554679944946418
6546,0,2_1_0_1_3,2_1_0_0_0,4,0.8721433990395793
6620,0,2_1_0_0_0,0_2_1_2_1,23,0.09420704844598848
6664,0,0_2_1_2_1,1_0_1_3_2,13,0.5197997725946719
6732,0,1_0_1_3_2,1_1_0_3_3,21,-0.020162409096388445
6824,0,1_1_0_3_3,3_1_2_0_0,29,-0.0777884615574862
6895,0,3_1_2_0_0,0_3_2_1_1,22,0.1104800619658981
6936,0,0_3_2_1_1,0_1_2_1_2,12,0.661686378748626
6989,0,0_1_2_1_2,2_1_0_1_3,16,0.45175752450992473
7006,0,2_1_0_1_3,2_1_1_0_0,4,0.8693694542121518
7047,0,2_1_1_0_0,0_1_2_1_1,12,0.6332816760770271
7073,0,0_1_2_1_1,2_0_2_1_2,7,0.7887843830256247
7096,0,2_0_2_1_2,2_1_0_2_3,6,0.8499008002053805
7209,0,2_1_0_2_3,3_1_2_0_0,36,-0.18530022202490348
7253,0,3_1_2_0_0,0_1_2_0_1,13,0.5543395399814344
7312,0,0_1_2_0_1,0_0_2_0_2,18,0.1254616986304956
