step,tl_id,start_at_step,stage,stage_time,time_beyond_queue_clearance,residual_queue
21,0,-1,0,22,21,0
119,0,25,1,94,93,0
187,0,123,2,64,62,0
204,0,191,3,13,0,1
281,0,208,0,73,62,0
349,0,285,1,64,47,0
387,0,353,2,34,22,0
407,0,391,3,16,0,1
484,0,411,0,73,58,0
600,0,488,1,112,100,0
710,0,604,2,106,89,0
754,0,714,3,40,22,0
849,0,758,0,91,69,0
884,0,853,1,31,22,0
952,0,888,2,64,52,0
996,0,956,3,40,26,0
1013,0,1000,0,13,3,0
1108,0,1017,1,91,79,0
1140,0,1112,2,28,19,0
1160,0,1144,3,16,2,0
1201,0,1164,0,37,28,0
1236,0,1205,1,31,24,0
1343,0,1240,2,103,96,0
1363,0,1347,3,16,6,0
1473,0,1367,0,106,88,0
1538,0,1477,1,61,46,0
1570,0,1542,2,28,18,0
1596,0,1574,3,22,11,0
1706,0,1600,0,106,84,0
1780,0,1710,1,70,61,0
1830,0,1784,2,46,34,0
1850,0,1834,3,16,0,2
1909,0,1854,0,55,46,0
2013,0,1913,1,100,91,0
2039,0,2017,2,22,7,0
2161,0,2043,3,118,96,0
2232,0,2165,0,67,49,0
2330,0,2236,1,94,82,0
2353,0,2334,2,19,0,5
2379,0,2357,3,22,7,0
2441,0,2383,0,58,46,0
2539,0,2445,1,94,85,0
2598,0,2543,2,55,30,0
2618,0,2602,3,16,0,1
2650,0,2622,0,28,16,0
2745,0,2654,1,91,82,0
2786,0,2749,2,37,30,0
2812,0,2790,3,22,10,0
2922,0,2816,0,106,89,0
2957,0,2926,1,31,22,0
3052,0,2961,2,91,78,0
3165,0,3056,3,109,98,0
3218,0,3169,0,49,30,0
3241,0,3222,1,19,0,4
3342,0,3245,2,97,93,0
3464,0,3346,3,118,107,0
3535,0,3468,0,67,47,0
3582,0,3539,1,43,15,0
3650,0,3586,2,64,50,0
3670,0,3654,3,16,5,0
3711,0,3674,0,37,26,0
3806,0,3715,1,91,81,0
3874,0,3810,2,64,52,0
3885,0,3878,3,7,0,5
3917,0,3889,0,28,16,0
3988,0,3921,1,67,57,0
4056,0,3992,2,64,56,0
4133,0,4060,3,73,46,0
4144,0,4137,0,7,0,3
4197,0,4148,1,49,40,0
4229,0,4201,2,28,14,0
4246,0,4233,3,13,9,0
4287,0,4250,0,37,25,0
4322,0,4291,1,31,30,0
4396,0,4326,2,70,53,0
4455,0,4400,3,55,43,0
4559,0,4459,0,100,86,0
4621,0,4563,1,58,46,0
4647,0,4625,2,22,10,0
4721,0,4651,3,70,53,0
4834,0,4725,0,109,95,0
4890,0,4838,1,52,29,0
4958,0,4894,2,64,57,0
5035,0,4962,3,73,48,0
5145,0,5039,0,106,86,0
5168,0,5149,1,19,12,0
5242,0,5172,2,70,48,0
5262,0,5246,3,16,4,0
5291,0,5266,0,25,20,0
5305,0,5295,1,10,1,0
5379,0,5309,2,70,65,0
5399,0,5383,3,16,4,0
5485,0,5403,0,82,72,0
5541,0,5489,1,52,38,0
5573,0,5545,2,28,19,0
5590,0,5577,3,13,0,1
5622,0,5594,0,28,12,0
5648,0,5626,1,22,15,0
5680,0,5652,2,28,16,0
5709,0,5684,3,25,24,0
5819,0,5713,0,106,99,0
5905,0,5823,1,82,67,0
5976,0,5909,2,67,47,0
6005,0,5980,3,25,10,0
6088,0,6009,0,79,65,0
6150,0,6092,1,58,40,0
6182,0,6154,2,28,19,0
6202,0,6186,3,16,4,0
6291,0,6206,0,85,72,0
6305,0,6295,1,10,0,1
6364,0,6309,2,55,48,0
6384,0,6368,3,16,2,0
6425,0,6388,0,37,22,0
6502,0,6429,1,73,63,0
6525,0,6506,2,19,9,0
6542,0,6529,3,13,8,0
6616,0,6546,0,70,56,0
6660,0,6620,1,40,31,0
6728,0,6664,2,64,57,0
6820,0,6732,3,88,66,0
6891,0,6824,0,67,48,0
6932,0,6895,1,37,19,0
6985,0,6936,2,49,35,0
7002,0,6989,3,13,6,0
7043,0,7006,0,37,25,0
7069,0,7047,1,22,15,0
7092,0,7073,2,19,9,0
7205,0,7096,3,109,100,0
7249,0,7209,0,40,25,0
7308,0,7253,1,55,48,0
