step,tl_id,previous_state,current_state,action,reward
25,0,0_0_0_1_3,1_1_1_1_1,15,0.9969371753405861
93,0,1_1_1_1_1,1_1_1_2_2,21,0.972586453668221
140,0,1_1_1_2_2,1_2_1_2_3,14,0.9548999068901304
214,0,1_2_1_2_3,2_2_1_1_0,23,0.9293019068285702
276,0,2_2_1_1_0,1_3_2_2_1,19,0.9210893854748603
380,0,1_3_2_2_1,2_1_3_3_2,33,0.9033311787247795
493,0,2_1_3_3_2,3_2_1_3_3,36,0.8874601782169075
606,0,3_2_1_3_3,4_3_2_1_0,36,0.8874601782169076
728,0,4_3_2_1_0,1_3_4_2_1,39,0.8802460870769657
802,0,1_3_4_2_1,2_1_4_3_2,23,0.8881815873309017
825,0,2_1_4_3_2,2_1_2_3_3,6,0.9314661341705527
845,0,2_1_2_3_3,2_1_2_1_0,5,0.948957248366632
964,0,2_1_2_1_0,0_3_3_2_1,38,0.9067409158191281
1062,0,0_3_3_2_1,1_1_4_3_2,31,0.8861731843575419
1160,0,1_1_4_3_2,2_2_1_4_3,31,0.893231451128861
1276,0,2_2_1_4_3,4_3_2_1_0,37,0.885295950874925
1290,0,4_3_2_1_0,2_3_2_1_1,3,0.9211569652189584
1403,0,2_3_2_1_1,5_1_3_2_2,36,0.8788032688489773
1423,0,5_1_3_2_2,5_1_1_2_3,5,0.907077851865201
1542,0,5_1_1_2_3,6_3_2_1_0,38,0.8676094040968343
1631,0,6_3_2_1_0,1_3_2_3_1,28,0.9127094972067039
1681,0,1_3_2_3_1,1_1_3_3_2,15,0.9231843575418994
1779,0,1_1_3_3_2,2_2_1_3_3,31,0.904773996952768
1817,0,2_2_1_3_3,3_2_1_0_0,11,0.9321073867163253
1870,0,3_2_1_0_0,1_3_1_1_1,16,0.9408444526524771
1956,0,1_3_1_1_1,2_1_2_2_2,27,0.9252852476091279
2051,0,2_1_2_2_2,4_1_1_3_3,30,0.9184807701186574
2122,0,4_1_1_3_3,4_2_2_0_0,22,0.9097252065129161
2142,0,4_2_2_0_0,1_2_2_1_1,5,0.9391828464145069
2168,0,1_2_2_1_1,2_1_2_1_2,7,0.9505353817504656
2245,0,2_1_2_1_2,2_1_1_1_3,24,0.9511173184357542
2340,0,2_1_1_1_3,3_3_1_1_0,30,0.9170379518906691
2372,0,3_3_1_1_0,1_3_2_1_1,9,0.9381692271880819
2410,0,1_3_2_1_1,2_1_2_1_2,11,0.9534450651769087
2490,0,2_1_2_1_2,2_1_1_2_3,25,0.9480585437924188
2579,0,2_1_1_2_3,3_2_2_1_0,28,0.9141061452513967
2668,0,3_2_2_1_0,1_3_2_2_1,28,0.9120111731843575
2745,0,1_3_2_2_1,2_0_3_2_2,24,0.9134620015411289
2861,0,2_0_3_2_2,4_2_1_3_3,37,0.8997241331548086
2899,0,4_2_1_3_3,4_2_1_1_0,11,0.9199235883466458
2916,0,4_2_1_1_0,2_2_1_1_1,4,0.9515052762259466
3020,0,2_2_1_1_1,3_1_2_2_2,33,0.9203910614525139
3064,0,3_1_2_2_2,3_1_0_2_3,13,0.9171859332473857
3153,0,3_1_0_2_3,4_3_1_1_0,28,0.8952513966480447
3206,0,4_3_1_1_0,1_4_1_2_1,16,0.9329608938547486
3262,0,1_4_1_2_1,2_1_2_2_2,17,0.9439885940409684
3303,0,2_1_2_2_2,2_1_1_2_3,12,0.939568113450795
3416,0,2_1_1_2_3,3_2_2_1_0,36,0.9112666789787156
3430,0,3_2_2_1_0,2_2_2_1_1,3,0.9294401769087524
3477,0,2_2_2_1_1,2_0_2_2_2,14,0.9367896359083028
3527,0,2_0_2_2_2,2_1_1_2_3,15,0.9332484390404207
3580,0,2_1_1_2_3,3_1_2_1_0,16,0.9336303615125352
3696,0,3_1_2_1_0,1_2_3_2_1,37,0.922486033519553
3803,0,1_2_3_2_1,2_0_4_3_2,34,0.879882299575037
3877,0,2_0_4_3_2,3_2_1_4_3,23,0.8959788175046555
3978,0,3_2_1_4_3,4_3_1_1_0,32,0.9037566251253402
4061,0,4_3_1_1_0,1_3_2_2_1,26,0.9206449974606399
4096,0,1_3_2_2_1,1_1_3_3_2,10,0.9432984768180299
4176,0,1_1_3_3_2,1_2_1_3_3,25,0.9371508379888268
4256,0,1_2_1_3_3,2_2_2_1_0,25,0.9364525139664804
4309,0,2_2_2_1_0,1_2_3_1_1,16,0.9278590886005817
4371,0,1_2_3_1_1,1_1_4_2_2,19,0.9148737245486864
4493,0,1_1_4_2_2,3_2_1_3_3,39,0.905495406066762
4561,0,3_2_1_3_3,4_1_1_1_0,21,0.919983705772812
4668,0,4_1_1_1_0,1_4_2_2_1,34,0.9182960893854748
4688,0,1_4_2_2_1,1_1_2_2_2,5,0.9466558038485413
4747,0,1_1_2_2_2,2_2_0_3_3,18,0.9149477152270449
4824,0,2_2_0_3_3,2_3_1_0_0,24,0.9232445578886534
4922,0,2_3_1_0_0,0_3_2_2_1,31,0.9037566251253402
5029,0,0_3_2_2_1,2_1_3_4_2,34,0.8925100420148668
5049,0,2_1_3_4_2,2_1_1_4_3,5,0.9157195145444037
5111,0,2_1_1_4_3,3_1_2_0_0,19,0.9358377500835602
5125,0,3_1_2_0_0,2_1_3_0_1,3,0.9612042209807573
5160,0,2_1_3_0_1,2_1_3_1_2,10,0.9397996532460027
5243,0,2_1_3_1_2,2_1_0_2_3,26,0.938822040777348
5326,0,2_1_0_2_3,2_2_1_1_0,26,0.9308659217877095
5415,0,2_2_1_1_0,1_3_2_2_1,28,0.9205799523765913
5435,0,1_3_2_2_1,1_2_2_1_2,5,0.9484842934334646
5551,0,1_2_2_1_2,3_2_1_3_3,37,0.8990027240408145
5667,0,3_2_1_3_3,3_3_3_0_0,37,0.8575001193716278
5735,0,3_3_3_0_0,1_4_5_1_1,21,0.8686912094733323
5749,0,1_4_5_1_1,1_2_5_2_2,3,0.9045026977987872
5760,0,1_2_5_2_2,1_3_4_2_3,2,0.9235306339166167
5786,0,1_3_4_2_3,2_3_4_1_0,7,0.8968384966988319
5866,0,2_3_4_1_0,1_4_5_2_1,25,0.8708100558659218
5907,0,1_4_5_2_1,1_1_5_2_2,12,0.8993343395206344
5996,0,1_1_5_2_2,2_2_1_2_3,28,0.9246767435573977
6022,0,2_2_1_2_3,3_2_1_1_0,7,0.930895018621974
6132,0,3_2_1_1_0,1_3_2_2_1,35,0.9196927374301676
6197,0,1_3_2_2_1,1_1_2_2_2,20,0.9266759776536313
6295,0,1_1_2_2_2,3_2_1_3_3,31,0.9040525878387737
6321,0,3_2_1_3_3,3_2_1_1_0,7,0.9243482309124768
6437,0,3_2_1_1_0,1_3_2_2_1,37,0.9156436317543777
6502,0,1_3_2_2_1,2_1_2_3_2,20,0.928072625698324
6528,0,2_1_2_3_2,2_1_0_2_3,7,0.9397996532460027
6566,0,2_1_0_2_3,3_1_1_1_0,11,0.9556273277467412
6685,0,3_1_1_1_0,1_2_2_3_1,38,0.9155027932960894
6753,0,1_2_2_3_1,2_1_3_3_2,21,0.9040525878387737
6779,0,2_1_3_3_2,3_1_1_4_3,7,0.9172245232132537
6790,0,3_1_1_4_3,2_1_1_2_0,2,0.9570587042710398
6801,0,2_1_1_2_0,1_1_2_2_1,2,0.9528349702649126
6824,0,1_1_2_2_1,2_1_2_2_2,6,0.9359400342404037
6904,0,2_1_2_2_2,2_3_1_3_3,25,0.904773996952768
7023,0,2_3_1_3_3,4_4_2_2_0,38,0.8824103144189482
7115,0,4_4_2_2_0,1_4_3_1_1,29,0.8861731843575419
7198,0,1_4_3_1_1,2_0_4_2_2,26,0.8933116076970825
7275,0,2_0_4_2_2,2_0_0_2_3,24,0.9426145768673702
7334,0,2_0_0_2_3,2_0_0_0_0,18,0.9726666102364426
