,exp1,,,,exp2,,,,exp3,,,,exp4,,,,exp5,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
ql_,62.973684210526315,35.26874334453858,7,118,60.61206896551724,32.35100201437867,7,118,57.49579831932773,32.450712026238,7,118,63.916666666666664,34.307059026757464,7,118,59.37068965517241,31.904894042577006,10,118,60.90760869565217,33.030297043244,7.0,118.0
veh_n_,64.27777777777777,33.04085076559987,10,118,57.6,32.95742096461213,7,118,60.28947368421053,30.5792814596386,7,118,61.669642857142854,36.03761508163659,7,118,62.663636363636364,34.456801108327646,7,118,61.429357798165135,33.282755048135236,7.0,118.0
delay_,60.29565217391304,33.99302661022654,7,118,62.232142857142854,35.449744187149825,7,118,61.9375,33.025865170654804,7,118,63.04545454545455,32.5831009173133,7,118,59.706896551724135,31.76189054754806,7,115,61.64207650273224,33.15902344500292,7.0,118.0
throughput_,68.36633663366337,33.49678276261086,7,118,64.02752293577981,36.16511996579955,7,118,57.5,33.03855654364148,7,118,69.13861386138613,32.93266758189208,7,118,61.267857142857146,32.42759978473936,7,118,64.2519305019305,33.44267803073643,7.0,118.0
delay_prq_,60.321739130434786,32.10524027459139,7,118,57.72268907563025,33.495490303527326,7,118,61.10619469026549,35.4714077089508,7,118,61.1858407079646,34.12831581812297,7,118,60.625,35.09244547947221,7,118,60.10980036297641,33.65054658688973,7.0,118.0
delay_pwtl_,63.75229357798165,32.25453053543273,7,118,61.830357142857146,33.2903926277949,7,118,62.108108108108105,31.611951523363423,7,118,58.76271186440678,34.634767860051944,7,118,59.68103448275862,33.83093494008907,7,118,61.40510948905109,32.98628781907801,7.0,118.0
act_throughput_mqr_,57.575,32.328061671380354,7,118,54.616,33.57989605932154,7,118,62.392857142857146,31.280583490000687,10,118,62.2972972972973,32.38591012226111,7,118,68.47,33.827087048426414,10,118,61.37294332723949,32.54647056823771,7.0,118.0
veh_n_pwtl_,56.8780487804878,31.413577874066814,7,118,58.41025641025641,32.78512957859723,7,118,58.17796610169491,33.485455793135834,7,118,56.31707317073171,30.712393256797426,7,118,60.78947368421053,34.719985747981085,7,118,58.27130434782609,32.532794403652865,7.0,118.0
throughput_pwtl_,63.78378378378378,36.75951463855198,7,118,57.00826446280992,32.868803818557346,7,118,61.130434782608695,32.938678202671255,7,118,62.527272727272724,33.29950521463669,7,118,58.78813559322034,34.51070729298082,7,115,60.9136690647482,33.75825174039323,7.0,118.0
