,exp1,,,,exp2,,,,exp3,,,,exp4,,,,exp5,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
ql_,49.1140350877193,35.22362410483061,0,108,47.275862068965516,33.04873508252203,0,108,44.109243697478995,31.422703094452935,0,107,49.2037037037037,33.14080954325672,0,108,45.60344827586207,31.106235726128535,0,109,47.03532608695652,32.659577827184435,0.0,109.0
veh_n_,49.379629629629626,32.60087654133571,0,108,43.833333333333336,32.24416651907448,0,109,45.824561403508774,30.56785448280656,0,108,47.6875,35.89123490830656,0,114,47.96363636363636,33.98945526519002,0,105,47.036085626911316,32.95642644902569,0.0,114.0
delay_,46.13913043478261,32.476141568342875,0,105,47.9375,34.26875267513993,0,108,47.910714285714285,33.4896927995693,0,109,48.35454545454545,32.04028037182656,0,109,45.758620689655174,30.73975493937994,0,106,47.349726775956285,32.43415149683082,0.0,109.0
throughput_,52.772277227722775,32.24248166258882,0,108,49.596330275229356,35.82057118112105,0,108,43.983333333333334,31.85945589573037,0,114,53.83168316831683,32.95878314104775,0,104,46.94642857142857,31.362696406220014,0,108,49.5472972972973,32.83088049613182,0.0,114.0
delay_prq_,46.47826086956522,32.50731303041926,0,117,44.27731092436975,32.581819920283166,0,108,47.230088495575224,34.49275515275364,0,110,46.9646017699115,34.516799533896695,0,105,46.473214285714285,34.35846010178979,0,109,46.118874773139744,33.40470744459282,0.0,117.0
delay_pwtl_,49.24770642201835,32.801636127695744,0,117,47.330357142857146,32.978395437574974,0,106,48.06306306306306,30.966045709712226,0,111,45.21186440677966,34.778874542500596,0,111,45.956896551724135,33.69773369785889,0,109,47.323905109489054,33.00065804127762,0.0,117.0
act_throughput_mqr_,44.11666666666667,32.62189380128126,0,111,41.776,32.68862483415885,0,104,48.455357142857146,31.392857508898462,0,114,48.0990990990991,32.569074834029834,0,109,52.49,34.770966351398705,0,111,47.27513711151737,32.65440475549016,0.0,114.0
veh_n_pwtl_,43.71544715447155,30.985327126471965,0,108,44.64957264957265,32.46332579030561,0,111,44.779661016949156,32.708538207614545,0,114,43.1869918699187,30.048689885381066,0,103,46.771929824561404,35.028189681298315,0,114,44.68695652173913,32.2432677297422,0.0,114.0
throughput_pwtl_,49.585585585585584,36.002390947993355,0,117,43.900826446280995,32.704588097767385,0,114,47.18260869565217,32.49631088608655,0,109,48.4,33.149702144869686,0,111,44.983050847457626,34.26592412915115,0,108,46.94604316546763,33.49547182775456,0.0,117.0
