step,vehicle_id,departDelay,duration,routeLength,waitingTime,waitingCount,timeLoss
48.00,2,-0.14,41.00,596.93,0.00,0,9.18
57.00,6,-0.42,36.00,615.10,0.00,0,5.27
64.00,5,-0.85,47.00,617.75,0.00,0,6.74
66.00,7,-0.99,42.00,615.10,0.00,0,5.58
67.00,8,-0.56,39.00,615.10,0.00,0,5.05
75.00,0,0.00,75.00,596.93,32.00,1,44.95
78.00,12,-0.84,36.00,615.10,0.00,0,5.39
93.00,15,-0.55,40.00,615.10,0.00,0,5.46
103.00,17,-0.69,43.00,596.93,0.00,0,9.24
118.00,1,-0.57,115.00,596.93,67.00,1,80.63
119.00,13,-0.41,73.00,596.93,28.00,1,44.25
121.00,9,-0.13,89.00,617.75,37.00,1,49.95
121.00,21,-0.97,47.00,596.93,2.00,1,15.57
127.00,23,-0.11,45.00,596.93,0.00,0,9.05
134.00,25,-0.25,45.00,617.75,0.00,0,6.76
135.00,26,-0.82,43.00,596.93,0.00,0,7.88
188.00,41,-0.37,42.00,596.93,0.00,0,8.54
196.00,45,-0.65,36.00,615.10,0.00,0,6.47
205.00,28,-0.96,106.00,596.93,64.00,1,78.26
206.00,3,-0.71,196.00,615.10,151.00,1,166.21
206.00,4,-0.28,192.00,617.75,147.00,1,159.88
206.00,20,-0.40,135.00,615.10,90.00,1,103.18
208.00,10,-0.70,173.00,617.75,129.00,1,142.08
208.00,33,-0.81,91.00,596.93,49.00,1,62.98
209.00,29,-0.53,106.00,615.10,56.00,1,71.63
209.00,44,-0.08,52.00,615.10,7.00,1,21.40
211.00,42,-0.94,62.00,596.93,17.00,1,32.90
216.00,47,-0.79,49.00,617.75,0.00,0,11.55
224.00,50,-0.50,46.00,617.75,0.00,0,6.47
244.00,11,-0.27,205.00,617.75,161.00,1,172.49
244.00,27,-0.39,148.00,615.10,102.00,1,114.44
244.00,30,-0.10,137.00,596.93,94.00,1,109.81
246.00,14,-0.98,197.00,617.75,152.00,1,163.75
246.00,19,-0.83,179.00,615.10,131.00,1,151.43
246.00,46,-0.22,82.00,615.10,34.00,1,49.46
249.00,36,-0.52,121.00,596.93,74.00,1,88.13
249.00,48,-0.36,78.00,615.10,30.00,1,41.62
251.00,16,-0.12,194.00,617.75,143.00,1,156.38
255.00,31,-0.67,145.00,596.93,103.00,1,117.34
255.00,34,-0.38,134.00,615.10,88.00,1,101.70
256.00,32,-0.24,142.00,615.10,96.00,1,109.65
257.00,35,-0.95,133.00,615.10,87.00,1,101.41
258.00,24,-0.68,173.00,615.10,123.00,1,134.37
258.00,52,-0.64,73.00,617.75,28.00,1,39.81
261.00,39,-0.23,122.00,596.93,73.00,1,86.23
261.00,55,-0.35,65.00,617.75,17.00,1,31.35
262.00,51,-0.07,80.00,596.93,34.00,1,52.59
262.00,60,-0.20,48.00,617.75,0.00,0,17.41
264.00,61,-0.77,47.00,596.93,0.00,0,18.42
282.00,57,-0.49,79.00,596.93,36.00,1,51.15
285.00,63,-0.91,61.00,617.75,14.00,1,27.38
286.00,59,-0.63,76.00,596.93,30.00,1,43.15
286.00,66,-0.62,51.00,615.10,4.00,1,15.15
289.00,64,-0.48,61.00,596.93,14.00,1,27.41
289.00,65,-0.05,57.00,617.75,7.00,1,19.26
292.00,67,-0.19,53.00,586.83,3.00,1,18.20
299.00,72,-0.04,42.00,596.93,0.00,0,8.19
308.00,76,-0.32,37.00,615.10,0.00,0,5.98
319.00,58,-0.06,112.00,615.10,67.00,1,80.58
319.00,68,-0.76,77.00,617.75,31.00,1,44.95
321.00,56,-0.92,122.00,615.10,74.00,1,86.02
321.00,75,-0.75,54.00,596.93,9.00,1,21.24
322.00,73,-0.61,62.00,617.75,16.00,1,30.67
323.00,79,-0.03,41.00,596.93,0.00,0,10.73
