step,vehicle_id,departDelay,duration,routeLength,waitingTime,waitingCount,timeLoss
48.00,2,-0.14,41.00,596.93,0.00,0,9.18
57.00,6,-0.42,36.00,615.10,0.00,0,5.27
64.00,5,-0.85,47.00,617.75,0.00,0,6.72
66.00,7,-0.99,42.00,615.10,0.00,0,5.58
67.00,8,-0.56,39.00,615.10,0.00,0,5.05
80.00,11,-0.27,41.00,617.75,0.00,0,8.14
91.00,14,-0.98,42.00,617.75,0.00,0,8.45
102.00,0,0.00,102.00,596.93,59.00,1,71.72
103.00,12,-0.84,61.00,615.10,16.00,1,29.93
105.00,15,-0.55,52.00,615.10,3.00,1,16.91
106.00,17,-0.69,46.00,596.93,0.00,0,12.53
128.00,24,-0.68,43.00,615.10,0.00,0,4.60
132.00,1,-0.57,129.00,596.93,82.00,1,95.39
134.00,13,-0.41,88.00,596.93,43.00,1,59.19
136.00,9,-0.13,104.00,617.75,52.00,1,64.97
137.00,21,-0.97,63.00,596.93,17.00,1,31.12
138.00,25,-0.25,49.00,617.75,0.00,0,11.18
142.00,23,-0.11,60.00,596.93,7.00,1,23.64
145.00,3,-0.71,135.00,615.10,91.00,1,105.41
146.00,4,-0.28,132.00,617.75,87.00,1,99.91
146.00,20,-0.40,75.00,615.10,30.00,1,43.11
146.00,28,-0.96,47.00,596.93,4.00,1,18.68
148.00,10,-0.70,113.00,617.75,69.00,1,82.09
150.00,29,-0.53,47.00,615.10,0.00,0,12.84
154.00,33,-0.81,37.00,596.93,0.00,0,9.69
188.00,42,-0.94,39.00,596.93,0.00,0,10.11
194.00,44,-0.08,37.00,615.10,0.00,0,5.91
212.00,47,-0.79,45.00,617.75,0.00,0,7.74
223.00,50,-0.50,45.00,617.75,0.00,0,6.28
240.00,56,-0.92,41.00,615.10,0.00,0,5.55
244.00,58,-0.06,37.00,615.10,0.00,0,5.85
262.00,27,-0.39,166.00,615.10,119.00,1,132.48
262.00,30,-0.10,155.00,596.93,112.00,1,127.69
263.00,19,-0.83,196.00,615.10,149.00,1,168.51
264.00,46,-0.22,100.00,615.10,52.00,1,67.67
265.00,16,-0.12,208.00,617.75,160.00,1,170.20
266.00,18,-0.26,202.00,617.75,154.00,1,166.93
267.00,36,-0.52,139.00,596.93,91.00,1,106.17
268.00,49,-0.93,94.00,615.10,45.00,1,56.02
269.00,22,-0.54,191.00,617.75,141.00,1,156.72
269.00,37,-0.09,137.00,596.93,88.00,1,109.68
269.00,48,-0.36,98.00,615.10,45.00,2,61.71
270.00,38,-0.66,135.00,617.75,87.00,1,104.93
272.00,40,-0.80,130.00,596.93,81.00,1,98.40
272.00,53,-0.21,83.00,617.75,33.00,1,52.26
274.00,43,-0.51,121.00,596.93,70.00,1,90.25
276.00,54,-0.78,84.00,617.75,31.00,1,50.71
277.00,62,-0.34,56.00,596.93,4.00,1,23.94
289.00,70,-0.90,40.00,596.93,0.00,0,8.52
307.00,74,-0.18,43.00,617.75,0.00,0,7.83
310.00,31,-0.67,200.00,596.93,159.00,1,172.54
312.00,32,-0.24,198.00,615.10,152.00,1,166.38
312.00,34,-0.38,191.00,615.10,147.00,1,158.67
314.00,35,-0.95,190.00,615.10,144.00,1,158.49
314.00,52,-0.64,129.00,617.75,83.00,1,96.75
316.00,39,-0.23,177.00,596.93,129.00,1,140.88
317.00,51,-0.07,135.00,596.93,90.00,1,107.85
318.00,55,-0.35,122.00,617.75,73.00,1,88.96
319.00,61,-0.77,102.00,596.93,55.00,1,73.09
320.00,60,-0.20,106.00,617.75,57.00,1,75.17
321.00,69,-0.33,75.00,596.93,28.00,1,43.65
323.00,71,-0.47,70.00,617.75,19.00,1,35.70
333.00,82,-0.74,41.00,596.93,0.00,0,9.69
355.00,45,-0.65,195.00,615.10,150.00,1,165.59
