step,tl_id,previous_state,current_state,action,reward
25,0,0_0_2_0_2,0_0_1_0_1,10,0.27418234321778767
105,0,0_0_1_0_1,1_0_1_2_2,25,-0.4042799229777647
185,0,1_0_1_2_2,2_2_0_2_3,25,-0.20005339996632554
196,0,2_2_0_2_3,2_2_0_1_0,2,0.7276639113395921
255,0,2_2_0_1_0,0_3_1_2_1,18,-0.22193957127586228
344,0,0_3_1_2_1,2_0_2_3_2,28,-0.27666201215204234
430,0,2_0_2_3_2,2_1_0_4_3,27,-0.15368358102355362
531,0,2_1_0_4_3,3_2_2_0_0,32,-0.1735145660227525
626,0,3_2_2_0_0,0_3_3_1_1,30,-0.11180696800359857
676,0,0_3_3_1_1,1_0_3_2_2,15,0.5457171780944077
765,0,1_0_3_2_2,1_1_0_3_3,28,-0.25144323262682833
863,0,1_1_0_3_3,3_1_1_1_0,31,-0.16186662043741784
955,0,3_1_1_1_0,0_2_2_1_1,29,-0.0974784732821331
969,0,0_2_2_1_1,1_1_2_1_2,3,0.783898947253399
1022,0,1_1_2_1_2,1_2_0_2_3,16,0.047895303647765564
1120,0,1_2_0_2_3,2_2_2_0_0,31,-0.32877655939146
1170,0,2_2_2_0_0,0_3_2_1_1,15,0.3854252318201517
1190,0,0_3_2_1_1,1_1_2_1_2,5,0.6026639113395921
1240,0,1_1_2_1_2,1_2_0_1_3,15,0.03132482043096574
1356,0,1_2_0_1_3,3_3_2_0_0,37,-0.36856015833868006
1463,0,3_3_2_0_0,0_3_3_1_1,34,-0.08186414917597706
1513,0,0_3_3_1_1,1_0_3_2_2,15,0.5752965146118558
1545,0,1_0_3_2_2,2_0_0_2_3,9,0.5578578375749528
1601,0,2_0_0_2_3,4_1_1_1_0,17,-0.030713071418236426
1672,0,4_1_1_1_0,0_1_1_2_1,22,0.01745093370824513
1686,0,0_1_1_2_1,1_0_1_2_2,3,0.6679666404097221
1763,0,1_0_1_2_2,1_1_0_3_3,24,-0.42405203546159775
