step,tl_id,start_at_step,stage,stage_time,time_beyond_queue_clearance,residual_queue
21,0,-1,0,22,21,0
83,0,25,1,58,57,0
139,0,87,2,52,48,0
183,0,143,3,40,28,0
278,0,187,0,91,82,0
340,0,282,1,58,41,0
351,0,344,2,7,0,3
446,0,355,3,91,72,0
514,0,450,0,64,49,0
585,0,518,1,67,53,0
686,0,589,2,97,69,0
802,0,690,3,112,97,0
846,0,806,0,40,13,0
968,0,850,1,118,107,0
985,0,972,2,13,0,4
1008,0,989,3,19,5,0
1082,0,1012,0,70,58,0
1162,0,1086,1,76,66,0
1224,0,1166,2,58,38,0
1238,0,1228,3,10,0,3
1249,0,1242,0,7,0,4
1353,0,1253,1,100,90,0
1382,0,1357,2,25,16,0
1438,0,1386,3,52,35,0
1521,0,1442,0,79,56,0
1592,0,1525,1,67,52,0
1660,0,1596,2,64,52,0
1674,0,1664,3,10,0,7
1697,0,1678,0,19,0,1
1810,0,1701,1,109,102,0
1923,0,1814,2,109,95,0
2009,0,1927,3,82,59,0
2095,0,2013,0,82,60,0
2154,0,2099,1,55,37,0
2177,0,2158,2,19,0,0
2191,0,2181,3,10,0,0
2298,0,2195,0,103,96,0
2411,0,2302,1,109,102,0
2488,0,2415,2,73,48,0
2508,0,2492,3,16,1,0
2600,0,2512,0,88,73,0
2650,0,2604,1,46,31,0
2745,0,2654,2,91,81,0
2759,0,2749,3,10,0,4
2860,0,2763,0,97,82,0
2979,0,2864,1,115,100,0
3053,0,2983,2,70,55,0
3133,0,3057,3,76,56,0
3219,0,3137,0,82,63,0
3230,0,3223,1,7,0,8
3313,0,3234,2,79,72,0
3348,0,3317,3,31,19,0
3398,0,3352,0,46,30,0
3520,0,3402,1,118,87,0
3588,0,3524,2,64,54,0
3668,0,3592,3,76,58,0
3718,0,3672,0,46,27,0
3789,0,3722,1,67,55,0
3896,0,3793,2,103,83,0
3985,0,3900,3,85,66,0
4083,0,3989,0,94,72,0
4133,0,4087,1,46,25,0
4246,0,4137,2,109,97,0
4266,0,4250,3,16,0,1
4343,0,4270,0,73,63,0
4456,0,4347,1,109,98,0
4566,0,4460,2,106,78,0
4664,0,4570,3,94,73,0
4708,0,4668,0,40,19,0
4770,0,4712,1,58,35,0
4820,0,4774,2,46,42,0
4855,0,4824,3,31,19,0
4884,0,4859,0,25,18,0
4943,0,4888,1,55,46,0
5056,0,4947,2,109,99,0
5139,0,5060,3,79,59,0
5231,0,5143,0,88,65,0
5278,0,5235,1,43,33,0
5397,0,5282,2,115,90,0
5411,0,5401,3,10,0,4
5428,0,5415,0,13,4,0
5529,0,5432,1,97,85,0
5624,0,5533,2,91,82,0
5704,0,5628,3,76,50,0
5778,0,5708,0,70,54,0
5804,0,5782,1,22,2,0
5884,0,5808,2,76,51,0
5910,0,5888,3,22,10,0
5975,0,5914,0,61,49,0
6055,0,5979,1,76,59,0
6075,0,6059,2,16,4,0
6104,0,6079,3,25,18,0
6220,0,6108,0,112,92,0
6231,0,6224,1,7,0,3
6323,0,6235,2,88,76,0
6427,0,6327,3,100,86,0
6489,0,6431,0,58,39,0
6530,0,6493,1,37,15,0
6610,0,6534,2,76,64,0
6693,0,6614,3,79,58,0
6740,0,6697,0,43,23,0
6811,0,6744,1,67,55,0
6834,0,6815,2,19,3,0
6848,0,6838,3,10,0,1
6925,0,6852,0,73,63,0
7005,0,6929,1,76,62,0
7016,0,7009,2,7,0,1
7027,0,7020,3,7,0,1
7104,0,7031,0,73,61,0
7190,0,7108,1,82,75,0
7273,0,7194,2,79,61,0
7347,0,7277,3,70,56,0
