step,veh_id,ttime
48,2,41
56,0,56
77,12,35
93,15,40
103,17,43
129,24,44
144,1,141
146,13,100
147,9,115
148,21,74
150,25,61
153,23,71
156,26,64
187,41,41
196,45,36
208,3,198
209,4,195
209,20,138
209,28,110
211,10,176
211,33,94
212,29,109
212,44,55
214,42,65
218,47,51
224,50,46
240,56,41
244,58,37
272,6,251
273,7,249
273,30,166
274,8,246
275,5,258
275,19,208
276,11,237
276,27,180
277,46,113
278,14,229
279,36,151
280,37,148
280,48,109
282,16,225
283,18,219
283,40,141
283,49,109
286,22,208
286,43,133
287,38,152
288,62,67
289,53,100
291,70,42
292,54,100
306,74,42
313,77,39
325,80,40
331,31,221
333,32,219
333,34,212
335,35,211
335,52,150
336,39,197
337,55,141
338,51,156
339,61,122
340,60,126
342,69,96
344,82,52
345,71,92
361,90,40
369,57,166
372,59,162
372,63,148
373,66,138
374,76,103
376,64,148
376,85,73
377,65,145
378,81,89
378,91,54
379,67,140
380,83,84
381,72,124
386,92,58
388,93,56
412,104,41
415,106,37
443,113,40
464,119,40
470,121,39
490,68,248
490,75,223
490,78,212
491,79,209
491,100,134
493,73,233
493,84,194
494,123,55
496,89,179
498,86,191
498,94,163
499,99,146
501,128,45
503,102,139
506,120,78
507,126,58
509,131,42
556,145,39
563,87,253
564,88,250
564,96,222
565,95,226
566,103,199
567,112,168
568,118,147
569,97,223
569,122,134
570,114,164
571,108,186
571,134,93
572,116,158
578,98,229
578,101,218
579,105,205
579,110,187
580,107,199
581,115,171
582,124,140
583,133,109
584,109,195
584,141,81
588,111,192
588,154,39
590,117,173
590,142,84
590,156,34
591,135,110
592,151,53
593,138,101
596,139,100
616,160,45
625,164,40
634,166,42
642,169,39
647,170,41
658,172,44
659,173,42
668,177,37
679,129,219
679,130,215
679,137,190
680,140,181
682,136,197
682,148,154
683,155,130
684,147,160
689,168,90
691,144,177
691,174,70
693,146,172
694,149,163
696,157,136
697,159,130
699,184,43
700,161,126
704,165,115
707,175,83
710,185,50
724,125,278
724,143,214
728,127,275
728,158,164
728,186,64
729,132,258
730,181,84
730,182,81
731,150,196
732,190,54
735,153,189
737,163,156
738,178,103
761,179,122
761,180,119
761,200,47
763,197,60
764,189,90
765,198,59
766,192,81
772,205,41
776,206,41
787,210,38
839,222,47
842,225,39
853,152,311
855,162,277
855,183,202
858,167,262
858,187,191
859,171,249
860,188,189
860,191,179
861,176,233
861,196,162
862,193,173
862,203,138
863,220,78
864,194,172
865,221,77
866,202,145
867,201,150
867,228,54
868,207,130
869,211,116
870,213,110
875,208,133
876,226,70
877,199,167
878,231,54
879,195,183
879,212,123
880,216,109
880,218,102
882,223,86
882,224,83
885,232,57
887,236,45
891,237,45
898,240,42
909,204,181
909,217,135
911,209,165
913,219,132
914,227,104
915,214,152
915,238,66
916,243,49
937,252,38
944,253,41
959,233,128
959,239,106
961,229,144
961,249,73
962,244,91
963,235,125
964,258,43
965,241,105
965,247,84
967,245,93
968,256,55
969,261,38
970,257,53
998,268,42
1026,277,38
1040,280,41
1062,286,41
1065,215,298
1065,248,180
1068,230,247
1068,234,233
1070,254,164
1071,242,208
1072,251,176
1073,271,106
1074,246,196
1075,259,151
1075,278,83
1076,266,127
1081,250,189
1081,272,110
1083,275,102
1084,262,149
1085,276,100
1085,285,68
1087,290,52
1088,255,178
1088,270,125
1090,282,84
1092,289,61
1104,265,158
1108,263,170
1109,264,167
1109,274,131
1110,260,182
1110,279,114
1112,281,109
1113,267,160
1114,273,140
1115,301,41
1116,293,70
1117,294,68
1120,284,107
1141,308,42
1142,309,39
1152,312,39
1177,319,39
1187,321,42
1200,323,47
1216,300,145
1217,291,179
1217,299,150
1219,307,124
1220,287,195
1221,296,165
1221,316,93
1223,303,142
1223,320,81
1224,322,75
1225,325,65
1225,330,47
1229,326,66
1229,333,41
1244,337,41
1259,269,299
1260,283,250
1262,288,234
1262,317,131
1263,339,53
1264,292,222
1265,295,212
1265,340,52
1268,302,190
1269,297,209
1272,310,166
1275,298,212
1275,306,183
1276,304,191
1276,305,188
1277,338,71
1278,313,161
1279,315,155
1279,327,112
1281,331,100
1283,344,55
1284,328,114
1285,346,50
1288,335,93
1289,342,69
1313,356,43
1336,363,41
1353,332,168
1354,329,180
1354,334,162
1354,336,155
1354,341,137
1356,343,132
1357,350,108
1358,351,105
1359,353,99
1359,364,60
1360,349,115
1362,357,88
1399,379,46
1402,381,42
1420,362,128
1423,348,181
1424,352,168
1425,355,158
1426,365,123
1426,371,102
1426,374,91
1427,376,85
1429,366,123
1431,386,53
1432,388,47
1433,389,45
1440,394,34
1441,392,42
1447,311,337
1448,318,313
1449,314,329
1450,345,219
1450,358,172
1452,324,296
1452,377,107
1455,359,174
1456,360,171
1457,354,194
1457,380,101
1458,347,220
1459,361,171
1459,382,96
1459,387,78
1460,398,40
1463,373,132
1464,383,97
1477,404,35
1496,368,183
1499,390,107
1500,367,190
1501,369,184
1501,370,181
1502,400,74
1503,385,129
1504,406,55
1505,372,177
1506,409,46
1510,411,43
1511,375,173
1512,378,163
1513,384,143
1515,393,112
1516,401,85
1521,391,126
1522,395,112
1523,399,99
1525,403,87
1529,413,55
1530,405,85
1530,414,53
1531,408,75
1532,416,47
1533,410,70
1542,402,107
1543,396,130
1543,415,62
1544,397,127
1569,412,99
1569,420,70
1570,407,118
1571,421,68
1571,422,65
1572,423,62
1572,425,55
1579,417,91
1579,419,84
1579,424,66
1580,426,60
1581,433,36
1583,418,91
1583,427,59
1585,430,50
1588,432,46
1592,435,40
1609,439,42
1649,438,86
1651,441,77
1653,431,115
1655,452,42
1667,456,40
1690,463,38
1701,465,41
1704,466,41
1734,475,39
1741,476,42
1751,478,45
1753,481,36
1768,447,173
1770,428,243
1770,449,168
1771,470,94
1773,434,224
1773,455,149
1773,460,131
1774,479,64
1775,471,94
1776,468,106
1776,483,52
1777,474,85
1778,482,58
1780,487,42
1788,489,43
1800,494,37
1813,499,32
1814,498,37
1836,502,44
1837,503,42
1853,508,40
1870,429,339
1878,515,40
1888,442,311
1890,436,334
1890,443,309
1893,437,333
1893,459,255
1893,469,219
1894,440,324
1894,495,127
1895,444,310
1895,445,307
1896,446,304
1896,518,47
1898,462,249
1900,448,301
1901,450,295
1901,477,199
1902,486,167
1904,488,162
1905,451,295
1906,467,239
1909,480,196
1909,501,121
1911,512,84
1912,514,78
1912,516,70
1915,520,59
1917,525,43
1957,536,44
1958,453,341
1964,538,44
1966,454,346
1983,544,41
1985,545,40
1987,461,342
1994,548,38
1999,457,368
1999,464,343
2003,472,318
2003,473,315
2004,484,277
2004,490,255
2004,492,248
2005,506,199
2006,458,371
2006,504,207
2008,496,238
2010,505,208
2011,511,187
2011,521,152
2013,523,146
2013,527,132
2013,533,111
2014,507,205
2014,530,122
2016,532,117
2018,546,69
2019,542,85
2021,549,62
2022,543,84
2026,553,52
2028,554,51
2028,557,40
2047,563,38
2060,564,47
2069,485,338
2071,570,37
2074,571,36
2083,493,323
2083,509,266
2085,491,333
2085,529,197
2086,510,266
2086,534,180
2088,513,257
2088,558,96
2089,497,315
2091,500,306
2093,517,248
2093,524,223
2094,519,242
2096,528,212
2097,547,145
2100,577,41
2101,535,192
2101,569,70
2103,552,133
2107,568,80
2116,581,42
2136,587,41
2140,526,263
2141,531,246
2143,522,280
2143,537,226
2143,541,212
2143,551,176
2145,539,221
2145,555,164
2146,540,219
2146,561,144
