step,tl_id,new_state
21,0,1
74,0,2
124,0,3
198,0,0
254,0,1
295,0,2
360,0,3
446,0,0
568,0,1
690,0,2
725,0,3
808,0,0
828,0,1
851,0,2
874,0,3
912,0,0
941,0,1
976,0,2
1029,0,3
1073,0,0
1171,0,1
1239,0,2
1250,0,3
1339,0,0
1425,0,1
1478,0,2
1552,0,3
1617,0,0
1661,0,1
1693,0,2
1761,0,3
1814,0,0
1825,0,1
1881,0,2
1895,0,3
1939,0,0
2007,0,1
2057,0,2
2104,0,3
2208,0,0
2246,0,1
2320,0,2
2397,0,3
2420,0,0
2452,0,1
2547,0,2
2570,0,3
2629,0,0
2709,0,1
2804,0,2
2845,0,3
2871,0,0
2882,0,1
2995,0,2
3054,0,3
3077,0,0
3133,0,1
3165,0,2
3263,0,3
3349,0,0
3453,0,1
3563,0,2
3610,0,3
3699,0,0
3806,0,1
3910,0,2
3969,0,3
4061,0,0
4183,0,1
4245,0,2
4262,0,3
4369,0,0
4419,0,1
4490,0,2
4549,0,3
4590,0,0
4643,0,1
4663,0,2
4725,0,3
4748,0,0
4789,0,1
4812,0,2
4862,0,3
4975,0,0
5019,0,1
5060,0,2
5104,0,3
5166,0,0
5189,0,1
5269,0,2
5295,0,3
5414,0,0
5479,0,1
5598,0,2
5657,0,3
5677,0,0
5706,0,1
5768,0,2
5809,0,3
5835,0,0
5846,0,1
5884,0,2
5928,0,3
6041,0,0
6160,0,1
6240,0,2
6332,0,3
6403,0,0
6465,0,1
6575,0,2
6622,0,3
6720,0,0
6773,0,1
6886,0,2
6939,0,3
7019,0,0
7096,0,1
7164,0,2
7259,0,3
7273,0,0
7320,0,1
7382,0,2
7414,0,3
