step,tl_id,previous_state,current_state,action,reward
25,0,0_0_0_5_3,0_0_1_1_1,19,0.8830752430725399
75,0,0_0_1_1_1,2_0_2_2_2,15,1.5561319499866986
116,0,2_0_2_2_2,3_1_0_2_3,12,0.9216380686352753
130,0,3_1_0_2_3,3_2_1_1_0,3,0.6859537110933759
174,0,3_2_1_1_0,1_2_1_2_1,13,0.9578672203660368
197,0,1_2_1_2_1,1_0_2_3_2,6,0.8282939127911195
232,0,1_0_2_3_2,2_2_0_3_3,10,0.824797409294616
306,0,2_2_0_3_3,4_3_1_0_0,23,0.9514897579143389
359,0,4_3_1_0_0,0_5_3_1_1,16,0.9305959814093235
382,0,0_5_3_1_1,1_1_3_1_2,6,0.7584541780577678
417,0,1_1_3_1_2,2_4_0_2_3,10,0.7893779566721029
446,0,2_4_0_2_3,3_4_0_0_0,8,0.7397307686043293
544,0,3_4_0_0_0,0_5_2_3_1,31,1.14271804008408
609,0,0_5_2_3_1,2_0_4_4_2,20,0.9324104906844263
650,0,2_0_4_4_2,2_1_0_4_3,12,0.8177312721074359
724,0,2_1_0_4_3,5_2_2_0_0,23,0.8117221638364953
786,0,5_2_2_0_0,0_4_3_2_1,19,0.8072736543406934
878,0,0_4_3_2_1,2_0_5_4_2,29,0.9024051952732797
961,0,2_0_5_4_2,4_2_0_6_3,26,0.9419490310633122
1023,0,4_2_0_6_3,5_3_2_0_0,19,0.7697595538150299
1091,0,5_3_2_0_0,0_4_4_2_1,21,0.8432753128029918
1156,0,0_4_4_2_1,1_0_5_4_2,20,0.8238616209984925
1257,0,1_0_5_4_2,3_3_0_5_3,32,0.9340222563591741
1274,0,3_3_0_5_3,3_4_1_1_0,4,0.5140518611189002
1315,0,3_4_1_1_0,0_6_2_4_1,12,0.7123785268297262
1389,0,0_6_2_4_1,2_0_3_5_2,23,0.918472729668978
1445,0,2_0_3_5_2,2_2_0_6_3,17,0.8566178014869575
1546,0,2_2_0_6_3,2_4_3_0_0,32,0.9521149241819633
1617,0,2_4_3_0_0,0_4_4_3_1,22,1.0367430666400639
1712,0,0_4_4_3_1,3_0_7_4_2,30,0.8753135332345228
1756,0,3_0_7_4_2,4_1_1_5_3,13,0.700362413788996
1821,0,4_1_1_5_3,6_3_4_0_0,20,0.774562289443389
1913,0,6_3_4_0_0,0_4_5_2_1,29,0.8564271834553593
2014,0,0_4_5_2_1,4_0_7_5_2,32,0.8104288837225441
2037,0,4_0_7_5_2,5_1_2_5_3,6,0.5230380420324554
2078,0,5_1_2_5_3,5_3_5_1_0,12,0.6728603290088284
2200,0,5_3_5_1_0,0_5_7_4_1,39,0.917830540037244
2247,0,0_5_7_4_1,2_0_7_5_2,14,0.6962814497730698
2285,0,2_0_7_5_2,3_1_1_5_3,11,0.6332254202816466
2362,0,3_1_1_5_3,4_3_4_0_0,24,0.9355447826118217
2472,0,4_3_4_0_0,0_5_6_2_1,35,0.8633670495159443
2537,0,0_5_6_2_1,2_0_7_4_2,20,0.7393289718121885
2638,0,2_0_7_4_2,3_2_0_6_3,32,0.8458456461249758
2649,0,3_2_0_6_3,3_2_0_4_0,2,0.4265496142591115
2765,0,3_2_0_4_0,0_4_4_7_1,37,0.9907018336714776
2803,0,0_4_4_7_1,2_0_5_7_2,11,0.7359639894556096
2886,0,2_0_5_7_2,2_2_0_9_3,26,0.8018804252510026
2945,0,2_2_0_9_3,4_4_2_1_0,18,0.6872209753360494
2992,0,4_4_2_1_0,0_4_3_3_1,14,0.8322868489120088
3021,0,0_4_3_3_1,1_1_4_4_2,8,0.7664006384676776
3086,0,1_1_4_4_2,3_3_0_4_3,20,0.9093653492487594
3097,0,3_3_0_4_3,3_3_1_2_0,2,0.543096568236233
3117,0,3_3_1_2_0,1_3_1_4_1,5,0.6948481539043139
3221,0,1_3_1_4_1,4_0_3_5_2,33,0.9001316380915687
3235,0,4_0_3_5_2,4_1_1_5_3,3,0.5020245528378949
3336,0,4_1_1_5_3,6_3_4_0_0,32,0.7809249536649232
3413,0,6_3_4_0_0,0_3_6_2_1,24,0.7622476548087868
3511,0,0_3_6_2_1,2_0_7_4_2,31,1.0014102517594137
3606,0,2_0_7_4_2,3_3_0_6_3,30,0.7426557215064797
3620,0,3_3_0_6_3,3_3_1_3_0,3,0.49350243625824336
3709,0,3_3_1_3_0,0_5_2_6_1,28,0.92092017133563
3753,0,0_5_2_6_1,2_0_3_7_2,13,0.7050771218382812
3776,0,2_0_3_7_2,2_0_1_7_3,6,0.5831108787186614
3805,0,2_0_1_7_3,3_1_2_1_0,8,0.6013888506664464
3816,0,3_1_2_1_0,1_1_2_4_1,2,0.5283605062136587
3851,0,1_1_2_4_1,3_0_3_4_2,10,0.9066603787274178
3925,0,3_0_3_4_2,4_2_0_6_3,23,0.9539742914876637
3969,0,4_2_0_6_3,5_2_2_1_0,13,0.7131740964542241
4004,0,5_2_2_1_0,1_3_2_2_1,10,0.7010012036685724
4096,0,1_3_2_2_1,3_0_4_3_2,29,0.9008626050725014
4164,0,3_0_4_3_2,4_2_0_4_3,21,1.0450216184454013
4241,0,4_2_0_4_3,6_3_1_0_0,24,0.8743494246287542
4303,0,6_3_1_0_0,0_5_2_2_1,19,0.8140795424314977
4338,0,0_5_2_2_1,1_1_4_2_2,10,0.7174361364657595
4454,0,1_1_4_2_2,3_4_0_6_3,37,1.0832577157288261
4507,0,3_4_0_6_3,5_4_2_0_0,16,0.7464604948124501
4614,0,5_4_2_0_0,0_7_4_2_1,34,0.7990679512028276
4691,0,0_7_4_2_1,1_0_6_4_2,24,0.7480320522671056
4714,0,1_0_6_4_2,2_1_1_4_3,6,0.5557384903967704
4779,0,2_1_1_4_3,4_2_6_0_0,20,0.7729490888534185
4868,0,4_2_6_0_0,0_3_7_3_1,28,0.8272354682096302
4903,0,0_3_7_3_1,1_0_8_4_2,10,0.6940424947339499
4932,0,1_0_8_4_2,1_1_1_4_3,8,0.5925702291109525
4994,0,1_1_1_4_3,3_2_6_1_0,19,0.838113259360331
5107,0,3_2_6_1_0,0_4_7_3_1,36,1.0249588487629688
5211,0,0_4_7_3_1,2_0_9_5_2,33,0.7479355668843755
5297,0,2_0_9_5_2,4_2_0_7_3,27,0.6856019486880776
5413,0,4_2_0_7_3,5_4_2_0_0,37,0.8713987664173883
5460,0,5_4_2_0_0,0_6_3_2_1,14,0.7225567728361024
5516,0,0_6_3_2_1,2_0_4_3_2,17,0.849308717900568
5578,0,2_0_4_3_2,3_2_1_4_3,19,0.9417765783173017
5694,0,3_2_1_4_3,5_4_4_0_0,37,0.8466567877543334
5774,0,5_4_4_0_0,1_5_5_2_1,25,0.786943688089761
