step,tl_id,new_state
21,0,1
92,0,2
148,0,3
258,0,0
353,0,1
418,0,2
456,0,3
512,0,0
583,0,1
624,0,2
656,0,3
715,0,0
825,0,1
908,0,2
925,0,3
981,0,0
1052,0,1
1063,0,2
1167,0,3
1232,0,0
1342,0,1
1431,0,2
1517,0,3
1609,0,0
1686,0,1
1778,0,2
1822,0,3
1839,0,0
1868,0,1
1981,0,2
2022,0,3
2105,0,0
2176,0,1
2244,0,2
2261,0,3
2332,0,0
2382,0,1
2417,0,2
2503,0,3
2574,0,0
2621,0,1
2740,0,2
2814,0,3
2873,0,0
2896,0,1
2994,0,2
3113,0,3
3220,0,0
3315,0,1
3392,0,2
3418,0,3
3450,0,0
3512,0,1
3538,0,2
3609,0,3
3644,0,0
3739,0,1
3858,0,2
3917,0,3
3976,0,0
4041,0,1
4097,0,2
4138,0,3
4173,0,0
4286,0,1
4345,0,2
4365,0,3
4415,0,0
4435,0,1
4503,0,2
4541,0,3
4609,0,0
4638,0,1
4697,0,2
4720,0,3
4755,0,0
4853,0,1
4957,0,2
5076,0,3
5147,0,0
5197,0,1
5283,0,2
5303,0,3
5323,0,0
5340,0,1
5354,0,2
5461,0,3
5556,0,0
5606,0,1
5635,0,2
5676,0,3
5738,0,0
5800,0,1
5874,0,2
5900,0,3
5932,0,0
5946,0,1
5984,0,2
6079,0,3
6156,0,0
6224,0,1
6271,0,2
6375,0,3
6410,0,0
6460,0,1
6474,0,2
6497,0,3
6523,0,0
6606,0,1
6713,0,2
6820,0,3
6840,0,0
6959,0,1
7057,0,2
7101,0,3
7160,0,0
7171,0,1
7212,0,2
7253,0,3
7294,0,0
7407,0,1
7457,0,2
7555,0,3
