step,tl_id,start_at_step,stage,stage_time,time_beyond_queue_clearance,residual_queue
21,0,-1,0,22,21,0
134,0,25,1,109,108,0
172,0,138,2,34,15,0
267,0,176,3,91,68,0
365,0,271,0,94,54,0
454,0,369,1,85,52,0
576,0,458,2,118,88,0
662,0,580,3,82,46,0
739,0,666,0,73,27,0
759,0,743,1,16,0,9
854,0,763,2,91,67,0
907,0,858,3,49,17,0
960,0,911,0,49,28,0
1043,0,964,1,79,35,0
1099,0,1047,2,52,15,0
1173,0,1103,3,70,39,0
1241,0,1177,0,64,44,0
1297,0,1245,1,52,30,0
1362,0,1301,2,61,34,0
1433,0,1366,3,67,49,0
1453,0,1437,0,16,0,0
1509,0,1457,1,52,18,0
1520,0,1513,2,7,0,6
1570,0,1524,3,46,31,0
1638,0,1574,0,64,49,0
1676,0,1642,1,34,17,0
1744,0,1680,2,64,27,0
1851,0,1748,3,103,74,0
1964,0,1855,0,109,74,0
1996,0,1968,1,28,0,3
2058,0,2000,2,58,23,0
2180,0,2062,3,118,87,0
2227,0,2184,0,43,7,0
2262,0,2231,1,31,0,6
2381,0,2266,2,115,97,0
2401,0,2385,3,16,0,7
2481,0,2405,0,76,50,0
2516,0,2485,1,31,0,8
2554,0,2520,2,34,16,0
2610,0,2558,3,52,17,0
2666,0,2614,0,52,38,0
2773,0,2670,1,103,70,0
2862,0,2777,2,85,48,0
2888,0,2866,3,22,0,4
2998,0,2892,0,106,83,0
3102,0,3002,1,100,73,0
3152,0,3106,2,46,9,0
3229,0,3156,3,73,36,0
3252,0,3233,0,19,0,6
3269,0,3256,1,13,0,2
3370,0,3273,2,97,82,0
3381,0,3374,3,7,0,3
3473,0,3385,0,88,49,0
3511,0,3477,1,34,2,0
3630,0,3515,2,115,97,0
3668,0,3634,3,34,0,7
3724,0,3672,0,52,24,0
3747,0,3728,1,19,0,7
3827,0,3751,2,76,59,0
3901,0,3831,3,70,40,0
3993,0,3905,0,88,58,0
4112,0,3997,1,115,66,0
4225,0,4116,2,109,76,0
4326,0,4229,3,97,48,0
4394,0,4330,0,64,20,0
4405,0,4398,1,7,0,15
4452,0,4409,2,43,18,0
4571,0,4456,3,115,82,0
4687,0,4575,0,112,98,0
4782,0,4691,1,91,11,0
4904,0,4786,2,118,72,0
4915,0,4908,3,7,0,17
5037,0,4919,0,118,87,0
5147,0,5041,1,106,84,0
5188,0,5151,2,37,1,0
5277,0,5192,3,85,12,0
5363,0,5281,0,82,54,0
5473,0,5367,1,106,78,0
5526,0,5477,2,49,12,0
5582,0,5530,3,52,7,0
5659,0,5586,0,73,43,0
5673,0,5663,1,10,0,9
5771,0,5677,2,94,68,0
5824,0,5775,3,49,27,0
5892,0,5828,0,64,33,0
5993,0,5896,1,97,42,0
6025,0,5997,2,28,0,1
6072,0,6029,3,43,23,0
6107,0,6076,0,31,0,0
6214,0,6111,1,103,84,0
6312,0,6218,2,94,64,0
6398,0,6316,3,82,67,0
6454,0,6402,0,52,2,0
6534,0,6458,1,76,47,0
6560,0,6538,2,22,0,5
6667,0,6564,3,103,76,0
6759,0,6671,0,88,59,0
6869,0,6763,1,106,79,0
6949,0,6873,2,76,31,0
6990,0,6953,3,37,0,1
7034,0,6994,0,40,11,0
7063,0,7038,1,25,8,0
7080,0,7067,2,13,0,2
7148,0,7084,3,64,37,0
7219,0,7152,0,67,52,0
7254,0,7223,1,31,13,0
7277,0,7258,2,19,1,0
