step,tl_id,start_at_step,stage,stage_time,time_beyond_queue_clearance,residual_queue
21,0,-1,0,22,21,0
83,0,25,1,58,57,0
190,0,87,2,103,88,0
267,0,194,3,73,48,0
368,0,271,0,97,58,0
439,0,372,1,67,30,0
522,0,443,2,79,57,0
542,0,526,3,16,0,5
559,0,546,0,13,0,8
570,0,563,1,7,0,3
632,0,574,2,58,53,0
670,0,636,3,34,8,0
693,0,674,0,19,0,5
716,0,697,1,19,0,2
835,0,720,2,115,104,0
924,0,839,3,85,58,0
998,0,928,0,70,19,0
1057,0,1002,1,55,15,0
1173,0,1061,2,112,69,0
1262,0,1177,3,85,47,0
1360,0,1266,0,94,65,0
1458,0,1364,1,94,43,0
1499,0,1462,2,37,0,1
1543,0,1503,3,40,14,0
1620,0,1547,0,73,66,0
1730,0,1624,1,106,88,0
1741,0,1734,2,7,0,16
1836,0,1745,3,91,61,0
1877,0,1840,0,37,10,0
1942,0,1881,1,61,41,0
1962,0,1946,2,16,0,23
1994,0,1966,3,28,4,0
2053,0,1998,0,55,36,0
2157,0,2057,1,100,88,0
2192,0,2161,2,31,0,16
2239,0,2196,3,43,7,0
2346,0,2243,0,103,72,0
2420,0,2350,1,70,38,0
2533,0,2424,2,109,48,0
2625,0,2537,3,88,43,0
2699,0,2629,0,70,40,0
2752,0,2703,1,49,11,0
2790,0,2756,2,34,0,1
2810,0,2794,3,16,0,4
2911,0,2814,0,97,85,0
3033,0,2915,1,118,91,0
3104,0,3037,2,67,26,0
3175,0,3108,3,67,28,0
3279,0,3179,0,100,64,0
3311,0,3283,1,28,0,3
3421,0,3315,2,106,80,0
3522,0,3425,3,97,68,0
3569,0,3526,0,43,24,0
3601,0,3573,1,28,0,8
3660,0,3605,2,55,38,0
3734,0,3664,3,70,47,0
3772,0,3738,0,34,16,0
3813,0,3776,1,37,0,3
3905,0,3817,2,88,63,0
3958,0,3909,3,49,31,0
4008,0,3962,0,46,14,0
4058,0,4012,1,46,14,0
4168,0,4062,2,106,81,0
4272,0,4172,3,100,76,0
4322,0,4276,0,46,13,0
4345,0,4326,1,19,0,9
4407,0,4349,2,58,30,0
4466,0,4411,3,55,30,0
4576,0,4470,0,106,84,0
4614,0,4580,1,34,0,9
4664,0,4618,2,46,11,0
4750,0,4668,3,82,62,0
4800,0,4754,0,46,25,0
4901,0,4804,1,97,46,0
4990,0,4905,2,85,49,0
5043,0,4994,3,49,18,0
5162,0,5047,0,115,87,0
5194,0,5166,1,28,0,1
5304,0,5198,2,106,78,0
5369,0,5308,3,61,25,0
5398,0,5373,0,25,0,1
5451,0,5402,1,49,14,0
5504,0,5455,2,49,35,0
5524,0,5508,3,16,0,3
5568,0,5528,0,40,22,0
5663,0,5572,1,91,64,0
5761,0,5667,2,94,65,0
5826,0,5765,3,61,30,0
5855,0,5830,0,25,0,7
5920,0,5859,1,61,31,0
6030,0,5924,2,106,84,0
6149,0,6034,3,115,96,0
6262,0,6153,0,109,46,0
6360,0,6266,1,94,40,0
6380,0,6364,2,16,0,10
6403,0,6384,3,19,2,0
6447,0,6407,0,40,21,0
6557,0,6451,1,106,94,0
6586,0,6561,2,25,0,11
6669,0,6590,3,79,40,0
6701,0,6673,0,28,6,0
6796,0,6705,1,91,73,0
6873,0,6800,2,73,23,0
6962,0,6877,3,85,54,0
6982,0,6966,0,16,0,7
7008,0,6986,1,22,0,0
7094,0,7012,2,82,67,0
7117,0,7098,3,19,1,0
7128,0,7121,0,7,0,10
7229,0,7132,1,97,80,0
7255,0,7233,2,22,7,0
7377,0,7259,3,118,86,0
