step,tl_id,new_state
21,0,1
83,0,2
190,0,3
267,0,0
368,0,1
439,0,2
522,0,3
542,0,0
559,0,1
570,0,2
632,0,3
670,0,0
693,0,1
716,0,2
835,0,3
924,0,0
998,0,1
1057,0,2
1173,0,3
1262,0,0
1360,0,1
1458,0,2
1499,0,3
1543,0,0
1620,0,1
1730,0,2
1741,0,3
1836,0,0
1877,0,1
1942,0,2
1962,0,3
1994,0,0
2053,0,1
2157,0,2
2192,0,3
2239,0,0
2346,0,1
2420,0,2
2533,0,3
2625,0,0
2699,0,1
2752,0,2
2790,0,3
2810,0,0
2911,0,1
3033,0,2
3104,0,3
3175,0,0
3279,0,1
3311,0,2
3421,0,3
3522,0,0
3569,0,1
3601,0,2
3660,0,3
3734,0,0
3772,0,1
3813,0,2
3905,0,3
3958,0,0
4008,0,1
4058,0,2
4168,0,3
4272,0,0
4322,0,1
4345,0,2
4407,0,3
4466,0,0
4576,0,1
4614,0,2
4664,0,3
4750,0,0
4800,0,1
4901,0,2
4990,0,3
5043,0,0
5162,0,1
5194,0,2
5304,0,3
5369,0,0
5398,0,1
5451,0,2
5504,0,3
5524,0,0
5568,0,1
5663,0,2
5761,0,3
5826,0,0
5855,0,1
5920,0,2
6030,0,3
6149,0,0
6262,0,1
6360,0,2
6380,0,3
6403,0,0
6447,0,1
6557,0,2
6586,0,3
6669,0,0
6701,0,1
6796,0,2
6873,0,3
6962,0,0
6982,0,1
7008,0,2
7094,0,3
7117,0,0
7128,0,1
7229,0,2
7255,0,3
7377,0,0
