step,tl_id,previous_state,current_state,action,reward
25,0,0_0_0_2_3,0_0_1_1_1,34,0.942036138162157
108,0,0_0_1_1_1,2_0_3_2_2,26,0.9014374781621243
137,0,2_0_3_2_2,3_1_0_3_3,8,0.8591576554652671
154,0,3_1_0_3_3,3_2_1_1_0,4,0.8361845921639915
234,0,3_2_1_1_0,1_3_3_2_1,25,0.8425592160327053
353,0,1_3_3_2_1,3_0_4_4_2,38,0.42556207824840186
412,0,3_0_4_4_2,5_2_0_5_3,18,0.41412217291010267
465,0,5_2_0_5_3,7_3_1_0_0,16,0.5716707196499442
515,0,7_3_1_0_0,1_4_2_2_1,15,0.6954729830858882
589,0,1_4_2_2_1,3_0_3_3_2,23,0.7946149868730346
672,0,3_0_3_3_2,4_2_0_4_3,26,0.6367257857099243
779,0,4_2_0_4_3,6_4_2_0_0,34,0.3382297104435689
880,0,6_4_2_0_0,0_5_4_3_1,32,0.32168234344737134
906,0,0_5_4_3_1,1_1_5_4_2,7,0.2965224895436135
986,0,1_1_5_4_2,3_4_0_5_3,25,0.5013398399396999
1015,0,3_4_0_5_3,3_5_2_1_0,8,0.40497147124678523
1092,0,3_5_2_1_0,0_6_3_3_1,24,0.3291888629402363
1148,0,0_6_3_3_1,1_1_5_5_2,17,0.4946473617386272
1207,0,1_1_5_5_2,2_2_0_6_3,18,0.5280762588276294
1308,0,2_2_0_6_3,4_6_2_0_0,32,0.576411057905471
1385,0,4_6_2_0_0,0_8_4_2_1,24,0.46382252431690113
1480,0,0_8_4_2_1,1_0_6_3_2,30,0.5368053753565816
1563,0,1_0_6_3_2,2_2_0_6_3,26,0.6162424302045458
1640,0,2_2_0_6_3,4_3_2_0_0,24,0.6893936659636785
1750,0,4_3_2_0_0,0_5_5_4_1,35,0.46492115605909473
1800,0,0_5_5_4_1,2_1_6_5_2,15,0.5248246778486347
1832,0,2_1_6_5_2,2_2_1_5_3,9,0.5626268945272086
1945,0,2_2_1_5_3,4_3_4_0_0,36,0.607990237137609
2052,0,4_3_4_0_0,0_5_6_3_1,34,0.3014210143559018
2162,0,0_5_6_3_1,3_0_7_6_2,35,0.08514163753323199
2173,0,3_0_7_6_2,3_1_5_6_3,2,-0.6194023233129385
2280,0,3_1_5_6_3,6_3_7_0_0,34,-0.14347124378779613
2309,0,6_3_7_0_0,1_4_8_1_1,8,-0.30678512773048455
2353,0,1_4_8_1_1,3_0_8_2_2,13,-0.1045704954573678
2379,0,3_0_8_2_2,4_1_3_3_3,7,-0.23310605472791268
2405,0,4_1_3_3_3,4_2_6_0_0,7,0.2984406170822447
2434,0,4_2_6_0_0,0_2_6_1_1,8,0.36145154142201974
2505,0,0_2_6_1_1,2_0_8_3_2,22,0.07054658616664469
2612,0,2_0_8_3_2,3_2_1_5_3,34,0.6033903850883663
2641,0,3_2_1_5_3,3_3_1_1_0,8,0.4869720382072702
2742,0,3_3_1_1_0,0_5_3_4_1,32,0.5628593947028875
2849,0,0_5_3_4_1,2_0_6_4_2,34,0.36638871504987863
2953,0,2_0_6_4_2,4_3_0_6_3,33,0.08852388526794895
3003,0,4_3_0_6_3,5_3_2_1_0,15,0.5182867640885914
3029,0,5_3_2_1_0,1_4_2_1_1,7,0.6142242414501491
3109,0,1_4_2_1_1,4_0_4_2_2,25,0.5971400196904476
3201,0,4_0_4_2_2,5_2_0_4_3,29,0.4588411234409605
3215,0,5_2_0_4_3,6_2_1_1_0,3,0.3583803963081194
3319,0,6_2_1_1_0,0_4_3_3_1,33,0.5670005307967945
3378,0,0_4_3_3_1,2_0_4_4_2,18,0.5902046239444618
3473,0,2_0_4_4_2,3_2_0_6_3,30,0.4325793867778125
3553,0,3_2_0_6_3,4_4_1_0_0,25,0.6643861824063048
3609,0,4_4_1_0_0,0_5_2_2_1,17,0.7150049415818526
3656,0,0_5_2_2_1,1_0_3_3_2,14,0.7615808145356804
3688,0,1_0_3_3_2,2_1_0_4_3,9,0.7685075475810088
3726,0,2_1_0_4_3,2_2_2_0_0,11,0.8518933638653994
3782,0,2_2_2_0_0,0_3_3_2_1,17,0.7712345675479031
3814,0,0_3_3_2_1,2_0_4_2_2,9,0.7953222451302059
3870,0,2_0_4_2_2,2_2_0_3_3,17,0.881840623035811
3896,0,2_2_0_3_3,3_3_1_0_0,7,0.8550815739553546
3937,0,3_3_1_0_0,0_3_2_2_1,12,0.9163493936102175
3957,0,0_3_2_2_1,1_1_2_3_2,5,0.8564930884153683
4004,0,1_1_2_3_2,2_2_0_3_3,14,0.7901225505755882
4081,0,2_2_0_3_3,4_3_2_0_0,24,0.6825246533395745
4161,0,4_3_2_0_0,1_5_4_2_1,25,0.565765542328042
4244,0,1_5_4_2_1,3_0_5_4_2,26,0.4628539028341691
4282,0,3_0_5_4_2,4_2_0_5_3,11,0.649729049643333
4371,0,4_2_0_5_3,5_4_3_1_0,28,0.5499197929068593
4442,0,5_4_3_1_0,0_5_4_3_1,22,0.6111423581831275
4516,0,0_5_4_3_1,2_1_6_6_2,23,0.5240491108376929
4617,0,2_1_6_6_2,3_4_0_6_3,32,0.3820828374061577
4694,0,3_4_0_6_3,3_5_2_0_0,24,0.5317015706778531
4753,0,3_5_2_0_0,0_5_4_2_1,18,0.4869733259499351
4812,0,0_5_4_2_1,2_0_5_2_2,18,0.6940888429699503
4835,0,2_0_5_2_2,2_1_1_3_3,6,0.6110547326822425
4900,0,2_1_1_3_3,3_2_4_0_0,20,0.7785211515435206
4929,0,3_2_4_0_0,0_2_4_1_1,8,0.8016055543047625
5015,0,0_2_4_1_1,2_0_6_3_2,27,0.6375245554101321
5068,0,2_0_6_3_2,3_1_0_4_3,16,0.7122097842530688
5163,0,3_1_0_4_3,4_4_2_0_0,30,0.5039575934575473
5192,0,4_4_2_0_0,1_4_3_2_1,8,0.6418993247414462
5287,0,1_4_3_2_1,3_0_4_3_2,30,0.6295305204441553
5373,0,3_0_4_3_2,5_2_0_5_3,27,0.45938079286700345
5393,0,5_2_0_5_3,5_2_1_1_0,5,0.2861659794271523
5494,0,5_2_1_1_0,0_5_2_6_1,32,0.36403383246328985
5550,0,0_5_2_6_1,2_0_4_7_2,17,0.3415241451784687
5606,0,2_0_4_7_2,3_2_1_8_3,17,0.3255815279876161
5662,0,3_2_1_8_3,4_4_2_1_0,17,0.657000600724578
5694,0,4_4_2_1_0,1_4_3_2_1,9,0.7547507509754365
5786,0,1_4_3_2_1,3_0_4_3_2,29,0.6794174665381104
5863,0,3_0_4_3_2,4_3_0_5_3,24,0.5848864894865555
5973,0,4_3_0_5_3,7_4_3_0_0,35,0.3113973412807436
6002,0,7_4_3_0_0,1_4_3_1_1,8,0.1741063346117463
6103,0,1_4_3_1_1,6_0_5_2_2,32,0.36027107914593276
6204,0,6_0_5_2_2,8_3_0_4_3,32,0.1284759170583187
6284,0,8_3_0_4_3,9_5_2_0_0,25,-0.1702715326333508
6322,0,9_5_2_0_0,1_5_3_1_1,11,-0.06141937590523522
6387,0,1_5_3_1_1,7_0_5_2_2,20,0.5029301488098721
6407,0,7_0_5_2_2,8_1_1_3_3,5,0.22747027504359868
6451,0,8_1_1_3_3,9_2_5_0_0,13,0.40853944120934244
6498,0,9_2_5_0_0,1_3_5_1_1,14,0.3340152804489623
6533,0,1_3_5_1_1,5_0_5_2_2,10,0.6389090950237944
6556,0,5_0_5_2_2,5_1_1_3_3,6,0.4744124517823888
6654,0,5_1_1_3_3,7_2_5_0_0,31,0.3900688211679942
6689,0,7_2_5_0_0,1_3_5_2_1,10,0.3354260276178918
6796,0,1_3_5_2_1,4_0_6_5_2,34,0.09995296316792118
6852,0,4_0_6_5_2,5_1_1_5_3,17,0.41805765699358544
6914,0,5_1_1_5_3,6_3_2_1_0,19,0.4641044439610869
6946,0,6_3_2_1_0,1_3_3_1_1,9,0.6865960238990477
6984,0,1_3_3_1_1,3_0_3_3_2,11,0.7781745732676305
7013,0,3_0_3_3_2,4_1_0_3_3,8,0.8509810513119316
