step,tl_id,start_at_step,cycle_time
90,0,-1,95
218,0,94,128
517,0,222,299
765,0,521,248
983,0,769,218
1276,0,987,293
1569,0,1280,293
1937,0,1573,368
2167,0,1941,230
2436,0,2171,269
2660,0,2440,224
2902,0,2664,242
3123,0,2906,221
3539,0,3127,416
3733,0,3543,194
3972,0,3737,239
4112,0,3976,140
4345,0,4116,233
4572,0,4349,227
4754,0,4576,182
5026,0,4758,272
5136,0,5030,110
5402,0,5140,266
5653,0,5406,251
6069,0,5657,416
6305,0,6073,236
6631,0,6309,326
6852,0,6635,221
7037,0,6856,185
7348,0,7041,311
