step,tl_id,new_state
21,0,1
56,0,2
76,0,3
90,0,0
113,0,1
160,0,2
201,0,3
218,0,0
274,0,1
351,0,2
437,0,3
517,0,0
603,0,1
635,0,2
682,0,3
765,0,0
818,0,1
904,0,2
972,0,3
983,0,0
1027,0,1
1149,0,2
1160,0,3
1276,0,0
1314,0,1
1385,0,2
1471,0,3
1569,0,0
1616,0,1
1726,0,2
1821,0,3
1937,0,0
1984,0,1
2043,0,2
2129,0,3
2167,0,0
2184,0,1
2213,0,2
2332,0,3
2436,0,0
2516,0,1
2545,0,2
2607,0,3
2660,0,0
2728,0,1
2781,0,2
2849,0,3
2902,0,0
2997,0,1
3041,0,2
3097,0,3
3123,0,0
3224,0,1
3334,0,2
3435,0,3
3539,0,0
3565,0,1
3636,0,2
3653,0,3
3733,0,0
3801,0,1
3908,0,2
3958,0,3
3972,0,0
3995,0,1
4027,0,2
4077,0,3
4112,0,0
4186,0,1
4200,0,2
4226,0,3
4345,0,0
4395,0,1
4424,0,2
4537,0,3
4572,0,0
4586,0,1
4651,0,2
4698,0,3
4754,0,0
4819,0,1
4935,0,2
4958,0,3
5026,0,0
5052,0,1
5087,0,2
5113,0,3
5136,0,0
5171,0,1
5269,0,2
5286,0,3
5402,0,0
5491,0,1
5535,0,2
5606,0,3
5653,0,0
5760,0,1
5882,0,2
5965,0,3
6069,0,0
6080,0,1
6127,0,2
6243,0,3
6305,0,0
6412,0,1
6441,0,2
6509,0,3
6631,0,0
6660,0,1
6746,0,2
6769,0,3
6852,0,0
6881,0,1
6922,0,2
6957,0,3
7037,0,0
7087,0,1
7182,0,2
7274,0,3
7348,0,0
7386,0,1
