step,tl_id,start_at_step,stage,stage_time,time_beyond_queue_clearance,residual_queue
21,0,-1,0,22,21,0
95,0,25,1,70,69,0
163,0,99,2,64,49,0
261,0,167,3,94,77,0
365,0,265,0,100,66,0
421,0,369,1,52,17,0
456,0,425,2,31,4,0
545,0,460,3,85,71,0
655,0,549,0,106,77,0
684,0,659,1,25,0,1
719,0,688,2,31,2,0
766,0,723,3,43,22,0
861,0,770,0,91,71,0
917,0,865,1,52,26,0
1003,0,921,2,82,47,0
1092,0,1007,3,85,53,0
1148,0,1096,0,52,26,0
1177,0,1152,1,25,2,0
1194,0,1181,2,13,0,7
1316,0,1198,3,118,101,0
1390,0,1320,0,70,53,0
1404,0,1394,1,10,0,18
1475,0,1408,2,67,19,0
1576,0,1479,3,97,81,0
1677,0,1580,0,97,80,0
1769,0,1681,1,88,14,0
1795,0,1773,2,22,0,12
1857,0,1799,3,58,24,0
1889,0,1861,0,28,4,0
1930,0,1893,1,37,22,0
2016,0,1934,2,82,38,0
2039,0,2020,3,19,0,3
2146,0,2043,0,103,73,0
2232,0,2150,1,82,48,0
2300,0,2236,2,64,43,0
2347,0,2304,3,43,0,0
2412,0,2351,0,61,30,0
2465,0,2416,1,49,23,0
2482,0,2469,2,13,0,2
2541,0,2486,3,55,26,0
2567,0,2545,0,22,5,0
2590,0,2571,1,19,4,0
2664,0,2594,2,70,45,0
2768,0,2668,3,100,78,0
2797,0,2772,0,25,0,1
2895,0,2801,1,94,68,0
2906,0,2899,2,7,0,14
3016,0,2910,3,106,91,0
3054,0,3020,0,34,8,0
3155,0,3058,1,97,81,0
3250,0,3159,2,91,29,0
3318,0,3254,3,64,45,0
3374,0,3322,0,52,13,0
3403,0,3378,1,25,1,0
3519,0,3407,2,112,85,0
3620,0,3523,3,97,73,0
3718,0,3624,0,94,69,0
3837,0,3722,1,115,68,0
3947,0,3841,2,106,66,0
4039,0,3951,3,88,49,0
4098,0,4043,0,55,7,0
4211,0,4102,1,109,79,0
4285,0,4215,2,70,35,0
4299,0,4289,3,10,0,12
4355,0,4303,0,52,20,0
4426,0,4359,1,67,38,0
4461,0,4430,2,31,12,0
4526,0,4465,3,61,7,0
4555,0,4530,0,25,0,1
4611,0,4559,1,52,33,0
4682,0,4615,2,67,43,0
4765,0,4686,3,79,57,0
4776,0,4769,0,7,0,9
4877,0,4780,1,97,78,0
4912,0,4881,2,31,1,0
4980,0,4916,3,64,40,0
4991,0,4984,0,7,0,15
5044,0,4995,1,49,35,0
5115,0,5048,2,67,41,0
5147,0,5119,3,28,9,0
5167,0,5151,0,16,0,16
5181,0,5171,1,10,0,6
5240,0,5185,2,55,42,0
5269,0,5244,3,25,7,0
5280,0,5273,0,7,0,20
5297,0,5284,1,13,0,6
5365,0,5301,2,64,55,0
5433,0,5369,3,64,55,0
5486,0,5437,0,49,0,5
5530,0,5490,1,40,0,1
5556,0,5534,2,22,3,0
5669,0,5560,3,109,86,0
5701,0,5673,0,28,0,8
5805,0,5705,1,100,74,0
5861,0,5809,2,52,19,0
5899,0,5865,3,34,11,0
5922,0,5903,0,19,0,13
5945,0,5926,1,19,5,0
5965,0,5949,2,16,4,0
6003,0,5969,3,34,30,0
6110,0,6007,0,103,53,0
6196,0,6114,1,82,59,0
6246,0,6200,2,46,20,0
6323,0,6250,3,73,56,0
6433,0,6327,0,106,77,0
6522,0,6437,1,85,51,0
6614,0,6526,2,88,43,0
6640,0,6618,3,22,0,10
6723,0,6644,0,79,56,0
6764,0,6727,1,37,16,0
6835,0,6768,2,67,45,0
6948,0,6839,3,109,54,0
6989,0,6952,0,37,6,0
7096,0,6993,1,103,71,0
7110,0,7100,2,10,0,9
7211,0,7114,3,97,65,0
7240,0,7215,0,25,0,4
7356,0,7244,1,112,100,0
7421,0,7360,2,61,29,0
7441,0,7425,3,16,15,0
7473,0,7445,0,28,19,0
