,exp1,,,,exp2,,,,exp3,,,,exp4,,,,exp5,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
ql_,269.32142857142856,75.27433952201899,110,392,282.2692307692308,65.86444120604544,164,413,253.48275862068965,66.77981981838053,98,380,271.77777777777777,69.6238980486383,131,377,268.44444444444446,67.4989078734061,137,398,268.73722627737226,68.73716672447821,98,413
veh_n_,266.77777777777777,71.44784721595795,86,416,246.9,63.671219070558365,107,368,275.0,87.98513860524751,83,431,259.35714285714283,61.991166805479324,134,410,275.5769230769231,81.14883761431119,131,398,264.2173913043478,73.30983534361904,83,431
delay_,274.6666666666667,60.54750201288241,155,401,247.3793103448276,72.5132568141378,110,377,263.75,62.15370731769211,110,368,259.7857142857143,79.27138437640902,110,431,275.11538461538464,70.24604012929237,137,425,263.34191176470586,69.38418813912497,110.0,431.0
throughput_,257.51724137931035,64.31819376553639,74,386,264.7142857142857,66.72045449200003,134,374,289.88,50.804625773643885,185,377,249.3,72.9620354752364,95,431,243.6,59.45302405231811,155,374,259.9577464788732,64.65849987614268,74,431
delay_prq_,258.7586206896552,60.06166781639268,104,380,252.9655172413793,56.74723577825536,164,392,252.86206896551724,65.38060226634012,125,362,290.0,75.4088854180991,137,476,280.0769230769231,62.27161348603267,182,428,265.95620437956205,64.91520131647073,104,476
delay_pwtl_,275.77777777777777,75.91104780917715,128,425,255.0344827586207,68.39302531201591,101,449,245.1,77.14578675334837,95,416,257.51724137931035,60.67161061794362,149,413,272.22222222222223,73.57849462849096,134,407,260.9148936170213,71.41993412823523,95,449
act_throughput_mqr_,256.48275862068965,56.80833734689149,149,404,257.0,62.4465485721303,131,419,281.6923076923077,61.9675845782417,164,443,262.0357142857143,63.85949979670773,137,386,273.55555555555554,78.66009316298994,137,443,264.88321167883214,64.29628290571414,131.0,443.0
veh_n_pwtl_,248.2,64.37144365804366,143,401,260.62068965517244,55.20896264783687,143,356,243.8,61.34829902371742,125,377,266.75,52.94415296643562,188,365,249.1,54.369330857856205,125,368,253.90753424657535,57.668015500875036,125.0,401.0
throughput_pwtl_,264.5,56.29979277640963,152,395,267.3333333333333,62.1388024444531,185,422,259.14285714285717,67.8815494954613,125,395,263.8888888888889,66.38601181049034,116,377,261.60714285714283,65.44963530765287,155,389,264.6119402985075,63.006612667369744,116,422
