,exp1,,,,exp2,,,,exp3,,,,exp4,,,,exp5,,,,exp6,,,,exp7,,,,exp8,,,,exp9,,,,exp10,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
ql_,36.232142857142854,28.121352902385212,0,98,33.20661157024794,29.655499027828412,0,101,36.638888888888886,30.28754974873226,0,98,31.75609756097561,30.06777629841268,0,108,35.175438596491226,30.864891305375696,0,106,36.910714285714285,31.351409460515093,0,101,39.0,30.856966489795802,0,93,33.86206896551724,29.117123768527073,0,103,37.092592592592595,29.08753692615789,0,100,35.95495495495496,31.14464418786738,0,102,35.84884085213033,29.731650488647283,0.0,108.0
veh_n_,34.479674796747965,32.79902777285015,0,105,35.572649572649574,30.475347934229546,0,103,34.77391304347826,30.050559988233285,0,100,35.169642857142854,30.40237318642733,0,111,31.860655737704917,29.355139658326323,0,99,36.11711711711712,28.8105847779908,0,87,32.78512396694215,30.203533626484347,0,111,38.26851851851852,33.1686730034944,0,103,34.728070175438596,29.752157678197158,0,114,37.73831775700935,29.716692611811133,0,99,35.21800873907615,30.182315800754186,0.0,114.0
delay_,36.55855855855856,27.509893983697342,0,117,39.38095238095238,31.030500179532098,0,108,37.57657657657658,30.86290787853735,0,99,33.113821138211385,29.126407164214655,0,94,32.59166666666667,29.85243703952626,0,99,37.2037037037037,29.31611762340844,0,108,33.51260504201681,29.72126601148977,0,108,35.375,30.48973390952886,0,101,35.80701754385965,31.755113083650667,0,111,36.308411214953274,30.894040218735622,0,108,35.404988878296784,29.443400503845307,0.0,117.0
throughput_,37.403669724770644,30.373940849101604,0,101,36.4954954954955,29.93595402123245,0,96,34.427350427350426,31.232530631432724,0,108,35.756521739130434,30.256967098025775,0,103,37.89622641509434,30.974929722902104,0,102,34.327586206896555,31.327936098790406,0,96,35.32142857142857,32.352287827455534,0,104,39.74757281553398,28.537460227004807,0,105,34.2520325203252,30.78337679363013,0,111,32.877049180327866,29.474902580497066,0,97,35.98587301587302,30.153039483104443,0.0,111.0
delay_prq_,35.59090909090909,31.189064025108255,0,101,36.205128205128204,33.04165042987371,0,114,35.8,32.215339051070664,0,111,34.17796610169491,30.947883225994328,0,99,35.642857142857146,30.919499414050094,0,104,36.19491525423729,31.017849417253114,0,114,34.865546218487395,30.981657878670433,0,92,33.43103448275862,29.03467915619438,0,99,39.59803921568628,27.566035854850846,0,94,38.205607476635514,31.930862316253947,0,117,36.403301886792455,30.652902211967255,0.0,117.0
delay_pwtl_,33.0650406504065,30.03351675182147,0,103,34.141666666666666,30.727672315656704,0,103,34.541666666666664,28.40253741574265,0,96,38.53703703703704,31.43556707171211,0,100,34.516949152542374,31.04084242260646,0,101,37.2962962962963,31.828177505955953,0,101,34.43103448275862,29.853329619245528,0,106,32.53719008264463,30.04747391554295,0,107,34.83620689655172,31.913182219896218,0,106,37.669724770642205,30.360505243280308,0,97,35.15813953488372,30.169462485049895,0.0,106.0
act_throughput_mqr_,33.36974789915966,30.95893002416252,0,111,34.23478260869565,27.790990094539318,0,105,33.53846153846154,27.791569815056256,0,98,33.327586206896555,29.70866536216663,0,105,37.52336448598131,30.887912331462047,0,106,34.30172413793103,29.763771332914466,0,97,34.483050847457626,28.57281388272565,0,95,38.05607476635514,31.771540538991378,0,106,35.61946902654867,30.4124382989424,0,102,36.29090909090909,31.049633381264357,0,105,34.70706590621039,29.16092018474063,0.0,106.0
veh_n_pwtl_,35.543103448275865,29.754471272728747,0,103,33.608333333333334,30.978250932102753,0,102,32.15447154471545,26.492198827085986,0,97,37.75925925925926,32.29648583943795,0,111,34.29565217391304,31.15805038409183,0,103,32.36666666666667,29.61118722651264,0,108,36.94117647058823,30.291883490199954,0,105,31.483606557377048,28.5272766691455,0,97,36.61946902654867,32.25853114849477,0,105,33.38333333333333,30.00985365720084,0,108,34.39665144596651,29.513864525299372,0.0,111.0
throughput_pwtl_,36.13392857142857,31.40909822159737,0,98,37.72477064220183,31.3622418533382,0,101,33.924369747899156,29.19489149180144,0,103,35.6140350877193,32.11966253912199,0,102,33.313559322033896,27.43311965288697,0,95,35.2212389380531,32.91296273975453,0,103,36.47747747747748,31.36815027636873,0,106,35.026315789473685,32.235159314651874,0,104,36.171171171171174,31.93825687560691,0,105,35.21739130434783,31.744258386414266,0,108,35.331592276036716,30.39738258998602,0.0,108.0
