step,vehicle_id,departDelay,duration,routeLength,waitingTime,waitingCount,timeLoss
55.00,8,0.68,40.00,615.10,0.00,0,5.42
57.00,7,-0.53,45.00,596.93,0.00,0,8.52
57.00,13,-0.27,34.00,615.10,0.00,0,5.47
70.00,16,-0.64,42.00,615.10,0.00,0,5.12
71.00,18,-0.22,39.00,615.10,0.00,0,4.94
75.00,20,-0.80,40.00,596.93,0.00,0,8.71
86.00,26,-0.54,40.00,615.10,0.00,0,5.42
88.00,27,0.67,39.00,615.10,0.00,0,5.57
99.00,37,-0.23,33.00,615.10,0.00,0,5.94
101.00,34,-0.86,41.00,617.75,0.00,0,7.04
107.00,38,0.98,38.00,596.93,0.00,0,9.23
116.00,43,-0.97,40.00,596.93,0.00,0,9.15
120.00,46,-0.34,38.00,615.10,0.00,0,6.00
129.00,51,-0.29,38.00,617.75,0.00,0,9.28
136.00,52,0.92,42.00,617.75,0.00,0,8.83
137.00,53,2.13,40.00,617.75,0.00,0,9.62
164.00,19,-0.01,130.00,615.10,87.00,1,102.23
166.00,0,0.00,166.00,617.75,123.00,1,134.74
166.00,31,-0.49,111.00,596.93,68.00,1,82.95
168.00,4,-0.16,161.00,617.75,117.00,1,128.70
168.00,56,-0.24,68.00,615.10,21.00,1,32.25
170.00,35,-0.65,108.00,596.93,62.00,1,76.25
170.00,67,-0.93,51.00,615.10,1.00,1,15.43
172.00,14,-0.06,147.00,617.75,100.00,1,114.00
173.00,41,-0.39,100.00,596.93,53.00,1,66.90
175.00,44,-0.76,97.00,596.93,48.00,1,65.85
176.00,15,1.15,148.00,617.75,98.00,1,112.27
176.00,57,0.97,73.00,596.93,26.00,1,45.46
177.00,79,0.59,35.00,615.10,0.00,0,5.86
179.00,23,-0.17,138.00,617.75,85.00,1,100.43
180.00,69,-0.51,57.00,596.93,5.00,1,24.77
183.00,24,1.04,139.00,617.75,81.00,1,99.16
183.00,81,0.01,38.00,615.10,0.00,0,6.05
184.00,47,-0.13,100.00,617.75,46.00,1,62.85
185.00,62,-0.98,75.00,617.75,20.00,1,42.69
188.00,74,-0.46,56.00,617.75,0.00,0,21.48
190.00,78,-0.62,51.00,617.75,0.00,0,17.74
207.00,91,-0.89,45.00,617.75,0.00,0,7.42
207.00,93,-0.47,41.00,615.10,0.00,0,5.86
208.00,94,0.74,39.00,617.75,0.00,0,8.82
221.00,2,0.42,217.00,596.93,172.00,1,185.96
221.00,12,0.52,199.00,615.10,156.00,1,168.47
222.00,28,-0.12,172.00,615.10,126.00,2,143.19
223.00,3,1.63,216.00,596.93,171.00,1,186.16
224.00,1,-0.79,223.00,617.75,174.00,1,187.90
227.00,25,-0.75,183.00,617.75,133.00,1,145.02
227.00,29,1.09,174.00,615.10,126.00,1,139.49
227.00,39,-0.81,158.00,615.10,106.00,1,122.22
229.00,11,-0.69,210.00,596.93,163.00,1,179.30
229.00,65,1.65,111.00,615.10,62.00,1,74.61
230.00,5,1.05,220.00,596.93,167.00,1,181.58
231.00,64,0.44,116.00,615.10,63.00,2,81.29
232.00,32,-0.28,175.00,596.93,125.00,1,142.64
232.00,71,0.91,104.00,605.00,57.00,1,71.61
233.00,49,-0.71,146.00,617.75,93.00,1,106.82
234.00,40,0.40,162.00,596.93,112.00,1,131.06
234.00,54,-0.66,138.00,617.75,88.00,1,105.00
236.00,60,-0.40,129.00,596.93,79.00,1,99.15
237.00,66,2.86,116.00,617.75,61.00,1,79.23
239.00,63,-0.77,127.00,596.93,74.00,1,95.14
239.00,70,-0.30,114.00,617.75,60.00,1,81.09
241.00,86,-0.94,88.00,617.75,35.00,1,55.30
242.00,77,-0.83,105.00,596.93,52.00,1,72.25
243.00,89,-0.31,84.00,617.75,28.00,1,51.39
244.00,96,-0.84,73.00,596.93,20.00,1,41.46
247.00,97,0.37,73.00,617.75,15.00,1,36.48
249.00,99,-0.21,72.00,617.75,15.00,1,41.41
250.00,111,-0.69,52.00,596.93,0.00,0,15.06
258.00,122,-0.38,40.00,617.75,0.00,0,7.54
258.00,125,0.25,34.00,615.10,0.00,0,5.87
262.00,123,0.83,41.00,617.75,0.00,0,8.65
268.00,129,-0.91,38.00,615.10,0.00,0,5.71
278.00,132,-0.28,42.00,596.93,0.00,0,8.64
285.00,141,-0.39,33.00,615.10,0.00,0,5.64
307.00,6,-0.74,297.00,586.83,253.00,1,266.82
308.00,21,-0.59,271.00,615.10,226.00,1,238.89
308.00,30,-0.70,255.00,596.93,212.00,1,227.54
310.00,9,-0.11,294.00,607.65,245.00,1,256.27
311.00,36,-0.44,247.00,615.10,197.00,1,213.59
311.00,42,-0.18,236.00,596.93,191.00,1,206.91
