step,tl_id,new_state
21,0,1
53,0,2
67,0,3
189,0,0
206,0,1
232,0,2
294,0,3
350,0,0
403,0,1
414,0,2
479,0,3
571,0,0
657,0,1
725,0,2
796,0,3
843,0,0
938,0,1
958,0,2
969,0,3
1022,0,0
1045,0,1
1113,0,2
1202,0,3
1300,0,0
1335,0,1
1370,0,2
1420,0,3
1485,0,0
1589,0,1
1654,0,2
1713,0,3
1814,0,0
1873,0,1
1887,0,2
2006,0,3
2056,0,0
2097,0,1
2174,0,2
2185,0,3
2232,0,0
2318,0,1
2422,0,2
2529,0,3
2633,0,0
2716,0,1
2736,0,2
2804,0,3
2881,0,0
2898,0,1
2918,0,2
3022,0,3
3102,0,0
3224,0,1
3274,0,2
3369,0,3
3404,0,0
3424,0,1
3465,0,2
3488,0,3
3550,0,0
3672,0,1
3695,0,2
3718,0,3
3747,0,0
3824,0,1
3877,0,2
3993,0,3
4022,0,0
4033,0,1
4086,0,2
4157,0,3
4219,0,0
4305,0,1
4325,0,2
4336,0,3
4356,0,0
4460,0,1
4573,0,2
4686,0,3
4712,0,0
4825,0,1
4929,0,2
4964,0,3
5074,0,0
5127,0,1
5204,0,2
5299,0,3
5358,0,0
5465,0,1
5572,0,2
5658,0,3
5711,0,0
5743,0,1
5838,0,2
5951,0,3
5962,0,0
6000,0,1
6098,0,2
6163,0,3
6189,0,0
6218,0,1
6304,0,2
6414,0,3
6506,0,0
6556,0,1
6597,0,2
6659,0,3
6688,0,0
6750,0,1
6824,0,2
6940,0,3
7056,0,0
7112,0,1
7213,0,2
7296,0,3
7382,0,0
7444,0,1
