step,veh_id,ttime
55,8,40
57,7,45
64,0,64
66,4,59
68,19,34
70,14,45
74,15,46
86,23,45
91,24,47
93,31,38
103,35,41
115,41,42
119,44,41
129,47,45
141,56,41
142,57,39
152,62,42
161,2,157
162,12,140
162,28,112
163,3,156
164,1,163
167,39,98
168,25,124
168,29,115
169,11,150
169,65,51
170,5,160
171,64,56
172,32,115
172,49,85
172,71,44
174,54,78
175,40,103
176,66,55
177,60,70
178,70,53
179,63,67
182,77,45
194,86,41
199,89,40
211,96,40
218,97,44
220,99,43
232,6,222
233,21,196
234,30,181
236,9,220
236,36,172
236,42,161
237,59,131
238,10,219
239,45,159
239,61,130
240,17,210
240,88,83
241,22,201
242,55,144
243,33,184
243,102,61
244,107,53
245,58,142
246,76,110
246,110,50
248,48,163
250,50,161
250,85,98
252,80,109
253,82,107
255,104,69
256,115,51
257,83,108
258,87,103
258,117,49
261,113,59
264,118,52
266,120,51
267,128,38
273,130,41
275,131,40
278,135,37
279,133,41
287,13,264
290,26,244
291,16,263
292,18,260
292,27,243
293,20,258
293,34,233
293,37,227
294,46,212
300,79,158
301,67,182
301,74,169
302,69,179
302,81,157
304,78,165
305,93,139
306,101,126
306,136,63
307,106,117
309,91,147
310,94,141
310,108,117
311,112,111
312,105,125
312,148,48
313,116,106
313,144,56
314,138,67
314,154,39
315,155,37
316,119,103
319,126,94
320,156,39
325,163,34
327,161,39
334,164,40
348,171,42
353,175,40
360,179,40
360,181,37
366,183,39
392,195,43
408,206,40
410,207,39
414,210,39
421,125,197
423,122,205
424,111,226
424,123,203
424,141,172
425,129,195
425,132,189
428,158,144
429,146,168
429,152,157
429,173,120
430,157,149
431,198,77
433,153,158
434,160,147
435,196,85
436,211,59
437,208,65
437,213,56
440,219,48
443,226,38
444,225,42
447,228,39
449,229,38
461,159,177
462,140,212
463,137,218
464,143,209
465,149,199
466,169,164
468,150,199
468,151,196
469,172,162
470,178,152
470,188,132
470,205,104
471,180,149
472,209,98
473,224,73
475,186,143
475,197,123
475,231,61
477,230,66
477,232,60
478,233,58
478,235,52
480,187,145
481,189,140
481,242,46
484,245,46
485,190,141
487,193,140
487,250,40
488,203,125
489,252,38
490,221,95
497,222,99
498,234,75
499,236,70
501,238,70
504,241,71
506,246,65
509,259,46
512,263,42
513,269,32
520,267,43
525,270,41
531,273,43
532,277,37
548,285,37
558,284,50
559,38,490
559,84,409
560,51,469
562,43,486
564,52,470
564,68,443
565,53,468
566,134,327
567,75,433
567,92,403
568,100,389
569,98,394
570,72,442
570,139,322
572,73,441
572,103,388
572,165,277
573,168,269
575,90,414
575,170,268
576,109,381
576,177,258
577,95,407
577,114,373
578,145,319
578,182,253
579,121,363
580,194,233
582,166,284
585,239,158
588,220,195
588,240,158
588,249,143
589,244,153
589,265,115
591,266,114
592,278,95
592,286,81
594,261,127
594,280,93
594,290,75
596,297,65
599,255,143
599,304,55
600,271,115
602,283,96
602,305,55
608,319,37
620,321,46
622,325,41
628,327,43
630,334,33
632,330,42
640,339,34
655,346,35
656,341,46
660,345,43
668,352,38
670,347,47
671,355,36
678,357,39
682,360,38
693,364,42
693,365,39
697,369,37
704,248,259
706,243,272
707,237,283
707,272,221
