step,tl_id,start_at_step,stage,stage_time,time_beyond_queue_clearance,residual_queue
21,0,-1,0,22,21,0
104,0,25,1,79,78,0
169,0,108,2,61,43,0
282,0,173,3,109,86,0
350,0,286,0,64,25,0
394,0,354,1,40,14,0
432,0,398,2,34,3,0
521,0,436,3,85,68,0
556,0,525,0,31,0,2
669,0,560,1,109,90,0
707,0,673,2,34,5,0
727,0,711,3,16,0,5
777,0,731,0,46,7,0
878,0,781,1,97,80,0
925,0,882,2,43,21,0
942,0,929,3,13,0,14
1013,0,946,0,67,43,0
1075,0,1017,1,58,40,0
1161,0,1079,2,82,57,0
1235,0,1165,3,70,4,0
1327,0,1239,0,88,64,0
1443,0,1331,1,112,63,0
1484,0,1447,2,37,1,0
1504,0,1488,3,16,0,6
1527,0,1508,0,19,9,0
1634,0,1531,1,103,93,0
1708,0,1638,2,70,41,0
1791,0,1712,3,79,30,0
1826,0,1795,0,31,0,9
1897,0,1830,1,67,45,0
1917,0,1901,2,16,0,5
1958,0,1921,3,37,21,0
2071,0,1962,0,109,71,0
2094,0,2075,1,19,0,2
2132,0,2098,2,34,7,0
2224,0,2136,3,88,54,0
2328,0,2228,0,100,75,0
2363,0,2332,1,31,0,5
2377,0,2367,2,10,0,7
2472,0,2381,3,91,64,0
2579,0,2476,0,103,80,0
2596,0,2583,1,13,0,13
2670,0,2600,2,70,19,0
2732,0,2674,3,58,28,0
2806,0,2736,0,70,51,0
2901,0,2810,1,91,39,0
2954,0,2905,2,49,20,0
3037,0,2958,3,79,59,0
3051,0,3041,0,10,0,7
3101,0,3055,1,46,31,0
3187,0,3105,2,82,58,0
3267,0,3191,3,76,62,0
3335,0,3271,0,64,11,0
3445,0,3339,1,106,81,0
3465,0,3449,2,16,0,10
3476,0,3469,3,7,0,7
3535,0,3480,0,55,42,0
3633,0,3539,1,94,77,0
3674,0,3637,2,37,0,3
3718,0,3678,3,40,0,3
3774,0,3722,0,52,28,0
3839,0,3778,1,61,41,0
3928,0,3843,2,85,52,0
3987,0,3932,3,55,22,0
4076,0,3991,0,85,49,0
4189,0,4080,1,109,81,0
4251,0,4193,2,58,19,0
4373,0,4255,3,118,78,0
4423,0,4377,0,46,7,0
4542,0,4427,1,115,73,0
4583,0,4546,2,37,0,4
4669,0,4587,3,82,42,0
4716,0,4673,0,43,20,0
4772,0,4720,1,52,26,0
4831,0,4776,2,55,15,0
4875,0,4835,3,40,23,0
4994,0,4879,0,115,96,0
5008,0,4998,1,10,0,6
5064,0,5012,2,52,24,0
5126,0,5068,3,58,31,0
5137,0,5130,0,7,0,4
5157,0,5141,1,16,0,7
5183,0,5161,2,22,9,0
5200,0,5187,3,13,1,0
5301,0,5204,0,97,79,0
5339,0,5305,1,34,0,0
5407,0,5343,2,64,45,0
5424,0,5411,3,13,0,8
5522,0,5428,0,94,75,0
5575,0,5526,1,49,14,0
5676,0,5579,2,97,72,0
5795,0,5680,3,115,71,0
5851,0,5799,0,52,5,0
5898,0,5855,1,43,0,2
5948,0,5902,2,46,21,0
6058,0,5952,3,106,92,0
6084,0,6062,0,22,0,5
6206,0,6088,1,118,90,0
6325,0,6210,2,115,84,0
6390,0,6329,3,61,42,0
6413,0,6394,0,19,0,17
6448,0,6417,1,31,5,0
6537,0,6452,2,85,59,0
6560,0,6541,3,19,4,0
6652,0,6564,0,88,25,0
6762,0,6656,1,106,76,0
6821,0,6766,2,55,28,0
6865,0,6825,3,40,0,5
6894,0,6869,0,25,3,0
6917,0,6898,1,19,0,2
6991,0,6921,2,70,59,0
7107,0,6995,3,112,84,0
7211,0,7111,0,100,70,0
7333,0,7215,1,118,84,0
7368,0,7337,2,31,9,0
7463,0,7372,3,91,68,0
